List of importing markets for a product exported by Slovakia (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	12,610,403	15,643,867	22,053,459	27,630,013	29,635,529	37,280,903	52,818,431	62,943,792	49,188,220	59,280,252	72,848,780	72,795,914	76,082,725	
Afghanistan								57	653	1,569	2,080	0		
Albania	551	323	995	3,230	4,937	6,796	5,730	10,803	39,714	9,354	13,018	10,350	12,247	
Algeria	427	606	434	548	4,092	12,351	16,745	29,529	26,375	0	23,931	0	50,421	
Andorra	128	236	512	651										
Antigua and Barbuda					0		0		1	1	5	8	1	
Argentina	20,661	3,151	8,196	11,952	1,298	17,990	25,554	51,275	41,465	65,928	76,462	59,126	72,095	
Armenia	892	3,218	3,572	3,467	4,099	4,725	8,255	12,069	6,556	6,363	9,359	6,676	7,088	
Australia	7,022	6,651	12,271	16,394	18,385	33,352	112,649	178,655	87,781	138,089	168,341	232,097	315,908	
Austria	997,085	1,132,744	1,607,589	2,387,591	2,108,509	2,237,018	3,166,700	3,563,593	3,065,196	4,108,324	5,378,517	5,121,789	5,139,678	
Azerbaijan	222	569	248	1,483	1,296	2,240	4,033	13,719	10,085	17,879	18,970	26,273		
Bahrain	123	148	332	407	558	149	864	4,113	2,105	6,542	10,315			
Bangladesh	0	75	515	550	652	823	1,228							
Barbados	4	23	1	2	50	41	70	80	140	222	112	81	58	
Belarus	14,435	16,095	25,463	42,452	42,841	69,555	111,910	176,280	110,619	117,122	167,116	133,692	152,230	
Belgium	215,921	220,697	307,024	380,592	413,631	492,556	880,418	962,758	870,482	955,326	1,103,546	1,052,616	1,217,264	
Belize	49	69	36	0	0	1	1	0	0	0	0	1	0	
Benin	0	0	0	68	6	94	19	28	3	11	155	64	150	
Bermuda												37	7	
Bolivia	23	69	133	245	478	566	543	831	662	836	1,128	2,105		
Bosnia and Herzegovina			20,210	32,554	39,911	55,010	94,215	114,932	61,057	61,323	82,188	76,114	81,542	
Botswana	0	3	0	27	0	16	0	0	12	27,917	220	107	8	
Brazil	7,650	10,616	12,512	22,379	31,609	38,006	75,297	141,007	73,518	153,972	158,224	138,498	170,661	
Brunei Darussalam	0	0	0	0		0				0	1,089	1,841	1,260	
Bulgaria	37,880	45,372	71,557	106,027	114,539	149,691	206,254	293,650	272,066	277,446	389,864	422,916	445,597	
Burkina Faso	0	0	0	0	0		122	71	128	145	437	359		
Burundi	0	0	0	0	0	0	0	0	4	142	0	8	286	
Cabo Verde	0	0	0	0	0	0	0		4	0	122	525	60	
Cambodia	9	51	58	0	41	19	24	332	9	834	14	18		
Cameroon	29	637	926	713	1,246	1,347	2,277	0	7,860	4,663	1,946	2,801		
Canada	25,937	35,995	96,988	86,240	100,767	155,465	159,030	173,138	145,623	192,657	253,588	288,796	296,506	
Central African Republic	0	1	134			0	0	2	0	0	0	13	16	
Chile	1,254	1,252	2,620	4,039	4,672	7,928	13,636	55,654	97,008	19,126	12,456	13,409	11,880	
China	12,893	37,868	122,117	128,530	183,020	336,402	735,326	983,733	897,393	1,790,562	3,457,346	3,655,227	3,453,585	
Colombia	3,686	3,245	3,912	3,655	3,578	4,339	3,641	9,212	19,924	13,415	15,771	19,417	25,149	
Congo							17	28	0	0	69	0	51	
Costa Rica	503	371	379	704	780	1,188	2,247	5,166	2,589	2,492	10,608	4,235	3,165	
Côte d'Ivoire	0	0	0	392	994	2,065	2,010	3,578	2,692	3,248	3,674	3,893		
Croatia	51,097	96,831	141,416	154,734	159,655	253,809	228,462	354,356	266,560	172,125	210,389	201,715	317,944	
Cuba	3,540	2,229	8,080	26,647	28,980	10,707								
Cyprus	5,243	3,955	6,775	6,448	7,446	11,365	13,600	14,004	7,319	19,452	21,084	20,121	13,277	
Czech Republic	1,961,543	2,988,055	2,656,817	3,573,032	4,155,098	5,009,875	6,220,489	7,894,163	5,708,548	6,505,286	8,648,624	8,514,253	8,339,939	
Denmark	60,208	76,197	114,065	161,265	194,189	283,552	489,809	655,776	409,923	339,340	416,929	385,923	426,684	
Dominica	0	0	0	0	0	0	0	0	0	0	0	3		
Dominican Republic	0	0	182	174	17	284	549	780	440	715	1,306	991	971	
Ecuador	1,821	620	1,273	1,633	174	650	173	754	178	979	5,047	568	3,261	
Egypt	2,681	5,259	4,193	13,056	8,626	2,892	7,256	2,019	9,001	0	0	0	0	
El Salvador	140	252	658	74	28	90	178	167	199	2	39	308	188	
Eritrea			63											
Estonia	7,606	10,324	22,321	24,190	25,283	45,150	56,485	67,862	39,822	39,619	80,066	92,760	96,355	
Ethiopia	47	41	0	2,889	9,598	4,054	2,851	3,223	2,196	783	2,761	12,908		
Faroe Islands	240	291	217	260	314	936	1,311	3,162	1,670					
Fiji		13	0	0	21	1	0	9	29	4	136	4		
Finland	67,361	77,929	106,069	179,034	333,440	415,277	335,258	944,452	135,807	157,481	214,541	200,137	191,123	
France	532,821	637,873	800,267	793,845	1,080,415	1,951,833	3,543,065	3,799,978	3,668,493	3,840,991	4,298,439	3,996,164	3,926,826	
French Polynesia	36	142	296	1,030	1,273	1,104	1,491	1,929	1,587	1,844	1,419	1,208	1,558	
Gabon	125	0	170	347	88	22	93	52	12					
Georgia	761	744	915	1,316	2,773	4,519	3,793	8,916	3,148	6,605	10,741	14,497	21,712	
Germany	3,780,099	4,792,559	8,317,145	9,470,582	8,526,996	9,260,280	12,419,422	13,056,606	10,324,388	12,341,386	15,034,629	15,592,334	16,297,193	
Ghana	0		263		338	468	1,138	3,161	1,130	1,387	1,186	206		
Greece	56,733	50,061	74,034	88,615	87,414	163,342	240,496	158,831	146,492	168,579	170,056	145,016	163,519	
Greenland	0	0	578	0	0	260	75	218	471	461	191	128	174	
Grenada	0	0	0	4	0	57	0	0						
Guatemala	773	1,546	634	466	1,217	214	650	528	1,408	242	472	351	178	
Guinea	0	0		0	0	0	155	203		5	10	0		
Guyana	10	8	1	0	0	0	0	8	0	40	1	33	150	
Honduras	0	32	111	104	675	309	97	1,100	756	1,396	1,620	1,543	850	
Hong Kong, China	1,044	3,778	9,407	10,976	12,659	12,232	9,810	26,449	32,619	22,332	33,587	41,559		
Hungary	602,593	679,753	929,449	1,204,973	1,489,204	2,119,546	2,885,920	3,838,583	3,251,820	3,623,959	5,474,195	5,220,108	5,688,754	
Iceland	1,673	2,333	2,961	4,535	5,220	7,734	10,904	9,376	4,686	5,703	11,810	15,517	15,753	
India	9,035	11,804	9,522	18,871	37,247	25,104	38,886	50,784	34,221	73,138	96,553	95,900	47,892	
