List of importing markets for a product exported by Slovenia (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	8,815,578	9,898,237	12,219,176	14,697,886	15,495,587	18,319,789	24,046,218	26,168,761	20,649,920	23,643,529	27,855,789	26,490,866	28,814,193	
Albania	14,894	18,294	26,840	17,834	18,840	23,860	29,153	46,999	41,544	49,648	41,710	34,107	35,222	
Algeria	3,181	5,970	12,599	6,239	9,733	15,564	40,066	140,272	118,130	122,203	189,674	363,260	314,675	
Andorra	220	68	96	394										
Antigua and Barbuda					0		0		9	5	107	188	3	
Argentina	5,540	2,259	3,861	4,118	2,599	6,277	10,890	11,565	8,361	10,765	16,239	17,467	22,482	
Armenia	669	834	952	1,149	1,656	4,710	6,328	9,874	9,588	7,717	8,872	8,353	8,272	
Australia	22,589	27,257	36,911	39,388	45,851	44,422	45,228	47,469	31,917	41,805	56,663	63,788	83,334	
Austria	688,751	739,968	990,611	1,440,787	1,117,518	1,353,530	1,531,362	1,731,421	1,646,486	1,892,411	2,250,428	2,231,192	2,478,813	
Azerbaijan	899	332	899	649	876	1,754	5,502	3,744	4,634	6,089	11,054	6,088		
Bahrain	309	533	507	426	566	1,411	698	1,744	1,136	1,259	1,338			
Bangladesh	1,931	59	20	455	1,635	817	436							
Barbados	15	13	21	18	44	69	59	53	44	104	99	117	134	
Belarus	22,471	22,315	28,442	34,417	35,812	48,324	65,105	82,008	59,624	71,416	67,425	82,756	86,917	
Belgium	96,257	85,861	102,713	148,164	144,818	176,913	203,834	245,234	205,371	208,227	256,767	243,833	257,906	
Belize	0	0	0	99	17	0	399	67	113	63	64	56	3	
Benin	0	5	123	0	84	22	7	183	9	1	3	22	102	
Bermuda												47	44	
Bhutan					0	0	0	0	0	0	0			
Bolivia	101	90	187	69	125	127	792	254	175	269	403	518		
Bosnia and Herzegovina			347,518	422,443	492,077	571,276	618,627	720,665	513,727	547,613	589,677	527,531	511,919	
Botswana	0	0	0	0	129	0	0	1	3	185	1	1	148	
Brazil	48,435	12,070	13,619	18,781	20,689	27,601	38,164	58,027	42,548	61,350	75,708	77,509	86,098	
Brunei Darussalam	0	0	0	0		0				0	0	0	3	
Bulgaria	37,052	45,803	66,824	92,180	100,221	120,911	155,034	185,862	200,359	201,301	240,786	207,541	224,836	
Burkina Faso	0	0	0	0	0		1	68	2	11	73	85		
Burundi	0	0	0	0	0	31	0	0	0	0	149	548	0	
Cabo Verde	0	0	0	0	0	0	0		1	90	2	556	443	
Cambodia	0	36	3	51	4	6	68	110	21	0	19	53		
Cameroon	551	706	1,000	282	165	123	375	206	432	9,198	6,922	1,157		
Canada	27,145	35,749	35,462	42,435	50,799	60,832	75,582	73,915	76,103	92,900	103,111	143,376	126,083	
Central African Republic	0	0	0			0	0	0	1	0	3	0	0	
Chile	2,969	3,585	3,345	3,927	4,986	4,325	5,096	7,552	6,477	6,677	10,751	14,631	13,281	
China	12,701	29,546	36,031	41,959	57,242	94,896	110,555	131,558	126,469	176,570	202,040	256,030	302,921	
Colombia	5,367	5,046	4,257	3,245	3,626	4,785	9,006	9,203	11,339	6,097	17,141	9,331	13,609	
Congo							0	0	151	144	2,099	1,201	0	
Costa Rica	25	68	229	157	3,739	9,631	422	641	1,695	1,295	12,163	2,270	1,174	
Côte d'Ivoire	50	0	0	469	409	112	399	479	569	452	461	1,338		
Croatia	711,689	826,484	1,051,666	1,179,421	1,257,383	1,350,783	1,533,603	1,712,495	1,212,921	1,172,909	1,412,404	1,217,649	2,364,100	
Cuba	321	189	329	300	686	202								
Cyprus	3,158	3,138	3,912	13,600	30,283	3,548	6,711	10,244	5,440	8,977	7,897	6,594	6,404	
