List of importing markets for a product exported by Somalia (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	45,683	78,648	107,870	117,832	223,262	158,652	224,102	199,807	174,485	280,907	381,250	398,990	189,216	
Albania	0	0	4	0	0	2	0	0	0	0	0	0	0	
Algeria	4	62	2	3	2	17	2	1	2	2	42	0	0	
Argentina	4	0	0	15	0	3	92	28	12	36	78	4	430	
Armenia	0	0	0	3	0	0	22	0	0	0	0	8	3	
Australia	4	1	3	38	8	36	157	5	83	224	43	20	38	
Austria	23	1	85	26	31	259	85	190	26	19	0	1	0	
Azerbaijan	0	2	0	0	0	0	0	0	0	4	6	0		
Bahamas	0	0	14	0	0	0	0	0	0	0	0	0		
Bahrain	3,022	7,379	5,492	5,138	5,782	1,780	205	7,546	358	189	1,580			
Bangladesh	4	787	849	935	597	464	343							
Barbados	0	5	12	13	0	0	0	0	0	0	0	0	0	
Belarus	0	0	0	2	0	0	0	0	15	0	9	0	0	
Belgium	0	4	0	0	127	0	476	1	0	4	0	0	0	
Benin	0	0	28	0	0	0	0	0	0	0	20	2	0	
Bosnia and Herzegovina			0	2	2	0	0	1	0	0	0	0	0	
Botswana	40	0	0	0	0	0	0	0	0	0	0	0	0	
Brazil	59	8	46	199	63	0	7	9	1	2	0	3,107	2,090	
Brunei Darussalam	0	0	0	0		0				0	0	20	808	
Bulgaria	0	11	5	0	2	0	2	116	0	0	0	0	0	
Burundi	0	0	0	0	0	0	17	0	0	0	0	1	0	
Cambodia	0	3	0	0	0	0	0	0	0	0	0	0		
Canada	28	200	85	63	91	28	43	65	35	30	60	61	37	
Chile	0	0	0	0	0	0	0	0	0	0	1	0	0	
China	515	1,560	6,624	7,811	3,074	3,065	1,723	189	550	1,697	5,796	3,104	16,270	
Colombia	2	0	0	0	4	0	0	0	109	0	0	0	1	
Comoros	0	0	0	0	22	0	0	0	0					
Costa Rica	0	0	0	0	0	0	0	0	0	0	0	0	6	
Côte d'Ivoire	1	0	547	1,072	549	842	1,373	858	1,955	50	0	0		
Croatia	56	26	16	20	0	2	105	5	4	16	23	7	51	
Cyprus	0	0	5	0	0	0	0	0	0	0	0	0	0	
Czech Republic	0	0	0	10	36	46	7	9	335	366	482	341	233	
Denmark	0	1	3	0	4	0	1	1	2	1	0	0	15	
Djibouti									3,559					
Dominica	50	0	0	0	1	0	0	0	17	0	0	0		
Dominican Republic	0	0	0	0	0	9	6	4	0	463	3	0	0	
Ecuador	0	0	0	0	0	0	1	0	10	0	0	0	0	
Egypt	460	2,170	682	951	109	47	104	303	291	305	434	277	457	
Estonia	0	0	0	0	0	83	184	0	0	0	13	0	0	
Ethiopia	961	1	1	1	3,366	9,078	11	11,545	233	188	52	20		
Faroe Islands	0	0	0	0	0	1	20	0	16					
Fiji		0	0	0	1	0	3	3	0	25	0	0		
Finland	1	2	5	0	0	0	0	0	0	0	0	0	0	
France	1,070	570	603	547	781	689	436	569	516	799	2,474	2,080	4,777	
French Polynesia	0	0	0	0	0	0	1	0	1	0	0	1	0	
Gambia	0	0	0	0	0	0	0	0	0	13	0			
Georgia	1	0	0	6	0	0	0	0	0	0	0	0	0	
Germany	803	336	308	807	255	827	4,252	203	285	796	705	481	686	
Ghana	0		63		1	0	0	1	0	0	0	44		
Greece	56	24	31	0	0	0	0	0	0	35	71	1	0	
Grenada	0	3	4	1	1	4	2	2						
Guatemala	0	0	0	32	1	0	0	0	2	0	0	0	0	
Guinea	0	15		33	0	7	0	0		0	0	0		
Guyana	0	1	2	1	0	0	0	0	26	0	0	0	0	
Honduras	0	0	0	2	106	0	0	0	0	0	1	0	0	
Hong Kong, China	484	119	373	826	753	483	223	178	132	844	1,082	3,277		
Hungary	0	15	3	33	0	0	0	0	0	0	0	0	0	
Iceland	0	0	0	0	0	0	0	0	0	0	0	0	0	
