List of importing markets for a product exported by South Africa Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	25,997,549	23,064,420	31,635,839	40,263,523	46,991,047	52,601,760	64,026,608	73,965,546	53,863,892	71,484,309	92,975,613	86,711,971	95,224,783	
Afghanistan	748	128	6,418	1,207	8,087	8,802	11,333	20,023	137,003	39,613	41,359	42,345	31,776	
Albania	417	1,326	294	152	47	586	1,108	1,351	402	478	7,481	483	138	
Algeria	32,741	29,276	35,557	29,140	64,334	172,814	123,479	223,044	201,382	175,042	380,355	386,512	370,929	
Andorra	303	1,133	392	560	544	1,915	800	1,163	288	5	20	244	1	
Angola	309,239	322,698	447,327	481,943	544,528	686,530	772,161	897,845	681,987	700,087	897,732	1,151,963	1,004,189	
Anguilla	37	309	0	37	11	1,813	1,873	11,108	0	0	68	0	47	
Antigua and Barbuda	573	432	0	1,932	3,144	5,283	3,088	3,861	560	353	250	1,317	2,568	
Area Nes	19,489	6,545	456,224	57,629	126,631	171,163	161,052	152,897	11,661	2,980	7,133,615	9,017,614	7,167,265	
Argentina	77,837	32,764	42,826	60,792	87,912	100,475	90,178	151,143	80,440	110,125	157,143	207,077	255,233	
Armenia	157	1,836	702	1,510	967	2,078	1,157	1,656	504	495	1,002	2,153	2,179	
Aruba	85	1,788	249	134	2,926	26	48	261	196	164	108	223	391	
Australia	450,056	486,689	745,288	1,026,880	1,414,987	1,189,758	1,278,396	1,494,372	725,837	952,014	875,610	897,992	811,297	
Austria	82,568	85,025	105,303	168,584	224,536	165,689	117,889	164,637	77,571	89,219	122,358	73,511	83,905	
Azerbaijan	57	725	237	4,520	7,690	799	1,968	2,188	13,609	13,044	5,857	6,201	14,952	
Bahamas	1,851	32,511	1,606	1,421	2,258	9,646	4,655	2,529	680	1,490	2,221	2,750	2,481	
Bahrain	6,328	9,536	11,366	12,002	15,388	11,985	22,569	18,621	19,199	32,597	22,208	26,320	32,544	
Bangladesh	3,978	4,902	6,216	7,442	10,466	24,684	19,954	18,098	49,167	49,936	36,322	38,798	41,791	
Barbados	483	962	700	717	1,457	937	12,216	2,073	1,351	1,333	685	1,820	2,295	
Belarus	140	172	295	534	385	550	867	229	491	127	105	267	269	
Belgium	809,949	865,600	985,317	1,126,376	1,416,529	1,493,484	1,748,813	2,046,632	1,282,200	1,801,223	2,148,641	1,913,471	1,965,841	
Belize	132	286	572	432	551	2,207	506	66	145	645	1,782	901	991	
Benin	8,469	12,440	12,545	12,245	12,972	23,022	24,395	44,680	29,363	55,939	40,922	49,002	33,943	
Bermuda	212	248	364	287	396	293	91,201	39,881	146	117	27,817	158	0	
Bhutan	140	25	0	0	2	12	0	74	0	0	15	16	0	
Bolivia	217	447	324	46	168	1,219	1,640	1,676	1,215	813	2,053	1,846	667	
Bosnia and Herzegovina	588	380	188	1,077	584	1,026	2,555	3,295	83	1,720	1,113	357	555	
Botswana	0	0	0	0	0	0	0	0	0	0	0	54,750	4,602,432	
Brazil	271,679	177,265	177,063	244,609	317,727	401,779	519,861	659,292	355,639	717,124	818,987	790,456	656,899	
British Indian Ocean Territories	0	0	0	55	0	7	260	270	0	0	0	0	0	
British Virgin Islands	8,968	3,677	10,818	15,294	21,668	19,467	35,050	21,307	2,429	2,296	1,834	35,294	22,717	
Brunei Darussalam	1,013	382	672	1,792	4,615	1,836	1,869	2,420	1,263	1,434	1,874	1,825	2,105	
Bulgaria	8,805	3,493	3,204	4,052	6,216	16,137	52,796	30,777	5,192	10,194	25,932	40,127	31,544	
Burkina Faso	0	2,053	4,508	0	9,526	0	0	0	52,321	29,678	29,142	56,345	33,784	
Burundi	2,795	3,843	4,089	5,763	5,711	7,177	6,711	6,586	9,118	9,119	5,592	5,991	5,120	
Cabo Verde	1,571	1,290	2,637	1,453	2,387	2,004	1,013	1,372	1,029	861	1,158	761	762	
Cambodia	123	155	1,447	552	292	644	473	1,714	1,440	1,386	1,585	2,470	1,451	
Cameroon	28,518	34,396	66,415	33,206	35,389	39,784	46,628	56,945	59,410	74,096	80,478	76,183	67,358	
Canada	183,425	169,076	211,429	360,575	352,620	440,514	779,032	425,385	354,052	446,353	464,393	387,119	312,928	
Cayman Islands	91	701	694	408	166	1,391	235	395	100	1,049	154	438	420	
Central African Republic	536	521	314	784	1,319	4,632	7,595	2,599	2,585	3,562	2,125	5,789	3,436	
Chad	2,137	917	3,424	2,922	5,260	5,371	4,856	9,542	7,302	3,031	4,063	1,969	2,924	
Chile	53,711	46,706	45,658	71,169	53,236	58,933	59,398	66,813	53,077	61,751	83,200	113,708	78,839	
China	461,312	450,298	889,126	1,055,746	1,368,724	2,108,757	4,169,608	4,309,780	5,670,123	8,132,362	12,425,326	10,139,148	12,058,975	
Christmas Islands	0	0	0	0	0	2	0	41	0	0	26	0	0	
Cocos (Keeling) Islands	0	0	0	1	0	0	0	3	1	4	0	0	1	
Colombia	15,999	20,320	18,031	19,381	16,653	17,457	35,675	27,269	21,266	22,834	35,076	31,623	34,282	
Comoros	8,953	12,687	16,207	11,590	7,490	8,282	12,199	6,615	6,159	12,355	7,421	5,596	6,230	
Congo	29,972	33,928	38,517	41,337	57,186	62,374	69,229	65,139	62,318	66,452	62,666	81,141	98,994	
Cook Islands	36	1	52	19	16	33	232	43	0	79	0	7	461	
Costa Rica	1,735	2,859	838	929	1,271	12,101	6,433	1,327	1,674	2,340	2,305	5,134	8,651	
Côte d'Ivoire	36,135	43,890	46,368	47,641	46,533	47,266	63,628	77,766	84,669	111,521	90,898	106,714	92,434	
Croatia	3,231	4,929	7,029	5,564	15,720	7,652	6,741	10,203	10,343	8,833	9,971	22,795	23,498	
Cuba	418	283	275	265	492	257	275	10,063	137	365	371	846	2,407	
Cyprus	4,386	3,777	5,493	16,216	7,739	15,624	9,224	9,916	8,304	8,455	9,321	4,299	9,717	
Czech Republic	12,791	21,340	30,812	64,565	69,030	99,770	110,186	108,270	71,922	144,550	201,561	185,941	158,420	
Democratic Republic of the Congo	108,884	153,943	163,521	207,872	275,943	363,684	621,797	1,125,162	573,817	865,847	1,106,904	1,491,357	1,364,518	
Denmark	78,959	66,734	94,947	112,740	133,566	175,218	185,143	189,252	120,321	125,576	205,278	130,385	92,711	
Djibouti	6,783	5,710	4,086	6,100	5,654	16,890	9,922	15,231	18,662	14,404	28,072	36,777	30,559	
Dominica	146	379	1,585	707	149	134	33	730	18	337	0	14	207	
Dominican Republic	2,785	2,547	2,497	1,398	1,915	2,038	1,535	2,544	890	6,125	2,560	5,044	2,989	
Ecuador	5,810	11,063	3,558	3,281	2,691	4,161	3,352	4,158	2,281	12,815	71,761	19,728	11,668	
Egypt	30,987	17,824	35,394	24,936	38,327	32,441	65,996	133,410	143,640	136,942	81,849	89,845	79,168	
El Salvador	267	687	1,243	664	1,238	715	515	337	81	374	499	2,825	2,075	
Equatorial Guinea	1,154	3,215	4,825	10,097	12,440	11,804	13,406	14,381	11,453	12,216	15,033	7,887	14,838	
Eritrea	1,677	2,284	3,393	2,725	3,943	4,403	6,347	6,726	17,897	27,831	12,992	26,325	9,101	
Estonia	277	1,078	1,652	8,690	8,579	8,874	5,456	5,877	5,650	25,716	27,306	26,606	17,745	
Ethiopia	12,967	16,455	17,296	37,559	25,555	33,959	34,019	46,263	37,166	38,200	38,333	71,388	79,108	
Falkland Islands (Malvinas)	19	35	34	45	34	50	82	73	8	0	60	107	87	
Faroe Islands	0	0	0	0	15	5	45	0	4	0	0	1	81	
Fiji	756	1,357	2,147	3,185	3,587	4,008	1,532	4,394	6,463	10,043	4,585	6,494	2,728	
Finland	27,250	21,971	27,606	30,511	21,140	85,075	100,886	124,658	79,875	206,327	303,892	341,151	397,079	
