List of importing markets for a product exported by South Africa (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	37,372,813	40,757,609	47,374,049	58,298,236	63,208,746	72,294,679	90,055,303	111,898,932	84,087,005	101,243,092	140,342,115	141,125,795	130,894,877	
Afghanistan								0	0	0	55	0		
Albania	0	562	349	192	18	141	555	1,256	1,363	1,473	3,755	685	620	
Algeria	10,208	10,302	19,242	38,008	29,604	22,174	50,919	189,177	197,986	231,738	376,073	459,115	384,044	
Andorra	2	45	12	62										
Anguilla	2	8	20											
Antigua and Barbuda					33		169		305	197	227	577	894	
Argentina	123,493	32,888	0	0	110,030	118,578	131,252	220,305	100,743	141,195	204,929	242,017	241,896	
Armenia	155	919	458	344	241	3,692	6,025	8,256	2,931	5,499	6,729	4,464	45,339	
Aruba					106				0	0	0	0		
Australia	444,213	526,236	740,503	919,448	1,170,493	1,190,148	1,117,899	1,349,632	723,145	990,841	867,847	904,469	864,291	
Austria	215,685	233,086	267,362	383,558	388,277	438,321	460,764	596,557	113,542	126,483	109,526	73,039	100,513	
Azerbaijan	16	1,616	401	449	17,813	4,270	1,944	4,287	28,215	17,528	949	2,603		
Bahamas	394	274	305	279	347	365	418	339	243	224	91	331		
Bahrain	7,586	15,126	18,430	17,099	15,639	11,375	19,662	57,037	22,959	47,864	61,136			
Bangladesh	13,195	7,897	7,898	14,612	16,455	28,924	37,404							
Barbados	705	1,503	955	1,471	1,818	1,249	1,495	1,737	1,933	1,756	1,162	1,994	2,185	
Belarus	4,106	1,843	13,949	2,891	3,397	5,608	9,151	12,090	9,093	8,311	6,118	8,062	14,526	
Belgium	1,018,801	1,042,165	1,218,949	1,658,986	1,683,602	1,830,630	2,700,976	3,124,765	1,890,493	2,126,115	2,627,275	2,463,567	2,338,835	
