List of importing markets for a product exported by Spain Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	116,148,838	125,872,283	156,004,713	182,727,354	192,798,427	214,061,202	253,753,922	279,231,468	223,132,208	246,265,330	298,170,964	285,936,446	310,963,648	
Afghanistan	137	2,778	2,598	3,914	9,198	9,658	8,457	11,320	30,682	55,707	26,287	18,568	18,407	
Africa not elsewhere specified	0	0	0	0	0	0	0	0	0	0	0	0	0	
Albania	16,583	20,811	30,038	37,169	37,902	37,039	45,988	63,779	82,915	54,226	77,562	63,725	57,839	
Algeria	518,956	710,775	856,985	1,029,981	1,541,029	1,351,509	1,851,167	3,191,765	2,922,343	2,700,010	3,456,444	4,453,165	5,124,762	
Andorra	545,379	741,314	943,491	1,115,353	1,149,943	1,170,588	1,322,370	1,317,850	1,084,039	1,035,107	1,109,472	964,399	1,010,162	
Angola	77,914	57,533	105,372	83,279	111,701	245,715	271,829	713,961	496,457	371,454	357,187	409,770	488,335	
Anguilla	185	98	50	59	158	56	126	145	164	100	64	155	556	
Antigua and Barbuda	21,294	6,646	5,424	5,338	72,196	86,046	117,155	1,873	5,775	2,967	17,306	28,449	1,303	
Area Nes	425,673	374,329	478,230	656,473	897,348	1,157,343	2,444,023	3,558,577	1,877,489	2,171,313	3,214,146	1,624,613	2,100,016	
Argentina	667,826	286,754	479,895	548,795	598,302	684,752	956,408	1,034,040	845,059	1,091,745	1,396,435	1,260,451	1,774,808	
Armenia	7,307	3,972	7,144	7,259	8,841	11,732	20,842	24,722	14,814	21,087	42,996	42,755	45,967	
Aruba	4,143	4,355	3,610	3,538	5,734	6,704	18,163	5,983	4,960	4,595	7,459	6,612	5,918	
Australia	397,608	509,204	653,792	943,937	923,290	941,687	1,410,845	1,529,885	1,164,503	1,482,451	2,147,841	2,850,201	3,240,736	
Austria	1,041,994	1,148,775	1,427,130	1,601,777	1,642,557	1,767,495	1,919,564	2,151,272	1,891,777	2,042,133	2,606,831	2,396,486	2,506,779	
Azerbaijan	3,772	9,345	13,544	13,937	18,015	24,371	26,012	35,187	30,815	38,132	69,804	67,152	104,466	
Bahamas	95,344	111,255	146,777	135,758	638,595	567,833	413,173	67,688	35,480	7,938	43,992	110,476	57,346	
Bahrain	28,542	38,255	39,775	48,175	57,535	71,468	84,867	101,808	97,536	76,606	112,186	135,902	130,247	
Bangladesh	26,657	36,961	45,018	72,830	58,212	63,656	77,217	88,261	68,804	85,003	97,303	93,862	90,580	
Barbados	4,091	3,596	5,586	12,556	6,403	4,185	7,817	5,933	2,596	3,181	4,447	4,706	5,585	
Belarus	16,775	23,601	31,742	34,683	41,197	48,627	74,915	105,693	79,985	105,170	137,441	120,327	190,546	
