List of importing markets for a product exported by Spain (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	108,285,146	118,545,168	145,430,151	172,000,106	182,879,597	204,735,408	240,558,226	266,661,804	207,934,547	233,059,289	272,494,426	258,160,957	270,150,416	
Afghanistan								558	211	2,446	970	0		
Albania	16,212	20,721	31,923	34,404	44,272	51,893	55,984	73,058	72,146	71,893	113,494	95,897	76,035	
Algeria	522,176	623,027	743,125	885,902	967,548	1,026,783	1,587,922	2,914,795	2,971,493	2,643,622	3,427,159	4,343,277	5,084,229	
Andorra	510,163	600,181	761,665	907,308										
Anguilla	137	83	108											
Antigua and Barbuda					424		1,015		1,862	4,777	492	1,027	721	
Argentina	712,358	310,981	392,238	516,320	645,052	613,091	812,646	1,053,976	788,041	1,024,151	1,395,639	1,320,860	1,364,688	
Armenia	3,044	3,027	4,217	4,330	8,112	10,254	20,109	35,897	18,405	23,621	38,998	46,747	51,254	
Aruba					8,163				6,119	5,261	7,819	7,020		
Australia	387,790	499,559	682,135	940,086	982,309	1,040,617	1,514,213	1,748,850	1,271,850	1,485,287	1,859,998	2,981,896	2,407,046	
Austria	974,610	1,126,886	1,589,281	1,735,042	1,725,008	1,955,193	2,313,833	2,504,673	1,746,731	1,878,128	2,304,320	1,916,180	2,070,722	
Azerbaijan	3,349	10,269	9,271	11,006	17,614	16,182	18,517	28,047	14,857	19,000	35,587	91,473		
Bahamas	3,516	3,327	2,663	1,239	1,133	1,452	8,027	1,651	3,008	1,483	1,265	1,037		
Bahrain	33,003	41,654	47,166	43,193	55,732	53,526	65,224	119,870	70,555	93,333	174,744			
Bangladesh	23,287	28,003	42,531	64,434	73,214	92,879	83,004							
Barbados	6,823	4,290	6,159	10,128	9,781	6,156	7,693	7,412	3,881	4,663	5,779	7,598	7,458	
