List of importing markets for a product exported by Special categories (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	23,410,764	19,328,602	618,472	714,621	1,404,209	2,268,365	2,628,495	4,736,911	38,139,707	44,411,825	33,892,289	40,452,678	95,827,300	
Australia	0	170,264	3,555	0	0	0	0	1,717,027	4,350,612	5,028,303	0	0	0	
Austria	0	0	0	0	0	0	0	0	4,525,546	6,126,570	8,514,853	8,452,164	6,818,616	
Bahrain	0	0	0	0	0	0	0	0	0	0	0			
Belgium	15,750	13,868	15,345	27,790	16,218	16,795	31,488	58,986	42,865	52,694	40,413	34,988	37,084	
Bosnia and Herzegovina			0	0	0	0	0	5,564	0	0	0	0	0	
Bulgaria	0	0	0	0	17,677	0	0	0	178,425	147,512	152,429	148,740	150,133	
Burkina Faso	9,916	16,303	0	0	0		0	0	0	0	0	0		
Cambodia	93	394	13	5	0	0	0	0	0	0	0	0		
Canada	4,588,320	0	0	0	0	0	0	0	0	0	0	0	0	
Central African Republic	24	0	0			0	0	0	0	0	0	0	0	
Cyprus	0	0	0	0	14,725	11,996	14,816	12,749	2,520	127,832	0	0	0	
Czech Republic	0	0	0	533	54	359	0	0	0	0	0	0	0	
Denmark	831,428	317,060	355,600	342,069	494,707	1,072,118	1,269,184	1,735,330	259,067	77,302	119,708	115,644	74,149	
Dominican Republic	1,621	0	0	0	0	0	0	0	0	0	0	0	0	
Finland	0	0	0	0	0	0	0	644,882	1,966,882	2,644,468	3,154,818	4,810,161	4,045,639	
Gambia	18	0	0	0	0	0	0	0	0	0	0			
Germany	17,904,082	18,718,756	888	693	1,457	0	0	0	0	2,328	0	0	53,797,121	
Greece	0	0	37,219	20,669	0	107,131	6,757	174	3,778	658	773	932	2,276	
Guinea	882	0		0	0	0	0	0		0	0	0		
Hungary	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ireland	11,932	5,451	8,213	82,860	70,735	65,818	28,822	95,739	123,647	108,823	41,655	14,247	14,716	
Italy	0	0	0	0	0	0	0	0	1,300,300	1,460,752	3,223,889	3,097,137	3,212,178	
Japan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Kenya	0	0	0	0	0	0	0	0	0	0	0			
Lithuania	0	0	0	0	0	0	0	0	0	30,173	0	77,945	79,958	
Luxembourg	21,710	15,304	0	0	600,926	830,515	930,374	106,828	17,063	55,977	99,787	80,254	77,317	
Malta	0	0	0	0	0	0	0	0	5,249	3,239	89,546	16,184	84,065	
Morocco	0	0	0	0	0	0	0	0	0	0	0	0	0	
Netherlands	0	0	0	0	0	0	11,034	0	25,087,685	28,297,858	18,293,066	23,490,568	27,253,525	
Poland	0	0	0	0	0	0	0	0	0	71,714	18,024	16,457	15,478	
Portugal	0	0	0	0	142,434	135,158	292,371	318,357	213,045	70,979	65,738	0	0	
Romania	0	0	65,975	81,957	0	0	0	0	0	0	0	0	0	
Senegal	0	5,324	0	0	0	0	0	0	0	0	0	0	0	
Sierra Leone		2,023												
Slovakia	0	0	0	0	30	0	0	1	4	4	0	1	1	
Slovenia	24,988	63,855	131,664	158,045	45,246	28,475	43,649	41,274	63,019	104,508	77,571	95,366	165,038	
Spain	0	0	0	0	0	0	0	0	0	131	3	1,890	6	
Sweden	0	0	0	0	0	0	0	0	0	0	16	0	0	
United Kingdom	0	0	0	0	0	0	0	0	0	0	0	0	0	
