List of importing markets for a product exported by Sri Lanka Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
World	4,723,872	4,722,973	4,867,831	5,466,643	6,159,855	6,760,001	7,661,315	8,176,817	7,121,491	8,304,052	10,011,282	9,369,784	
Afghanistan	57	392	476	1,274	2,038	683	0	349	3,372	337	3,075	1,342	
Africa not elsewhere specified	27	17	994	1,281	699	711	638	697	275	123	0	0	
Albania	1	1	99	0	49	44	19	335	479	974	1,449	4,236	
Algeria	282	267	194	496	772	468	551	784	1,922	535	2,173	1,554	
America not elsewhere specified	129	80	0	6	45	58	0	0	0	0	0	0	
Andorra	0	0	0	1	59	67	131	130	0	0	876	455	
Angola	330	347	815	1,071	526	1,970	1,788	2,149	3,441	2,547	3,519	4,743	
Anguilla	0	16	0	0	23	0	0	0	0	4	0	0	
Antigua and Barbuda	14	38	182	18	20	104	238	48	71	115	497	278	
Area Nes	54,585	62,289	0	575	119,637	164,175	175,870	224,691	115,344	134,134	8,961	17,887	
Argentina	3,177	1,793	3,053	4,759	5,077	6,236	4,738	7,348	5,308	7,622	9,475	5,504	
Armenia	138	303	299	431	650	531	2,539	8,026	3,793	1,412	1,514	1,681	
Aruba	0	122	363	160	52	208	7	24	41	113	4	0	
Australia	45,225	47,133	55,510	52,000	65,654	65,936	80,346	93,691	81,946	102,520	126,586	134,579	
Austria	7,663	6,658	6,562	6,766	6,958	10,149	13,316	17,328	13,968	19,008	30,255	31,701	
Azerbaijan	4,800	5,377	4,096	4,171	4,397	3,591	5,873	12,997	15,276	43,384	54,779	46,921	
Bahamas	118	59	29	47	28	36	17	25	82	63	25	76	
Bahrain	1,805	2,647	3,280	5,011	4,615	4,106	3,968	10,836	10,882	8,885	11,667	4,323	
Bangladesh	10,083	10,175	10,410	13,343	15,498	18,663	22,739	23,098	26,133	35,582	46,308	67,525	
Barbados	406	75	93	23	34	58	49	65	41	47	137	155	
Belarus	843	1,037	1,437	2,102	3,246	3,650	5,263	6,326	3,946	5,361	4,917	5,564	
Belgium	120,148	258,058	171,873	195,774	258,232	334,920	407,001	409,584	368,071	386,597	545,793	464,358	
Belize	50	82	144	233	131	140	209	129	135	186	279	529	
Benin	0	1	13	21	0	16	0	39	124	319	240	506	
Bermuda	33	30	58	26	5	6	2	16	0	4	46	2	
Bhutan	0	2	0	0	12	0	0	0	143	42	112	0	
Bolivia	1,103	708	1,312	1,429	1,511	1,654	1,615	2,332	1,292	2,351	2,264	3,872	
Bosnia and Herzegovina	0	8	84	92	68	22	88	281	61	38	115	55	
Botswana	128	10	10	47	75	0	48	7	50	90	799	564	
Brazil	2,616	2,576	3,773	7,977	13,173	12,136	17,738	22,498	16,037	22,975	31,472	38,102	
British Indian Ocean Territories	0	0	21	0	0	28	0	0	0	39	1	0	
British Virgin Islands	0	0	0	25	0	1	4	0	0	0	23	91	
Brunei Darussalam	240	193	256	218	343	250	392	393	368	208	289	170	
Bulgaria	310	667	1,346	568	1,107	979	1,738	1,987	4,010	2,913	10,132	1,786	
Burkina Faso	0	0	0	28	0	29	59	7	135	244	656	938	
Burundi	45	14	23	0	0	0	0	2	0	0	0	0	
Cabo Verde	1	0	7	0	0	2	0	6	0	25	5	0	
Cambodia	47	218	118	205	314	1,082	1,404	1,648	1,318	5,227	2,326	4,157	
Cameroon	0	11	0	0	68	60	871	347	31	91	95	310	
Canada	68,754	61,585	64,196	71,372	71,456	77,022	78,511	89,572	74,176	94,584	126,164	142,600	
Cayman Islands	2	1	18	1	1	0	0	103	26	23	3	6	
Central African Republic	0	0	0	0	0	0	0	0	68	17	37	0	
Chad	26	0	2	0	0	0	0	0	0	23	0	0	
Chile	11,168	11,114	9,478	11,684	15,634	17,768	20,649	26,549	22,654	26,603	32,445	30,576	
China	4,936	12,209	12,706	17,174	28,367	25,376	35,585	47,813	59,246	89,223	103,995	120,745	
Christmas Islands	0	0	0	0	0	0	0	0	0	0	18	0	
Cocos (Keeling) Islands	0	10	0	0	0	0	0	0	0	0	98	0	
Colombia	2,551	2,868	2,868	3,209	3,440	4,479	4,074	5,282	5,920	6,043	11,085	9,003	
Comoros	0	0	0	0	0	0	0	0	85	888	39	198	
Congo	45	20	15	155	147	188	544	912	1,323	2,673	2,168	2,129	
Cook Islands	0	0	0	1	200	0	0	0	99	711	36	0	
Costa Rica	234	211	99	189	152	226	426	430	249	626	1,306	1,756	
Côte d'Ivoire	691	732	569	541	834	562	785	1,333	1,681	1,606	2,543	4,567	
Croatia	2,907	2,460	2,527	2,421	3,110	1,888	2,208	2,325	0	1,491	1,713	1,551	
Cuba	0	17	26	16	1	27	143	30	45	34	2	16	
Cyprus	5,499	1,039	914	1,104	1,791	2,051	2,324	2,572	3,683	2,200	2,448	1,746	
Czech Republic	1,270	1,511	2,216	3,267	4,294	5,963	7,612	7,823	5,875	6,967	13,416	12,924	
