List of importing markets for a product exported by St. Pierre and Miquelon (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	13,949	5,432	4,772	7,799	12,164	29,816	20,552	15,259	9,930	6,971	14,548	7,059	5,935	
Australia	3	5	0	0	1	0	0	3	0	0	0	151	0	
Austria	1	7	7	6	0	0	0	0	0	0	0	0	0	
Bahrain	0	0	0	0	0	0	0	0	0	9	0			
Belgium	16	0	271	3,115	3,107	3,585	3,821	5,025	3,173	0	0	0	128	
Benin	0	0	0	0	0	1	0	0	0	0	0	0	0	
Brazil	0	1	0	0	0	0	3	29	0	0	0	2	10	
Bulgaria	0	5	3	0	67	0	0	0	0	0	0	0	0	
Cambodia	4	0	0	0	0	0	0	0	0	0	0	0		
Cameroon	0	0	0	0	0	0	2,874	0	0	0	0	0		
Canada	315	374	524	170	20	129	842	445	270	1,481	1,957	2,841	2,534	
Central African Republic	60	0	0			0	0	0	0	0	0	0	0	
China	0	0	0	0	0	0	0	0	1	69	0	0	4	
Colombia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Costa Rica	0	0	0	0	0	0	0	2	0	0	0	0	0	
Côte d'Ivoire	0	0	0	0	1	0	0	0	0	0	0	0		
Croatia	8	0	10	18	7	0	0	6	0	0	0	0	0	
Cuba	0	0	0	0	0	0								
Cyprus	25	186	31	35	0	0	0	0	0	0	0	0	0	
Czech Republic	6	0	0	4	4	0	17	33	0	0	70	44	43	
Denmark	34	0	0	0	140	0	0	0	1	0	0	0	0	
Dominican Republic	0	0	0	0	0	0	0	0	0	0	2	0	0	
Ecuador	11	88	0	0	0	0	0	0	0	0	0	0	0	
Egypt	0	0	0	0	0	0	0	189	0	0	0	30	76	
El Salvador	0	0	0	0	0	0	0	0	0	0	43	0	0	
Ethiopia	0	0	0	1	0	0	0	0	0	0	0	0		
Faroe Islands	2	0	0	1	0	0	0	0	0					
Fiji		0	0	0	0	0	0	0	0	0	0	0		
Finland	0	0	0	0	0	0	0	0	0	0	0	0	0	
France	65	30	399	809	1,104	1,080	4,815	3,927	3,244	1,009	3,305	2,842	1,081	
French Polynesia	0	0	0	0	0	0	0	2	1	0	0	0	0	
Gambia	0	0	0	0	0	0	0	0	0	0	0			
Germany	244	99	34	309	156	4	0	102	0	0	0	0	307	
Ghana	0		35		0	1	0	0	0	0	0	0		
Greece	0	0	0	0	0	0	5	0	32	0	0	0	8	
Guyana	0	0	0	0	0	0	30	0	0	0	0	0	1	
Iceland	0	0	0	0	134	249	0	0	0	0	0	0	0	
India	0	0	0	40	3,573	1,595	26	2	23	9	4	0	1	
Ireland	0	4	48	6	1	0	50	4	0	0	0	10	10	
Israel	0	0	0	0	1	0	0	0	0	0	0	0	0	
Italy	281	192	6	6	13	202	29	0	0	0	60	5	4	
Jamaica	0	0	0	0	0	0	0	0	0	0	0	0		
Japan	8,338	9	11	0	0	2	0	0	10	12	22	0	3	
Korea, Republic of	0	0	0	0	0	0	1	0	0	0	0	0	0	
Lebanon	3	0	2	0	0	0	1	0	0	0	0	0	0	
Luxembourg	40	15	36	26	19	19,061	77	41	12	11	0	0	9	
Macao, China	0	0	0	7	0	0	0	0	0	0		0		
Macedonia, The Former Yugoslav Republic of	0	0	0	159	0	0	0		0	0	0	0	0	
Madagascar	0	0	0	0	0	0	0	0	0	0	0	0	0	
Malawi	0	0	0	0	0	0	0	0	0	0	0	0	0	
Malaysia	0	0	0	0	0	0	0	0	7	0	0	0	0	
Mali	17	0	0	0	0	0	0	0		0	0	0		
Mauritania	0	0	0	6	0		0	0	7	0	0	0		
Mauritius	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mexico	0	0	0	246	17	299	25	6	44	1	1	1	7	
Namibia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Nepal			0						0	0	0			
Netherlands	89	0	1	102	0	0	0	0	0	41	95	1	0	
New Caledonia	0	0	0	0	0	0	0	0	0	0	0	0	0	
New Zealand	0	0	0	0	0	0	0	1	0	0	0	0	0	
Niger	0	0	0	0	463	66	0	0	0	0	0	0	0	
Nigeria	0	0	0			0	2,382	0	0	0	0	0		
Norway	0	0	0	0	0	0	0	0	0	0	0	0	0	
Pakistan			0	0	0	0	0	0	0	0	0	120	252	
Panama	0	0	0		0	0	0	0	0	0	0			
Papua New Guinea	1	0	0	0							0	0		
Paraguay	0	0	0	8	1	2	6	21	8	0	1	47	0	
Philippines	0	0	0	0	0	0	0	0	0	0	0	0	0	
Poland	0	0	0	3	1	6	0	9	1	3	5	0	2	
Portugal	600	219	0	5	25	118	647	1,180	155	829	956	448	94	
Romania	0	0	0	0	0	0	0	0	0	0	0	0	1	
Russian Federation	0	0	0	0	0	0	0	0	0	0	0	0	4	
Saint Lucia	46	0	0	1	0	0	0	0						
Saint Vincent and the Grenadines	0	0	0	0	0	0	0	0	13	0	0	0		
Saudi Arabia	0	0	0	0	0	0	0	0	0	0	0	0		
Senegal	0	0	0	119	0	30	0	0	0	0	0	33	0	
Slovakia	0	0	0	14	38	149	21	288	70	152	41	357	179	
Slovenia	0	0	0	14	209	141	305	291	191	117	0	0	25	
South Africa	81	0	0	2	0	0	0	0	0	0	3	0	0	
Spain	126	444	221	1,098	1,585	1,851	2,616	2,553	1,078	27	105	0	1,082	
Sri Lanka	0	0	0	0	0	0	0	0	0	0	0	0		
Sudan (North + South)	0	0	0	0	0	0		29	785	1,339	7,661			
Sweden	0	0	0	0	0	21	0	0	0	0	0	0	0	
Switzerland	23	43	49	0	380	0	0	18	0	0	0	91	0	
Taipei, Chinese	0	0	0	0	0	0	0	0	0	0	1	0	0	
Tanzania, United Republic of	0	4	0	0	0	0	0	0	0	0	0	0	0	
Thailand	3	0	386	0	0	1	0	0	0	0	0	0	1	
Togo	1	0	0	0	0		0	0	0	0	0	0	0	
Trinidad and Tobago	0	0	0	0	0	0	0	0	0	0				
Tunisia	0	0	0	0	0	0	0	0	0	0	0	32	0	
Turkey	0	0	0	0	0	0	0	5	0	3	1	1	4	
United Kingdom	0	0	0	0	0	59	369	0	6	3	3	0	8	
United States of America	3,506	3,707	2,698	1,469	1,097	1,164	1,590	1,048	798	1,856	211	3	57	
Viet Nam	0	0	0	0	0	0	0	0	0	0	0	0		
Zimbabwe	0	0		0	0	0	0	0	0	0	1	0	0	
