List of importing markets for a product exported by Sudan (North + South) (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	1,800,535	2,139,285	2,699,144	3,944,633	5,353,434	5,989,960	8,634,108	13,285,933	7,571,829	9,503,232	13,701,333	3,809,541	6,158,851	
Albania	0	2,020	2,030	98	14	0	6	0	71	0	6	0	0	
Algeria	535	1,020	843	1,684	1,388	530	892	202	1,172	1,257	1,516	748	1,717	
Andorra	0	0	0	0										
Antigua and Barbuda					0		125		0	0	0	1	0	
Argentina	76	16	75	137	0	69	163	226	190	69	211	120	237	
Armenia	0	0	0	0	0	0	0	5	9	2	5	9	1	
Aruba					169				0	0	0	0		
Australia	94	77	0	47	40	12	42	22	84	41	1,066	140	213	
Austria	179	64	454	577	723	562	798	1,350	171	21	18	153	15	
Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	4		
Bahrain	731	347	242	169	62	316	153	301	51	159	802			
Bangladesh	9,147	7,789	17,969	18,619	19,328	18,805	14,881							
Barbados	4	1	8	6	29	33	29	6	2	6	2	3	5	
Belarus	3	5	5	21	0	0	0	0	0	0	0	6	85	
Belgium	3,650	4,192	7,089	8,678	4,212	8,152	11,494	6,813	1,774	1,234	11,505	7,021	4,718	
Belize	10	1	0	0	0	0	0	0	0	0	1	0	0	
Benin	2	5	0	0	1	24	29	1	44	0	0	3	17	
Bhutan					0	0	0	0	0	0	0			
Bolivia	0	0	0	0	1	0	33	12	4	3	6	8		
Bosnia and Herzegovina			2,333	110	81	76	129	3	27	7	68	53	173	
Botswana	0	10	5	0	0	1	3	0	196	35	1	0	4	
Brazil	133	15	31	187	71	81	193	312	45	42	63	125	246	
Bulgaria	901	641	608	1,119	210	263	238	576	5	29	138	12	73	
Burkina Faso	3	0	11	0	6		6	0	0	4	0	0		
Burundi	2	0	0	0	0	3	324	272	0	402	0	45	0	
Cambodia	0	0	30	0	0	0	0	3	0	2	0	23		
Cameroon	10	0	0	1	10	12	4	0	0	0	6	0		
Canada	484	154	159	11,555	66,409	63,137	60,513	64,504	60,105	80,596	118,343	106,421	70,696	
Central African Republic	0	0	0			10	1	0	4	0	37	2	0	
Chile	3	22	33	29	19	23	72	74	57	13	3	1	0	
China	938,127	1,157,585	1,441,821	1,705,877	2,614,462	1,943,482	4,171,239	6,325,889	4,684,822	6,671,907	9,541,534	2,053,732	4,623,562	
Colombia	173	84	49	7	95	21	47	33	48	245	173	162	198	
Comoros	0	4	0	0	0	0	0	45	4					
Congo							0	0	0	0	90	0	0	
Costa Rica	0	0	0	0	0	5	0	11	0	0	7	8	818	
Côte d'Ivoire	0	0	0	0	0	0	1	4	99	842	3,716	375		
Croatia	43	109	199	232	284	112	11	114	202	40	9	3	0	
Cuba	0	3	0	25	21	6								
Cyprus	75	185	127	732	1,452	52	24	998	46	26	1	75	208	
Czech Republic	1,602	891	1,392	1,045	325	725	2,826	302	236	358	631	352	491	
Denmark	168	456	66	560	21	614	998	714	330	579	283	20	29	
Djibouti									145					
Dominica	4	10	0	5	0	5	0	0	0	0	0	0		
Dominican Republic	1	0	3	0	0	0	1	10	12	36	44	64	34	
Ecuador	0	0	19	17	0	0	7	0	0	0	11	2	51	
Egypt	64,064	56,604	48,395	70,346	64,622	60,233	50,484	48,746	43,694	41,465	26,711	23,096	74,305	
El Salvador	0	0	0	0	4	45	3	0	0	0	11	283	389	
Eritrea			2,313											
Estonia	12	0	10	14	27	15	13	3,407	0	52	21	20	0	
Ethiopia	880	808	5,973	9,573	49,267	75,610	27,137	153,384	71,529	109,302	145,633	69,503		
Faroe Islands	0	0	0	0	0	3	0	0	0					
Fiji		11	1	15	6	0	0	2	5	2	13	8		
Finland	679	8,879	10,748	1,658	1,588	2,236	1,907	2,014	822	702	979	1,227	16,918	
France	41,654	17,887	14,979	26,451	45,065	14,902	33,925	39,114	29,168	39,111	50,617	55,805	66,241	
French Polynesia	0	0	0	0	0	0	0	0	0	0	0	2	0	
Gabon	0	0	0	19	0	0	0	0	0					
Gambia	5	0	0	0	0	0	0	0	0	0	18			
Georgia	0	0	0	0	0	1	0	289	0	0	0	16	13	
Germany	32,184	36,998	36,108	40,826	42,371	30,674	25,754	49,362	15,882	22,407	33,436	24,062	20,122	
Ghana	0		1		24	30	7	554	149	436	17	39		
