List of importing markets for a product exported by Suriname Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	
World	395,746			807,598	997,421	1,174,596	1,359,057		1,401,839	2,025,567	2,466,872	
Afghanistan	0			0	0	2	1		0	0	23	
Albania	0			0	0	0	0		0	0	9	
Angola	0			0	0	0	0		0	0	0	
Anguilla	0			0	0	0	0		0	0	0	
Antigua and Barbuda	46			130	143	115	174		278	365	330	
Area Nes	303,948			475,662	537,485	608,790	720,418		30	25	53	
Argentina	1			11	1,358	466	0		3,871	237	9,414	
Aruba	1,695			235	128	272	699		370	235	307	
Australia	1			0	84	91	48		566	11	138	
Austria	0			17	15	17	120		41	28	2	
Bahamas	232			100	271	22	0		0	0	127	
Bahrain	0			8	6	0	28		28	12	59	
Bangladesh	0			0	0	0	0		0	31	0	
Barbados	467			13,129	14,908	18,807	23,914		11,376	111,239	97,786	
Belgium	751			91,890	101,263	158,502	168,138		220,105	204,154	250,722	
Belize	13			2	0	14	0		0	19	0	
Bolivia	515			0	0	0	0		110	5	129	
Botswana	0			0	0	0	0		0	0	0	
Brazil	360			2,527	26,573	5,603	3,641		11,446	1,544	5,965	
British Virgin Islands	0			0	0	0	0		0	2	0	
Bulgaria	0			2	0	0	6		5	4	9	
Burundi	0			0	0	0	0		0	0	0	
Cabo Verde	79			0	0	0	0		0	0	0	
Cambodia	0			0	0	0	0		10	0	0	
Cameroon	0			0	0	0	0		0	3,319	0	
Canada	35,574			73,200	135,267	192,689	156,871		375,792	577,416	458,244	
Cayman Islands	0			0	9	0	0		0	0	0	
Central African Republic	0			0	0	771	0		0	0	1	
Chile	0			59	52	8	77		49	10	4	
China	2,955			735	1,636	3,459	6,348		22,578	14,582	10,736	
Colombia	25			12	253	35	712		36	422	466	
Congo	0			0	0	0	0		0	0	0	
Costa Rica	0			45	15	3	95		7	137	2	
Côte d'Ivoire	0			0	0	24	0		0	0	0	
Croatia	0			9	2	0	0		1	0	0	
Cuba	0			150	88	83	226		341	286	153	
Cyprus	28			1	17	37	0		0	0	0	
Czech Republic	2			7	40	3	6		2	12	5	
Democratic Republic of the Congo	0			0	0	0	1		0	0	0	
Denmark	144			39	10	34	10		3	0	14	
Dominica	53			26	33	79	14		146	43	154	
Dominican Republic	98			605	152	34	181		129	184	124	
Ecuador	0			21	27	5	0		13	669	2,508	
Egypt	0			0	4	5	0		0	0	29	
El Salvador	0			0	26	56	4		0	0	0	
Equatorial Guinea	0			0	0	0	4		0	0	0	
Ethiopia	0			0	0	0	0		0	0	0	
Faroe Islands	0			0	0	0	0		0	0	0	
Fiji	0			0	0	0	0		0	2	0	
Finland	0			0	0	2	0		47	0	0	
France	1,909			3,617	3,464	6,726	3,615		60,033	55,627	37,771	
Gambia	0			0	0	0	436		0	0	0	
Germany	120			3,083	530	1,028	1,115		7,921	1,568	4,035	
Ghana	0			0	425	37	3		8	0	16,916	
Gibraltar	0			0	0	0	0		0	0	0	
Greece	8			0	6	9	7		0	0	0	
Grenada	12			4	11	50	84		123	108	111	
Guatemala	79			0	152	3	22		301	0	0	
Guinea-Bissau	0			0	0	0	30		0	0	0	
Guyana	11,063			34,057	27,990	45,508	42,420		71,362	113,706	137,529	
Haiti	0			1,350	84	2,982	3,902		950	7,050	31	
Honduras	0			13	0	13	0		4	0	0	
Hong Kong, China	0			25	577	240	129		755	533	708	
Hungary	75			12	17	6	0		0	0	0	
Iceland	90			0	0	0	0		42,615	21,376	17,848	
India	19			256	836	60	693		731	467	1,436	
Indonesia	76			3	70	10	3		50	102	39	
Iran (Islamic Republic of)	0			5	0	0	0		0	0	0	
Ireland	1			6	0	97	43		0	1	56	
Israel	26			36	43	24	1		0	8	18	
Italy	259			108	175	19	7		1,026	184	167	
Jamaica	1,174			2,430	1,079	1,847	2,695		11,065	20,164	40,525	
Japan	105			125	111	73	66		5,610	4,912	4,429	
Jordan	0			7	9	0	0		0	0	0	
Kenya	0			0	0	0	0		0	0	0	
Korea, Democratic People's Republic of	94			2	48	9	2		17	386	348	
Korea, Republic of	0			0	0	0	0		0	51	99	
Kuwait	0			0	0	0	0		0	0	0	
Latvia	0			0	0	0	0		0	0	0	
Lebanon	0			11	30	0	15		0	0	1	
Liberia	8			162	66	44	48		147	8	0	
Libya	0			0	0	74	0		0	0	0	
Lithuania	0			6	0	0	0		0	0	0	
Luxembourg	0			0	0	0	0		0	0	0	
Macedonia, The Former Yugoslav Republic of	0			0	0	0	0		0	0	0	
Madagascar	0			0	21	0	0		0	0	0	
Malaysia	71			0	30	199	0		11	0	344	
Mali	0			0	17	11	1		10	112	1	
Malta	10			0	25	0	70		29	103	39	
Mauritania	0			65	2,285	0	0		0	0	0	
Mexico	438			327	102	25	526		23	32	1,636	
Mongolia	0			0	0	0	0		0	0	2	
Montserrat	14			96	0	0	0		41	10	0	
Morocco	0			14	0	0	0		0	0	0	
Mozambique	38			0	0	0	0		0	94	0	
Namibia	0			0	0	1	9		11	10	6	
Netherland Antilles	2,564			1,610	2,260	7,107	11,349		15,119	8,399	17,211	
Netherlands	11,843			15,641	53,521	25,461	27,046		52,215	104,543	37,865	
New Caledonia	0			0	0	0	0		0	0	0	
New Zealand	0			52	9	3	0		0	0	65	
Nicaragua	220			0	0	0	0		0	14	0	
Niger	0			0	0	0	0		0	29	0	
Nigeria	0			0	4	0	0		0	38	0	
Norway	572			4	8	0	1		47,658	95,355	85,012	
