List of importing markets for a product exported by Swaziland (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	381,120	507,505	599,300	807,664	858,441	963,139	936,371	1,073,945	892,673	957,717	865,259	931,888	2,012,428	
Afghanistan								0	0	0	0	0		
Albania	0	0	3,784	1,834	1,611	732	433	327	318	269	196	12	384	
Algeria	93	90	146	961	216	1,091	159	302	3,608	771	1,115	3,438	1,034	
Andorra	0	1	0	0										
Antigua and Barbuda					633		566		60	225	20	17	21	
Argentina	42	0	0	0	2	0	0	0	0	0	46	12	28	
Armenia	0	0	0	0	0	0	0	1	0	0	0	0	0	
Australia	2,014	18,308	29,812	40,175	46,674	33,267	45,803	50,205	46,235	56,830	25,819	3,425	3,644	
Austria	6	28	126	21	3	36	35	128	2	12	9	11	40	
Azerbaijan	0	0	0	0	0	0	0	0	1	0	0	0		
Bahrain	0	14	0	0	10	0	0	0	0	0	24,627			
Bangladesh	5,132	11,557	10,094	4,618	9,374	8,270	10,252							
Barbados	23	19	51	36	108	171	71	64	93	381	58	447	7	
Belarus	0	24	0	0	95	0	72	24	7	22	47	91	534	
Belgium	3,598	3,556	4,140	1,567	376	1,668	1,959	839	392	41	1,253	1,326	1,199	
Belize	1	0	0	0	0	1	0	0	32	0	0	21	7	
Benin	2	20	63	312	926	129	52	147	73	270	219	177	160	
Bermuda												17	52	
Bhutan					26	0	0	0	19	6	2			
Bolivia	0	335	14	79	57	1,022	80	99	103	647	133	103		
Bosnia and Herzegovina			339	996	87	44	43	46	32	17	50	13	11	
Botswana	1	3,150	2,531	288	214	92	210	1,982	3,740	5,754	2,143	5,253	4,019	
Brazil	414	88	294	289	312	232	425	178	1,561	19,762	17,390	3,691	532	
Brunei Darussalam	8	3	4	9		5				3	88	1,157	0	
Bulgaria	3	20	4	10	10	49	25	29	0	129	0	1,301	0	
Burkina Faso	3	0	0	29	24		12	5	0	0	49	132		
Burundi	1,146	140	26	24	0	869	102	0	149	44	747	218	0	
Cabo Verde	0	0	0	60	0	158	0		0	0	45	0	0	
Cambodia	4	0	2	91	854	176	484	1,111	1,150	129	350	478		
Cameroon	18	7	18	22	36	3	299	35	1,021	1,288	145	95		
Canada	828	1,505	1,828	2,068	3,192	1,880	2,320	2,282	1,685	1,607	1,843	3,020	2,485	
Central African Republic	0	0	0			0	1	305	1	0	198	0	0	
Chile	0	79	2	0	0	34	0	0	0	0	1	21	1	
China	7,014	11,089	14,533	14,633	23,181	24,822	19,332	11,280	15,108	2,504	344	100,381	115,524	
Colombia	4	1	4	171	160	133	87	37	488	1,047	155	116	286	
Comoros	0	0	0	0	0	1	0	0	196					
Congo							46	9	0	0	0	5	0	
Costa Rica	34	0	25	36	193	303	1	2	1	151	91	18	119	
Côte d'Ivoire	19	0	0	1	33	2	32	11	279	69	97	258		
Croatia	22	4	7	172	6	36	12	14	5	17	50	44	7	
Cuba	184	17	27	26	322	137								
Cyprus	4	2	93	45	106	73	455	257	116	128	309	7	10	
Czech Republic	58	118	44	43	108	137	123	49	73	185	237	306	365	
Denmark	171	1,667	146	87	36	1,265	31	30	10	243	118	309	369	
Dominica	140	14	34	47	356	65	26	46	55	39	191	125		
Dominican Republic	86	17	18	1	146	195	60	673	3,430	2,307	3,035	1,355	1,679	
Ecuador	11	18	804	68	0	6	9	328	1,615	54	104	333	1,424	
Egypt	19	1,793	0	9	387	0	154	1,098	50	632	129	60	14,268	
El Salvador	0	0	0	0	0	0	0	0	0	0	0	472	1,929	
