List of importing markets for a product exported by Switzerland Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	82,097,697	91,992,367	104,971,878	123,009,911	130,929,632	147,856,286	172,078,120	200,614,754	172,474,146	195,609,280	234,819,262	225,948,762	229,156,592	
Afghanistan	70	1,260	806	1,828	2,589	861	945	1,774	8,621	5,274	10,803	12,236	9,673	
Africa not elsewhere specified	5	0	0	0	0	0	6,421	4,760	6,841	1,283	3,525	3,998	4,704	
Albania	6,389	14,024	13,401	25,878	20,631	24,009	26,524	34,776	36,584	32,862	40,591	33,080	34,441	
Algeria	85,083	91,695	105,476	155,176	119,325	198,301	328,808	479,196	570,820	479,495	525,203	423,157	456,145	
Andorra	6,931	6,894	7,769	5,494	7,420	4,869	5,420	5,939	7,910	7,863	6,571	5,622	14,325	
Angola	14,689	8,279	5,700	9,686	11,912	22,313	34,005	30,703	39,265	23,656	25,976	70,172	36,527	
Anguilla	66	17	50	51	100	76	2,447	242	202	102	25	411	1,297	
Antigua and Barbuda	3,254	1,559	2,733	3,895	4,525	5,202	4,388	4,397	2,328	2,718	2,511	2,314	2,265	
Area Nes	0	41,030	4,067	90	0	0	0	0	0	0	0	0	0	
Argentina	201,691	113,721	185,518	207,432	252,792	289,157	309,905	368,712	329,073	437,381	514,164	532,255	805,891	
Armenia	5,166	8,924	6,177	5,808	9,434	11,976	19,227	30,963	36,445	33,921	29,150	40,664	35,011	
Aruba	4,345	6,381	8,056	12,088	10,194	6,489	89,081	13,481	7,004	11,734	12,360	16,338	13,812	
Australia	652,787	679,328	780,621	1,036,388	1,149,812	1,314,041	1,655,167	1,975,680	1,811,280	2,094,219	2,818,133	2,662,922	2,584,084	
Austria	2,651,428	3,050,609	3,465,888	3,946,775	4,152,307	4,668,304	5,267,567	5,572,476	5,044,122	6,219,004	7,473,518	6,622,639	7,132,607	
Azerbaijan	9,615	15,666	16,757	42,957	33,485	81,193	70,676	128,789	95,142	136,622	236,538	189,428	244,908	
Bahamas	46,179	65,754	96,465	50,147	55,271	79,975	114,392	77,798	100,897	87,800	181,094	134,925	83,271	
Bahrain	58,589	125,924	86,620	141,758	110,985	140,549	191,362	200,048	289,931	262,036	264,482	261,832	335,016	
Bangladesh	52,860	44,491	46,360	72,179	75,300	77,899	80,485	122,832	66,800	79,596	135,611	112,041	110,430	
Barbados	2,056	2,087	3,175	7,037	7,628	11,244	13,653	16,621	6,797	7,867	10,722	7,938	11,300	
Belarus	18,127	16,775	20,759	35,423	57,451	55,386	80,520	133,905	102,956	92,051	195,098	175,853	165,757	
Belgium	1,608,390	1,942,165	2,050,836	2,299,739	2,355,622	2,584,776	3,274,844	3,889,317	3,582,977	3,724,554	4,764,392	5,224,977	5,767,093	
Belize	142	847	461	902	1,837	1,681	4,643	8,361	5,409	8,561	14,582	10,178	14,051	
Benin	21,272	16,405	15,786	9,498	8,853	12,859	20,214	31,504	24,835	33,821	33,224	23,304	31,443	
Bermuda	10,221	10,726	41,641	21,614	17,514	25,923	11,964	53,279	55,096	5,472	4,868	4,076	3,176	
Bhutan	321	332	478	589	371	1,290	636	2,198	1,708	1,710	10,263	3,911	5,768	
Bolivia	6,404	5,349	5,838	6,026	8,989	6,524	12,948	10,085	11,612	12,264	17,510	37,203	25,084	
Bosnia and Herzegovina	17,002	22,890	27,237	31,589	36,197	40,622	63,374	68,069	57,564	58,446	64,550	57,757	53,497	
Botswana	1,334	2,035	25,281	53,027	1,631	2,161	2,989	3,798	3,086	1,424	2,931	33,103	1,895	
Brazil	732,878	711,075	866,133	1,007,242	915,131	1,165,554	1,559,374	2,237,198	1,837,193	2,227,543	2,513,052	2,509,408	2,402,260	
British Indian Ocean Territories	0	20	71	6	15	245	561	2	0	114	763	30	8	
British Virgin Islands	12,378	50,838	113,087	120,703	74,959	60,130	95,569	188,640	106,395	98,789	117,384	141,846	147,920	
Brunei Darussalam	2,872	2,796	5,921	2,616	1,506	13,231	16,069	7,200	2,407	8,399	2,968	1,580	2,836	
Bulgaria	83,978	101,612	135,640	231,124	186,829	253,971	247,624	333,712	247,591	252,469	300,841	317,308	353,819	
Burkina Faso	672	921	1,207	1,424	1,331	2,083	2,222	3,613	3,608	3,234	3,251	8,954	7,103	
Burundi	539	510	414	556	7,778	2,701	589	938	321	1,218	1,628	1,029	740	
Cabo Verde	447	574	351	368	518	595	988	1,146	402	1,474	2,709	1,957	1,916	
Cambodia	4,579	3,043	5,589	4,710	4,714	7,540	7,750	7,511	4,282	5,471	5,510	7,774	9,982	
Cameroon	9,038	8,095	8,640	12,447	10,680	18,217	11,711	14,450	11,697	19,270	23,145	13,929	13,863	
Canada	816,294	1,003,818	1,069,102	1,605,887	1,822,356	2,197,868	2,418,344	2,246,689	2,318,064	2,779,285	3,126,479	3,455,987	3,494,479	
Cayman Islands	9,032	13,186	19,422	27,232	21,939	25,163	23,839	18,243	29,081	20,197	34,023	14,471	21,877	
Central African Republic	344	174	70	171	592	1,280	210	1,086	294	987	320	315	354	
Chad	1,414	463	504	1,374	1,733	11,891	2,851	2,915	2,111	1,690	1,595	1,892	2,984	
Chile	97,199	91,748	99,441	109,385	131,964	156,698	161,580	204,763	207,326	197,939	311,077	287,602	317,797	
China	988,882	1,332,610	1,848,059	2,501,958	2,784,836	3,277,357	4,512,398	5,676,595	5,074,931	7,178,058	9,971,193	8,350,830	9,448,527	
Christmas Islands	420	2	72	7	0	23	6	2	0	27	122	13	0	
Cocos (Keeling) Islands	74	0	0	15	21	0	86	0	25	0	0	0	0	
Colombia	114,246	122,857	141,099	171,410	188,966	183,294	256,592	283,445	269,177	291,651	388,516	435,622	481,507	
Comoros	12	81	73	85	25	141	137	246	81	120	57	57	33	
Congo	3,011	3,046	10,118	3,172	2,268	3,200	7,257	7,070	5,728	8,657	12,068	8,044	9,460	
