List of importing markets for a product exported by Syrian Arab Republic (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	5,842,970	6,762,062	6,097,837	5,474,835	5,874,400	6,522,155	7,117,736	8,900,458	6,098,891	8,764,245	7,939,769	2,071,796	1,182,692	
Afghanistan								0	0	0	1	0		
Albania	1,056	217	333	862	1,469	1,091	1,339	1,681	1,796	1,822	2,003	954	1,040	
Algeria	24,569	126,257	111,174	52,886	36,202	27,421	22,528	30,340	62,781	69,029	77,112	44,791	22,863	
Andorra	2	1	0	0										
Antigua and Barbuda					90		78		106	108	77	62	33	
Argentina	378	265	277	1,203	306	375	582	652	470	921	2,060	2,889	85	
Armenia	3,861	374	918	1,072	2,189	4,213	1,835	5,754	3,089	4,390	5,614	2,617	1,101	
Australia	524	542	1,005	1,235	1,397	1,867	1,787	1,203	871	1,958	1,544	1,499	1,241	
Austria	190,420	175,946	135,200	47,193	62,427	279,666	338,942	153,937	133,600	324,170	160,021	5,618	720	
Azerbaijan	820	849	521	510	594	791	1,268	1,963	1,210	922	1,186	509		
Bahamas	0	0	2	0	0	0	0	0	0	0	20	0		
Bahrain	12,902	10,388	6,358	3,976	6,374	2,843	5,772	12,896	6,507	7,347	7,462			
Bangladesh	6,842	6,540	6,832	7,761	7,444	10,446	10,356							
Barbados	6	9	8	2	7	2	25	27	12	23	15	0	2	
Belarus	29	119	147	532	335	1,241	3,951	19,257	2,267	8,087	18,485	3,699	8,063	
Belgium	29,651	63,542	32,817	48,546	25,887	22,086	70,360	65,484	25,595	32,103	37,284	10,403	5,832	
Belize	0	0	0	0	0	0	1	0	0	0	0	0	0	
Benin	170	302	188	43	86	93	244	644	202	271	316	119	210	
Bolivia	129	171	144	89	156	150	154	69	144	122	163	158		
