List of importing markets for a product exported by Taipei, Chinese (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	151,735,105	164,425,680	182,370,564	224,747,873	246,823,578	283,373,114	312,868,698	321,258,108	257,548,447	339,272,546	377,276,329	375,568,524	359,593,961	
Afghanistan								2,942	1,198	5,342	6,362	0		
Albania	271	790	1,556	1,879	2,310	2,944	7,040	7,330	6,419	7,545	7,679	13,984	9,379	
Algeria	19,136	24,090	26,759	37,232	45,267	37,022	53,616	68,923	61,016	107,034	85,351	92,090	103,046	
Andorra	1,364	2,592	1,534	4,174										
Anguilla	5	3	19											
Antigua and Barbuda					467		886		1,053	542	309	580	290	
Argentina	230,405	59,876	130,558	186,656	178,848	278,874	330,424	402,903	291,104	444,584	539,095	511,140	541,511	
Armenia	349	591	484	1,703	1,005	4,134	4,169	9,301	8,419	8,787	10,349	10,806	14,187	
Aruba					213				481	637	709	628		
Australia	1,565,100	1,820,217	2,169,871	2,636,387	2,761,950	3,104,205	3,585,682	3,745,898	2,632,901	3,251,932	3,896,901	3,871,650	3,500,783	
Austria	604,883	490,709	485,603	637,756	671,341	704,207	771,083	934,321	419,797	524,074	513,182	465,467	490,223	
Azerbaijan	3,503	2,324	1,427	1,149	2,084	2,665	3,754	5,439	10,012	19,176	29,497	27,841		
Bahamas	3	80	5	48	49	0	0	0	0	0	225	110		
Bahrain	26,950	26,021	27,956	22,586	28,690	20,730	27,256	56,225	47,437	39,728	69,611			
Bangladesh	418,954	307,732	363,231	367,926	404,143	419,293	428,908							
Barbados	6,933	6,342	6,097	8,184	7,967	7,486	7,362	6,242	5,577	5,714	5,902	5,236	5,877	
Belarus	18,590	16,320	17,576	34,895	36,169	43,994	67,141	95,368	76,462	99,523	117,174	108,733	136,460	
