List of importing markets for a product exported by Tajikistan (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	352,234	457,655	568,587	645,513	795,146	901,444	1,094,470	1,063,782	900,952	1,219,457	1,200,299	1,033,189	803,123	
Afghanistan								37,180	68,848	98,128	226,888	0		
Albania	0	0	7	0	0	0	0	0	0	0	0	458	393	
Algeria	10,784	17,315	9,365	20,370	29,237	23,277	23,982	35,389	28,398	50,742	36,999	15,340	29,393	
Andorra	1	0	1	0										
Argentina	0	0	0	2	0	2	0	0	0	0	0	0	2	
Armenia	0	0	0	0	0	0	236	27	0	204	79	116	768	
Australia	4	3	91	11	44	280	76	594	1,612	3,410	4,066	252	2	
Austria	1,538	5,896	1,341	6,976	10,653	12,459	9,277	2,178	137	1,774	82	7	76	
Azerbaijan	858	423	984	9	108	289	515	500	743	1,256	2,773	160		
Bahrain	0	250	133	0	0	0	0	0	0	0	0			
Bangladesh	0	596	9,218	21,766	14,763	11,142	9,728							
Barbados	0	1	0	0	0	2	0	0	0	0	0	0	0	
Belarus	1,723	1,550	1,907	4,774	3,464	4,441	6,256	9,846	11,133	5,499	21,893	9,333	4,881	
Belgium	6,661	6,074	10,815	8,887	6,139	23,809	3,607	2,621	1,182	1,842	3,424	2,253	1,818	
Bolivia	0	0	0	0	0	0	2	0	1	0	0	0		
Bosnia and Herzegovina			3	340	2,299	164	35	625	590	2	8	3,872	370	
Botswana	0	11	0	0	0	0	0	0	33	0	0	0	0	
Brazil	0	5	0	65	21	255	2	9	143	4	3	1	7	
Bulgaria	7,148	19,839	30,260	37,077	15,907	18,682	18,351	51,605	5,814	5,673	3,333	0	4,903	
Burundi	0	0	0	0	0	2	0	0	0	0	0	0	0	
Cambodia	0	0	0	0	0	0	0	32	0	0	0	0		
Canada	2	241	29	61	78	83	79	39	5	15	4	78	8	
Chile	0	1	1	0	0	75	1	80	0	4	2	25	3	
China	5,452	5,886	18,008	15,366	14,197	18,002	10,285	20,244	184,985	56,048	72,228	108,829	88,727	
Colombia	0	1	0	0	0	1	0	0	0	0	0	0	0	
Costa Rica	0	0	0	2	0	0	0	0	7	0	67	8	3	
Côte d'Ivoire	0	0	0	0	0	0	25	0	0	0	0	0		
Croatia	456	198	3,264	5,959	1,405	18,083	17,879	6,402	614	118	180	2,506	3	
Cuba	0	0	0	0	0	0								
Cyprus	0	147	0	0	0	0	0	0	40	0	0	2	0	
Czech Republic	10,731	19,706	15,764	19,065	11,990	20,262	77,062	22,938	2,268	2,991	4,576	3,440	2,151	
Denmark	138	525	302	108	80	9	11	111	3	17	2	57	55	
Dominican Republic	0	0	0	0	197	29	20	0	1	1	0	0	0	
Ecuador	0	0	0	17	0	0	0	0	0	0	0	0	51	
Egypt	43	25	3	44	25	73	38	0	178	45	289	60	1,438	
El Salvador	21	23	0	0	1	0	0	0	0	0	0	0	0	
Estonia	4,828	10,432	16,212	22,560	6,504	15,433	12,311	25,752	1,905	5	5	2	0	
Ethiopia	0	0	0	0	0	0	3	0	7	0	0	1		
Faroe Islands	1	2	5	1	4	3	1	1	2					
Fiji		1	0	0	1	0	0	5	0	0	3	0		
Finland	0	0	0	5	4	97	0	2	0	0	0	0	1	
France	12,352	9,529	13,434	9,741	4,216	14,353	12,265	10,787	2,114	3,764	8,406	3,175	709	
French Polynesia	0	0	0	0	0	0	1	0	0	0	0	0	0	
Georgia	122	2	27	72	42	91	31	298	215	49	514	33	23	
Germany	8,284	5,390	6,321	9,991	5,469	31,440	54,204	10,040	2,533	3,370	2,362	3,751	4,904	
Ghana	0		0		0	0	0	0	0	2	0	0		
Greece	0	50	8,375	6,791	4,976	41,234	41,922	23,626	37,278	13,698	9,396	69,832	63,276	
Greenland	0	0	1	0	0	0	0	0	2	12	5	0	0	
Guatemala	0	1	0	0	3	0	0	0	1	0	0	0	1	
Guyana	0	0	0	0	0	0	0	0	0	0	0	0	5	
Honduras	0	0	0	28	0	0	0	0	0	0	0	0	0	
Hong Kong, China	0	0	0	1	8	98	70	334	217	76	328	28		
Hungary	40,194	71,775	80,717	36,044	4,842	1,707	5,286	12,874	506	2,992	264	1,345	44	
Iceland	0	0	0	0	0	0	0	0	0	0	0	0	0	
India	1,378	0	3,096	4,201	5,124	9,566	6,930	14,602	18,029	22,411	6,744	15,875	560	
Indonesia	0	0	361	188	148	2	876	621	657	4,870	2,045	7,624	93	
Iran (Islamic Republic of)	1,215	3,658	15,171	5,439	5,083	0				44,679	21,622			
Ireland	0	3	0	23	2	45	45	11	0	53	21	3	3	
Israel	0	225	0	0	0	0	37	1	7	1	8	0	13	
Italy	22,315	25,487	51,220	59,647	39,959	51,521	108,938	120,966	34,225	32,097	66,058	47,634	31,166	
Japan	128	1,821	6,998	8,451	4,193	1,394	277	6	4	25,912	13,051	10,871	1,114	
Jordan	2	8	0	0		0	0	0	0	0	0	4	3	
Kazakhstan	2,254	2,993	7,255	3,478	16,951	27,714	25,006	8,646	14,792	16,615	47,810	68,241	72,081	
Kenya	0	0	0	3	0	0	0	0	600	0	0			
Korea, Republic of	6,919	5,974	5,434	4,744	2,226	7,934	36,238	3,046	35,555	102,040	71,870	4,620	187	
Kuwait	0	8	12	9		5	2	67,424						
Kyrgyzstan	1,498	3,480	3,066	2,371	2,001	2,811	2,311	3,484	3,842	2,691	1,029	3,997		
Latvia	589	362	504	1,540	768	370	907	277	93	10	25	0	0	
Lebanon	50	37	50	47	36	22	27	72	51	59	0	82	47	
Lithuania	1,736	741	1,826	2,456	1,285	1,040	450	66	0	315	22	235	1,876	
Luxembourg	0	0	37	37	0	0	324	59	108	130	195	247	14	
Macedonia, The Former Yugoslav Republic of	0	59	1,185	1,102	485	6	3		226	37	0	1	0	
Malawi	0	0	0	0	0	0	0	0	0	0	0	0	0	
Malaysia	31	1	2	1	1	2	13	0	745	3,430	0	1	15	
Malta	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mauritius	0	0	0	0	0	0	0	0	0	0	0	1	0	
Mayotte	0	0	0	0	0	0	22	0	0					
Mexico	11	21	33	143	130	48	41	31	22	117	228	146	31	
Mongolia	10		0	0	0	0	0						19	
Montenegro						9	34	18	21	29	9	22	7	
Morocco	907	1,042	357	1,732	653	145	1,378	5	11	0	1,859	0	0	
Mozambique	0	0	0	0	0	0	0	0	0	1	0	1	0	
Nepal			0						0	1	0			
Netherlands	211	3,070	1,006	13,588	17,246	29,047	18,981	13,936	12,191	5,987	874	19,678	11	
New Caledonia	0	0	0	0	0	0	0	0	0	0	0	3	3	
New Zealand	1	0	3	0	2	0	0	68	42	0	32	0	0	
Nicaragua	0	0	0	0	0	0	0	0	0	0	0	1	0	
Nigeria	0	0	0			0	7	0	0	0	0	0		
