List of importing markets for a product exported by Tanzania, United Republic of Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	762,868	901,362	1,132,004	1,473,113	1,671,778	1,864,681	2,139,347	3,121,079	2,982,405	4,050,546	4,734,960	5,547,229	4,412,549	
Afghanistan	0	286	0	0	0	0	0	327	107	20	0	0	0	
Albania	0	0	0	161	0	10	0	2	3	0	28	0	8	
Algeria	24	412	731	169	1,778	1,990	26	2,353	8,899	1,748	2,694	3,523	1,634	
Andorra	0	49	0	0	0	1	0	7	23	65	0	16	79	
Angola	504	1,414	398	715	1,419	2,816	2,364	1,260	669	3,239	28,965	2,618	29,041	
Anguilla	0	0	0	0	0	0	0	0	0	0	0	0	0	
Antigua and Barbuda	31	46	216	436	26	18	0	0	0	0	2	0	1	
Area Nes	132	0	0	5	0	101	105	0	0	0	0	0	0	
Argentina	0	59	8	36	26	23	4,601	1	435	141	0	2,032	458	
Armenia	180	329	0	0	1	15	0	41	0	48	16	11	15	
Aruba	0	0	0	0	0	0	0	53	0	0	0	0	2	
Australia	2,339	3,033	1,788	2,228	2,687	4,017	7,831	6,341	7,321	12,892	16,255	14,831	7,748	
Austria	48	88	30	80	35	51	155	39	151	271	146	220	328	
Azerbaijan	0	0	0	0	0	6	0	1	14	0	107	769	0	
Bahamas	0	0	0	0	0	0	4	12	0	0	0	0	0	
Bahrain	44	0	433	83	108	323	331	1,695	977	977	18	60	4,423	
Bangladesh	896	1,168	1,366	87	2,213	1,025	3,523	1,640	1,392	4,718	763	7,189	9,076	
Barbados	0	0	0	0	56	0	0	7	238	51	0	0	5	
Belarus	0	0	0	0	0	0	0	0	0	0	2	0	16	
Belgium	10,497	21,459	35,498	27,236	36,785	29,078	39,561	50,360	81,511	95,847	84,674	152,715	87,569	
Belize	0	0	0	0	0	0	0	0	0	5	0	6	6	
Benin	0	0	0	43	129	1	136	5	2	49	167	69	129	
Bermuda	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bhutan	0	0	0	0	0	0	4	0	0	0	0	0	0	
Bolivia	0	0	0	89	0	0	0	0	0	10	0	48	0	
Bosnia and Herzegovina	14	3	6	0	25	5	4	32	2	0	0	0	0	
Botswana	224	39	132	57	4,054	68	293	211	3,481	273	910	400	324	
Brazil	224	499	1,047	950	217	21	37	40	81	103	196	53	1,505	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	0	0	14	0	0	
British Virgin Islands	0	0	0	0	0	0	0	0	96	1,380	0	0	0	
Brunei Darussalam	0	1	14	204	0	1	1	0	1	106	13	0	0	
Bulgaria	1,423	649	520	213	916	75	248	13,641	835	278	115	232	1,553	
Burkina Faso	0	0	0	0	10	121	50	0	52	6	13	108	7,269	
Burundi	6,070	7,089	4,765	13,506	12,672	38,656	70,937	20,646	24,632	56,132	39,848	54,609	45,266	
Cabo Verde	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cambodia	0	0	0	0	0	0	2	5	8	15	20	62	10	
Cameroon	2	56	77	321	380	12	116	1,059	1,565	23,878	266	2,365	1,592	
Canada	530	1,418	1,665	5,123	39,421	6,709	4,095	5,848	8,922	5,670	6,095	26,079	12,965	
Cayman Islands	0	0	0	0	0	0	0	0	0	0	47	0	213	
Central African Republic	0	0	0	0	0	35	161	9	63	40	4	25	21	
Chad	0	0	50	462	0	60	103	0	7	0	23	8	14	
Chile	0	1	110	0	28	0	23	2	298	1,146	42	2	77	
China	700	720	3,697	71,598	98,671	149,216	156,702	270,440	387,274	656,690	677,367	525,016	309,420	
Christmas Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cocos (Keeling) Islands	7	0	0	63	0	0	0	0	0	0	20	1	0	
Colombia	2	91	364	331	688	86	352	532	61	2,627	4	225	381	
Comoros	17	363	1,300	1,893	2,593	8,235	4,350	50,790	2,270	42,782	826	2,721	851	
Congo	24	66	79	68	8,926	5,967	10,706	30,770	17,094	29,715	38,265	12,765	78,328	
Cook Islands	0	0	15	6	12	0	0	0	0	0	0	0	0	
Costa Rica	1	2	21	376	3	0	47	0	17	0	0	0	0	
Côte d'Ivoire	0	0	31	0	37	51	91	587	54	372	320	280	1,056	
Croatia	86	0	0	0	1	0	0	0	12	11	90	0	3	
Cuba	114	0	87	58	0	0	1	1	1,013	647	464	429	320	
Cyprus	190	166	90	471	3,423	1,987	2,964	4,510	2,052	1,098	569	1,557	1,881	
Czech Republic	45	22	23	336	228	75	163	45	513	1,168	262	208	445	
Democratic Republic of the Congo	5,388	16,009	12,501	41,701	62,343	58,409	83,815	144,637	85,459	156,081	128,102	187,353	237,559	
Denmark	2,227	1,645	2,666	2,577	1,666	1,031	6,169	3,977	5,585	2,937	9,523	10,803	9,181	
Djibouti	28	51	28	93	8	5	56	324	185	272	916	681	54	
Dominica	50	19	5	0	0	0	0	0	0	92	6	0	0	
Dominican Republic	0	0	0	0	0	0	0	2	0	58	0	0	0	
Ecuador	0	0	0	24	26	2	99	0	0	31	0	0	5	
Egypt	1,821	1,683	1,353	1,075	8,286	548	6,724	958	1,387	1,207	1,685	9,066	1,602	
El Salvador	0	0	0	0	0	0	0	4	32	0	0	3	0	
Equatorial Guinea	0	0	0	0	0	5	0	0	86	0	0	0	0	
Eritrea	334	237	272	389	230	201	188	571	236	554	250	183	63	
Estonia	0	0	7	0	0	0	1,328	891	1,487	1,359	0	0	116	
Ethiopia	729	376	710	1,886	1,795	799	902	1,924	606	1,641	1,129	3,122	2,048	
Falkland Islands (Malvinas)	0	4	0	0	0	0	0	0	0	0	0	0	0	
Faroe Islands	0	0	0	0	0	0	0	0	0	1	0	0	0	
Fiji	0	0	0	0	0	0	0	0	0	0	0	0	0	
Finland	861	336	537	618	776	1,246	2,333	1,901	6,114	4,830	9,235	5,479	5,763	
France	137,433	156,175	80,272	12,417	8,339	11,920	12,596	27,018	18,011	14,505	17,794	20,738	14,370	
French South Antarctic Territories	0	0	0	0	0	0	0	0	0	0	0	0	0	
Gabon	0	49	0	0	149	44	2	25	10	3,274	18	9,508	1,476	
Gambia	87	94	8	233	164	55	389	4	9	77	95	34	78	
Georgia	14	96	13	0	0	42	2	86	73	884	153	580	13	
Germany	38,005	27,890	31,228	34,623	77,886	112,784	100,670	67,136	57,869	139,263	229,310	292,443	160,663	
Ghana	103	4	521	117	78	311	156	3,974	286	1,008	1,858	1,854	2,505	
Gibraltar	11,043	14,377	4,282	3,207	17,107	7,501	0	264	0	228	0	0	0	
Greece	1,881	5,360	1,941	3,882	1,865	3,055	1,915	2,185	4,926	3,051	2,686	8,796	2,684	
Greenland	0	0	0	0	0	0	0	0	0	0	0	0	0	
Grenada	29	0	26	0	47	12	0	0	0	0	0	0	69	
Guatemala	0	14	0	0	0	0	0	106	0	7	0	8	0	
Guinea	0	110	470	336	532	4	20	68	859	107	156	99	41	
Guinea-Bissau	0	0	0	0	0	0	0	0	0	0	0	0	0	
Guyana	91	43	0	0	0	2	0	0	8	1	0	0	0	
Haiti	0	0	0	0	0	0	0	0	0	0	4,421	68	7	
Honduras	2	68	0	0	0	0	0	0	0	82	1,275	0	0	
Hong Kong, China	8,603	11,282	9,984	12,468	10,240	7,604	14,494	13,853	87,418	13,206	11,499	23,825	30,545	
Hungary	2,043	1,511	1,405	5,739	96	230	221	222	344	218	147	110	254	
Iceland	2,166	1,057	493	247	284	242	24	484	495	508	2,049	3,430	4,539	
India	81,634	64,940	73,147	107,088	78,114	63,333	79,043	172,967	187,834	226,500	210,175	480,637	752,174	
Indonesia	2,879	4,142	7,339	5,909	7,018	8,287	15,857	25,772	21,499	14,670	22,361	40,881	33,293	
Iran (Islamic Republic of)	53	165	153	19	52	392	2,108	748	283	887	3,483	1,253	414	
Iraq	0	0	0	0	0	0	0	0	25	0	1	4,550	0	
Ireland	27,723	14,212	0	108	73	544	859	359	1,943	2,058	3,440	1,870	339	
Israel	1,891	4,382	4,354	3,045	6,476	6,510	10,321	14,277	12,845	8,875	9,854	13,563	12,235	
Italy	7,763	24,709	23,593	28,371	40,399	35,096	57,094	67,593	55,022	67,846	52,507	50,696	57,451	
Jamaica	13	0	0	0	5	66	136	15	105	62	11	0	28	
Japan	68,062	97,342	89,732	64,919	72,284	82,434	64,165	147,794	178,407	217,461	356,177	298,895	221,192	
Jordan	92	2	26	3	0	19	104	51	428	181	161	373	274	
Kazakhstan	0	0	0	0	0	0	0	0	0	138	0	2	0	
Kenya	37,820	35,727	78,948	90,233	93,463	103,793	123,413	252,740	192,904	324,888	221,313	349,691	228,412	
Kiribati	0	0	0	0	12	0	0	0	9	0	0	0	1	
Korea, Democratic People's Republic of	0	64	59	4	0	3	28	102	485	1,836	685	1,853	67	
Korea, Republic of	746	377	977	411	871	1,289	1,184	900	471	2,512	1,805	15,217	7,100	
Kuwait	36	0	131	183	153	53	1,879	25	110	129	137	83	330	
Kyrgyzstan	0	0	0	0	0	0	0	0	0	0	0	25	0	
Lao People's Democratic Republic	0	1	0	0	0	0	0	0	0	9	66	0	0	
Latvia	0	0	0	0	0	0	99	229	357	1,191	236	2,126	1,722	
Lebanon	0	1	235	4	0	174	11	108	94	483	855	568	889	
Lesotho	0	0	0	0	0	3	0	0	0	0	8	0	0	
Liberia	0	1	208	0	0	37	135	8,785	1	206	524	12	6	
Libya	0	0	7	0	0	4	0	0	621	7	0	0	548	
Lithuania	0	0	0	0	37	0	0	88	88	99	1,361	1,210	792	
Luxembourg	0	0	0	0	0	0	0	1	54	319	0	247	0	
Macao, China	27	37	312	20	1	0	0	1	0	0	0	0	5	
Macedonia, The Former Yugoslav Republic of	0	0	0	0	0	6	0	0	0	58	0	0	0	
Madagascar	669	696	1,544	2,001	822	1,057	1,067	3,909	2,658	11,056	10,696	7,110	1,931	
Malawi	5,588	17,959	8,516	23,129	11,936	20,005	22,665	49,609	25,637	46,306	63,351	104,131	41,523	
Malaysia	2,937	2,965	1,191	2,315	16,254	1,433	1,774	12,970	3,068	4,899	8,921	9,929	1,353	
Maldives	238	240	215	61	6	141	0	0	0	8	0	6	0	
Mali	56	621	677	131	55	880	218	42	14	51	2,422	879	156	
Malta	55	18	11	43	19	56	251	177	69	185	25	297	11	
Marshall Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mauritania	6	28	152	181	16	43	120	0	0	169	2,193	54	250	
Mauritius	327	294	719	2,639	459	973	1,799	925	1,486	1,639	2,480	4,695	2,146	
Mexico	267	286	1,181	697	205	202	180	245	617	1,148	341	372	273	
Micronesia (Federated States of)	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mongolia	0	0	0	0	0	0	8	6	0	0	0	181	0	
Montserrat	40	0	19	41	0	48	0	0	0	0	0	0	0	
Morocco	411	447	378	252	321	771	956	1,062	2,099	1,807	1,309	1,766	1,892	
Mozambique	1,395	1,647	1,764	4,673	8,956	12,546	20,725	33,978	22,081	18,512	65,733	56,174	66,797	
Myanmar	230	589	0	7	36	0	1	9	0	0	2	152	132	
Namibia	35	31	3	20	85	323	123	322	2,267	607	385	60,169	4,991	
Nauru	41	7	53	0	1	0	15	112	15	3	0	15	4	
Nepal	0	0	0	0	0	0	0	1	0	3	11	0	0	
Netherland Antilles	0	0	0	0	7	0	0	230	0	427	85	427	0	
Netherlands	51,433	54,533	68,353	60,804	100,009	104,114	104,255	163,215	182,366	93,348	94,851	120,954	62,751	
New Caledonia	0	0	0	0	0	0	0	0	0	0	6	0	0	
New Zealand	59	60	46	135	151	229	3,602	2,441	2,137	2,081	756	3,145	2,741	
Nicaragua	0	0	0	0	7	0	0	7	0	78	5	0	19	
Niger	15	299	410	207	193	3	2	62	850	57	920	9	689	
Nigeria	22	670	499	510	1,709	21,447	6,329	9,500	5,136	1,107	1,057	1,000	3,546	
Niue	0	0	0	11	0	0	0	0	8	0	0	0	0	
Norfolk Island	0	0	0	0	0	0	0	0	0	0	0	18	0	
Northern Mariana Islands	0	12	0	0	0	0	0	0	121	238	375	0	0	
Norway	148	246	280	193	617	729	1,848	2,769	1,798	1,395	2,937	18,696	3,979	
Oman	539	72	98	112	1,284	264	240	10,456	1,772	890	1,779	3,701	2,763	
Pakistan	6,954	8,896	7,732	7,342	7,323	13,824	26,996	11,529	11,038	10,093	15,119	33,259	8,073	
Panama	0	0	0	8	26	77	60	167	0	0	30	0	16	
Papua New Guinea	276	288	431	563	198	0	120	83	307	0	0	0	276	
Paraguay	0	177	0	91	0	0	0	0	0	26	1	0	0	
Peru	0	0	0	8	0	0	208	112	0	153	0	0	8	
Philippines	266	134	73	364	380	161	1,527	1,043	6	654	1,167	995	753	
Pitcairn	0	0	14	118	0	0	4	0	0	0	0	0	0	
Poland	1,440	1,573	1,161	2,493	3,863	3,531	5,602	7,036	2,378	2,912	1,204	8,183	2,555	
Portugal	4,954	4,034	3,997	4,751	5,303	7,727	31,888	13,310	13,759	12,701	13,802	12,727	14,302	
Qatar	0	0	5	0	226	171	461	298	11	256	381	1,025	1,874	
Republic of Moldova	0	0	0	0	0	128	39	40	2	0	0	0	1	
Romania	17	7	366	0	62	661	1,356	1,492	1,391	2,572	2,909	2,956	2,031	
Russian Federation	674	2,608	2,092	2,938	4,776	2,351	13,063	5,094	5,948	4,303	6,660	11,253	9,191	
Rwanda	2,250	3,913	2,575	7,808	6,978	5,569	17,628	22,478	15,805	116,802	95,160	105,842	81,484	
