List of importing markets for a product exported by Thailand (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	70,887,529	73,958,776	86,845,995	106,843,346	122,659,990	142,495,785	166,722,037	194,380,577	162,438,040	205,754,663	230,462,134	228,849,521	204,512,783	
Afghanistan								16,571	18,861	39,982	36,374	0		
Albania	47	795	455	1,867	2,759	4,363	12,499	13,904	20,433	16,503	15,774	10,853	12,865	
Algeria	12,263	31,569	41,986	73,464	86,304	73,376	127,821	219,831	195,437	178,327	262,243	240,866	277,939	
Andorra	3,021	4,215	4,570	3,897										
Anguilla	102	28	29											
Antigua and Barbuda					1,134		3,378		4,318	1,556	1,997	2,168	2,490	
Argentina	128,442	26,850	55,070	129,894	278,799	402,771	456,265	484,172	411,194	640,046	695,917	871,988	943,239	
Armenia	383	861	231	1,040	926	6,362	11,340	21,642	14,747	17,952	21,498	22,122	21,346	
Aruba					1,117				1,473	2,226	2,155	1,614		
Australia	1,382,437	1,711,123	2,358,727	2,776,489	3,677,319	4,718,293	6,539,401	8,607,590	9,212,861	9,886,861	8,710,152	10,534,076	10,672,586	
Austria	190,365	188,823	232,990	360,901	355,173	424,865	521,037	577,233	462,873	510,136	467,328	371,117	418,772	
Azerbaijan	1,901	3,041	3,088	3,223	3,697	7,716	8,587	22,819	10,873	11,734	18,625	26,340		
Bahamas	48	46	80	57	144	0	0	0	0	0	823	2,486		
Bahrain	35,830	40,719	42,796	46,848	66,403	58,631	82,134	137,467	119,493	125,780	186,475			
Bangladesh	282,178	237,588	283,441	339,940	376,546	422,654	613,351							
Barbados	3,319	2,967	3,135	3,778	8,998	12,083	13,706	21,512	10,317	13,547	14,061	13,455	17,098	
Belarus	4,401	5,841	4,436	10,397	15,427	17,939	38,938	71,746	38,210	50,395	89,481	150,364	118,522	
Belgium	1,399,084	1,214,654	1,327,515	1,173,873	1,360,643	1,416,936	1,859,678	1,812,415	1,416,594	1,401,917	1,604,720	1,662,164	1,993,627	
Belize	1,851	846	1,425	1,803	1,029	1,088	2,952	6,263	2,635	2,077	3,900	3,824	7,200	
Benin	19,129	20,384	31,336	37,479	59,786	39,121	117,597	102,258	42,817	44,542	98,015	110,808	196,494	
Bermuda												1,082	1,859	
Bhutan					6,260	5,681	4,632	9,517	7,203	21,589	26,434			
Bolivia	1,758	2,111	3,694	4,040	4,505	4,847	14,776	22,470	18,398	26,410	58,568	67,259		
Bosnia and Herzegovina			3,646	5,757	8,952	9,880	19,465	21,205	24,230	18,666	27,081	18,167	16,643	
Botswana	0	1,427	1,694	966	2,436	15,628	15,180	12,938	6,911	15,164	3,722	1,660	5,427	
Brazil	211,733	187,100	260,950	440,067	521,627	736,732	1,005,127	1,420,350	1,270,766	1,838,046	2,399,317	2,503,918	2,383,948	
Brunei Darussalam	47,073	54,709	50,417	65,937		92,839				138,290	155,079	208,464	183,053	
Bulgaria	12,015	14,243	18,338	21,649	27,231	45,849	79,576	94,932	16,080	13,584	21,651	27,360	25,489	
Burkina Faso	4,334	4,537	4,326	9,550	14,987		12,893	51,128	33,164	21,006	37,857	39,323		
Burundi	1,220	1,512	1,563	1,567	506	474	4,464	1,236	1,327	1,446	2,138	3,270	2,327	
Cabo Verde	92	1,694	4,357	4,605	118	6,114	13,649		13,403	15,050	17,598	9,430	20,365	
Cambodia	222,996	238,546	223,653	230,882	291,007	415,591	513,160	696,595	465,233	690,723	726,477	902,258		
Cameroon	12,700	25,576	21,557	54,943	68,616	39,738	90,439	154,941	169,992	155,237	194,469	193,277		
Canada	1,092,750	1,132,420	1,333,578	1,550,183	1,636,139	1,986,512	2,147,871	2,330,341	2,021,052	2,339,442	2,702,607	2,635,274	2,561,840	
Central African Republic	390	216	256			11	80	152	4,567	210	163	766	58	
Chile	91,803	93,967	108,809	123,243	164,439	282,015	391,790	415,129	205,649	583,987	649,756	715,114	759,005	
China	4,713,848	5,599,597	8,826,842	11,540,505	13,991,887	17,962,428	22,665,748	25,656,737	24,896,942	33,193,365	39,039,796	38,551,206	38,521,895	
Colombia	53,045	52,790	54,148	87,820	89,840	128,848	203,550	296,403	227,814	396,136	417,924	332,556	309,200	
Comoros	85	240	277	350	0	583	340	497	4,285					
Congo							8,937	21,808	15,055	14,150	23,548	21,102	24,253	
Cook Islands					974									
Costa Rica	13,929	11,034	15,034	24,385	24,770	35,961	70,507	115,185	85,758	83,364	87,811	93,235	146,656	
Côte d'Ivoire	70,417	64,053	73,898	134,055	100,882	135,223	185,848	356,157	355,187	331,801	347,246	287,136		
Croatia	15,602	24,043	32,902	38,658	44,028	48,485	63,958	85,193	61,716	55,583	60,231	48,368	21,482	
Cuba	13,208	8,686	16,746	23,451	13,618	30,218								
Cyprus	48,750	44,163	39,089	52,599	42,721	34,592	61,896	80,835	49,002	55,394	45,049	35,943	29,296	
Czech Republic	113,460	151,446	222,843	293,736	429,205	520,583	808,878	1,222,023	1,165,251	1,587,801	1,379,214	1,240,925	1,128,383	
Denmark	171,156	170,162	221,244	270,722	267,644	314,402	459,363	571,804	518,624	739,258	736,912	415,573	385,845	
Djibouti									2,946					
Dominica	176	169	177	230	545	230	783	747	635	519	465	280		
Dominican Republic	12,292	10,406	10,022	18,483	27,511	38,626	52,441	86,737	52,909	71,541	65,265	65,419	56,103	
Ecuador	19,276	26,566	31,113	52,500	134,441	168,983	203,372	328,036	199,300	311,502	256,465	313,142	236,925	
Egypt	105,794	89,359	93,807	125,470	174,131	210,296	222,228	629,154	555,579	749,132	701,658	911,306	832,036	
El Salvador	9,109	11,675	14,705	16,007	18,784	22,816	36,990	47,527	21,999	36,544	47,416	49,061	61,092	
Eritrea			4,212											
Estonia	16,204	26,289	41,103	35,066	29,444	51,081	61,357	70,995	40,157	56,483	99,599	87,543	76,835	
Ethiopia	7,768	14,258	22,014	21,987	29,205	38,258	75,531	75,304	77,747	126,582	131,521	160,240		
Faroe Islands	886	1,286	1,610	1,312	1,017	1,801	2,649	1,848	1,765					
Fiji		17,452	20,885	27,017	35,330	43,243	44,374	66,042	48,360	44,444	57,925	48,547		
Finland	114,713	115,738	174,000	208,590	250,646	313,068	399,601	454,548	203,550	202,383	191,470	151,550	150,699	
France	1,611,294	1,385,505	1,552,526	1,824,838	1,884,825	2,061,655	2,444,145	2,788,360	2,383,234	2,657,222	3,080,438	2,762,072	2,891,990	
French Polynesia	17,404	19,498	33,895	46,159	57,150	49,862	48,384	64,157	49,666	52,230	42,394	46,857	46,160	
Gabon	15,260	0	5,566	27,197	25,616	28,011	43,615	72,664	42,515					
Gambia	301	3,156	536	5,232	2,043	843	471	4,266	10,813	6,994	2,600			
Georgia	104	319	889	1,814	1,182	3,972	7,159	12,528	10,379	15,727	22,582	17,749	24,018	
Germany	2,277,194	2,231,202	2,532,309	3,025,049	3,081,127	3,438,751	4,390,429	4,963,911	4,115,390	4,834,664	5,804,160	5,404,137	5,774,569	
Ghana	36,237		81,765		89,877	115,123	170,234	224,333	155,423	158,174	335,715	243,512		
Greece	157,650	141,259	168,110	234,966	287,846	232,681	399,648	395,829	272,154	218,161	173,135	134,119	126,977	
Greenland	0	3	1,120	2	0	986	563	1,288	1,505	1,408	1,793	1,484	1,230	
Grenada	350	130	296	967	483	485	739	1,245						
Guatemala	14,261	22,812	5,269	6,598	48,505	50,192	67,610	100,859	73,216	94,751	108,131	133,969	126,036	
Guinea	11,376	7,479		15,649	46,602	21,013	14,220	28,111		4,124	21,462	9,735		
Guinea-Bissau			3,274	1,873	7,798									
Guyana	858	1,340	857	1,292	1,739	2,490	3,918	4,100	6,503	8,088	7,976	8,929	7,922	
Honduras	1,980	4,864	7,406	6,537	14,072	18,489	35,883	86,197	55,773	71,101	77,037	99,030	93,967	
Hong Kong, China	3,509,560	3,789,381	4,277,974	4,872,361	6,049,851	6,966,231	7,659,178	8,945,068	8,643,464	10,834,108	10,874,727	10,618,667		
Hungary	259,688	255,919	287,159	133,875	171,569	237,023	285,996	284,602	195,716	270,363	284,688	293,191	378,893	
Iceland	6,482	6,866	10,270	14,377	17,987	17,564	23,142	24,352	13,148	14,161	15,578	14,697	16,686	
India	424,586	365,087	539,244	750,164	1,196,597	1,550,809	2,192,368	2,664,791	2,775,885	3,940,819	5,055,564	5,499,272	5,475,443	
Indonesia	986,047	1,190,709	1,701,668	2,771,583	3,446,959	2,983,483	4,287,065	6,336,146	4,612,923	7,470,735	10,405,115	11,437,239	10,703,074	
Iran (Islamic Republic of)	99,467	104,144	202,698	304,459	227,663	0				247,506	253,826			
Ireland	301,287	265,335	378,776	436,702	482,538	627,088	587,177	553,473	368,029	316,291	350,963	457,574	472,660	
Israel	314,232	303,049	337,635	400,848	409,075	370,549	463,877	557,545	402,096	546,224	576,785	528,734	618,417	
