List of importing markets for a product exported by Timor-Leste (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	8,220	19,434	6,446	52,112	74,258	37,199	30,709	169,722	104,565	71,942	152,076	656,892	567,284	
Albania	0	0	0	0	0	0	0	0	0	0	0	0	0	
Argentina	0	154	0	4	0	0	0	0	0	0	0	0	0	
Australia	61	392	553	6,499	607	497	1,363	9,328	4,148	773	1,185	1,604	2,164	
Austria	0	2	3	3	0	0	0	1	0	0	3	0	3	
Bahrain	0	3	0	0	0	0	0	0	0	0	0			
Bangladesh	0	11,051	0	0	0	0	0							
Belarus	0	0	0	0	0	0	0	0	0	0	24	0	0	
Belgium	0	0	108	126	82	32	13	24	217	1,109	322	41	0	
Benin	12	0	0	0	8	0	0	3	0	0	0	0	0	
Bolivia	0	0	0	0	0	0	0	0	1	0	2	4		
Bosnia and Herzegovina			0	0	0	0	0	0	0	1	0	0	0	
Brazil	0	2	0	0	0	1	0	19	1	21	18	1	20	
Bulgaria	2	0	0	0	0	0	13	5	0	0	0	0	0	
Burkina Faso	0	0	0	0	0		14	0	0	0	4	0		
Burundi	0	0	0	0	0	2	0	0	0	0	0	0	0	
Cabo Verde	0	1,898	0	0	1	0	0		0	29	0	9	0	
Cambodia	0	0	0	0	0	0	0	0	0	0	0	3		
Canada	11	24	0	307	660	930	1,251	6,526	3,587	1,989	393	1,041	1,728	
China	0	0	0	0	1	10,964	49	106	23	250	1,743	688	397	
Colombia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Comoros	0	0	0	187	5	0	0	0	0					
Congo							0	0	0	0	0	0	0	
Côte d'Ivoire	0	0	46	42	238	14	38	6	0	15	0	8		
Croatia	0	0	0	15	15	0	0	2	0	0	1	0	0	
Cyprus	0	0	0	0	3	0	0	0	0	0	0	0	0	
Czech Republic	0	0	0	17	3	0	1	12	3	0	0	5	22	
Denmark	3	2	25	243	18	0	30	225	243	3	26	0	15	
Dominica	1	8	0	0	0	0	0	0	0	0	0	0		
Dominican Republic	48	0	0	0	0	0	0	9	0	0	0	0	0	
Ecuador	0	0	0	0	0	0	0	0	0	0	0	0	20	
Estonia	0	0	0	14	34	128	38	0	0	0	0	0	0	
Ethiopia	0	0	0	8	96	0	0	0	7	11	41	8		
Fiji		3	11	16	1,194	7	2	0	0	1	17	0		
Finland	20	1	0	30	0	0	0	0	0	0	0	1	77	
France	543	165	146	323	51	166	185	407	128	45	174	39	19	
Gabon	0	0	0	0	0	0	0	0	0					
Germany	1,629	1,912	682	609	35	4,060	2,161	4,165	3,672	7,777	19,080	7,046	5,185	
Ghana	0		31		1	0	0	0	0	0	0	0		
Greece	0	0	0	1	0	0	0	0	0	0	37	0	0	
Grenada	0	0	0	0	4	0	0	7						
Honduras	0	0	0	0	0	0	0	0	0	0	0	6	0	
Hungary	0	0	0	0	0	0	0	0	0	0	0	1	0	
India	0	0	24	11	24	612	37	66	172	919	22,238	192	596	
Indonesia	1,246	937	1,404	667	985	2,282	290	2,940	865	633	1,425	633	274	
Ireland	23	0	0	2	7	3	2	0	0	0	6	5	5	
Israel	0	0	0	0	0	0	0	0	18	0	39	0	0	
Italy	0	70	65	28	2	9	0	40	0	0	0	0	7	
Japan	0	47	75	240	569	13,765	21,643	139,158	50,373	43,841	13,869	92,145	7,344	
Kazakhstan	0	0	0	0	0	0	64	0	0	0	0	0	0	
Kenya	0	0	4	3	1	0	0	0	0	0	0			
Kiribati					0		0	0	0	0	0	1,118		
Korea, Republic of	749	0	0	36,338	26,042	15	78	28	34,414	168	39,710	114,430	185,471	
Lebanon	0	0	0	0	1	0	0	0	42	0	0	0	0	
Lithuania	0	0	0	63	0	0	0	0	0	0	0	0	0	
Luxembourg	0	0	0	0	0	0	0	8	1	0	1	0	0	
Macao, China	0	0	3	0	38	79	310	181	0	111		104		
Madagascar	0	0	2	1	0	0	0	2	0	0	0	0	0	
Malawi	0	0	18	0	0	0	0	1	0	0	0	0	0	
Malaysia	8	0	69	8	17	13	196	156	133	256	206	1,069	1,259	
Mali	0	0	0	0	0	0	0	0		227	0	62		
Mauritania	0	0	0	0	0		7	0	0	0	0	0		
Mauritius	0	0	0	0	0	0	0	1	1	0	0	0	0	
Mexico	3	0	0	0	9	1	14	15	0	31	253	294	132	
Montenegro						14	0	1	1	107	0	0	0	
Morocco	8	0	0	0	1	10	5	4	0	0	0	0	0	
Mozambique	0	2	8	46	11	0	49	60	5	47	9	20	0	
Namibia	0	0	0	0	0	0	0	1	0	0	0	0	0	
Nepal			0						0	0	0			
Netherland Antilles					0	0	43	0						
Netherlands	4	0	1	15	0	3	0	1	65	0	11	34	436	
New Caledonia	0	0	0	0	0	0	0	0	0	0	0	1	0	
New Zealand	43	44	108	42	39,779	178	134	338	334	182	87	198	371	
Nicaragua	0	0	0	0	0	0	0	0	0	0	1	0	0	
Niger	0	0	0	204	103	303	0	0	0	0	0	0	0	
Nigeria	6	270	788			23	0	357	23	10,293	1	0		
Norway	0	0	0	0	0	0	0	0	0	0	0	0	0	
Pakistan			390	580	386	321	18	201	0	0	0	0	3	
Palau												1		
Palestine, State of							0	8	36	1	0	21		
Papua New Guinea	0	6	3	6							1	41		
Peru	0	0	0	0	0	0	0	0	0	0	0	0		
Philippines	0	0	0	3,640	0	0	0	0	28	0	0	37	0	
Poland	0	0	0	39	39	55	80	17	40	194	1	67	3	
Portugal	652	1,001	609	962	1,315	1,562	218	765	1,273	1,482	1,429	1,500	1,046	
Republic of Moldova	0	4	0	0	7	0	0	0	0	0	0	0	0	
Romania	0	0	0	0	1	0	0	0	0	0	0	0	0	
Russian Federation	46	30	17	133	24	5	0	0	13	20	42	248	59	
Rwanda	0	0	0	0	0	1	0	0	0	0	0	0	0	
Saint Vincent and the Grenadines	0	0	0	0	0	0	0	0	1	0	0	0		
Samoa	0	0	0	0	0	0	0	0	0	0	0	0	0	
Sao Tome and Principe	0	0	0	0	9	0	0	0	0	0	2	0	0	
Saudi Arabia	0	0	0	0	0	0	10	0	0	0	183	0		
Senegal	31	0	42	61	1,033	657	821	1,457	602	502	108	61	0	
Serbia					5	0	102	9	0	1	1	6	3	
Singapore	318	446	0	0	0	0	0	0	0	0	48,632	433,208	178,932	
Slovakia	0	10	0	0	0	0	0	38	0	0	0	0	0	
Slovenia	1	0	0	0	2	0	6	7	25	20	1	0	11	
Solomon Islands								0	9	0	0			
South Africa	22	68	57	122	62	125	85	92	9	37	99	8	2	
Spain	2	5	0	0	5	0	149	179	106	0	177	17	50	
Sri Lanka	0	0	0	0	0	0	0	0	0	0	0	0		
Sudan (North + South)	0	0	0	0	0	0		0	8	0	0			
Sweden	0	13	0	7	0	0	0	48	7	2	0	1	8	
Switzerland	68	82	259	258	117	7	8	0	0	0	0	5	0	
