List of importing markets for a product exported by Togo (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	417,681	332,034	827,703	588,653	742,755	643,107	1,257,160	2,002,106	1,022,947	1,250,681	1,820,705	1,828,253	1,352,959	
Albania	0	0	0	0	0	11	0	0	0	0	0	0	0	
Algeria	0	332	943	768	1,717	3,427	2,068	14,052	4,014	836	13,986	7,822	7,610	
Andorra	0	0	5	0										
Argentina	0	0	0	0	0	0	0	0	0	0	0	3	3	
Armenia	0	0	0	0	0	1	2	0	0	0	0	0	26	
Australia	2,947	9,667	9,256	8,270	1,646	1,826	49	278	47	51	60	20	19	
Austria	656	1,830	1,761	678	714	261	174	442	21	63	15	17	53	
Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	0		
Bahrain	0	0	0	0	9	0	0	0	0	0	0			
Bangladesh	482	2,629	6,314	10,165	477	392	4,599							
Barbados	0	0	1	0	1	0	16	115	0	0	0	0	0	
Belarus	0	0	13	13	0	0	0	0	0	75	0	0	29	
Belgium	4,074	9,574	7,527	19,093	9,303	37,947	29,788	56,389	67,887	58,947	63,603	35,980	150,096	
Belize	1	0	0	0	0	0	0	0	0	0	0	0	40	
Benin	37,387	35,951	35,725	39,877	50,812	53,215	131,627	120,389	168,769	162,220	235,361	233,966	301,089	
Bolivia	0	0	0	0	0	7	0	0	0	0	0	4		
Bosnia and Herzegovina			30	0	42	0	0	71	0	0	0	1	0	
Botswana	0	0	0	0	0	0	0	1	0	0	6	0	0	
Brazil	3,421	639	4,269	6,935	8,599	4,830	11,120	40,735	0	6,305	6,772	3,536	6	
Brunei Darussalam	0	0	0	0		0				0	0	3	0	
Bulgaria	5	2	15	51	14	1	2	45	0	2,247	0	0	0	
Burkina Faso	18,338	19,377	142,012	133,801	130,056		61,559	73,333	79,567	91,866	93,557	156,046		
Burundi	8	1	0	17	0	0	3	31	0	0	38	0	0	
Cabo Verde	0	0	0	12	0	0	0		1	0	0	0	85	
Cambodia	33	14	8	39	22	0	1	0	0	0	0	0		
Cameroon	1,720	3,601	1,540	1,430	276	289	462	789	1,005	3,353	989	191,446		
Canada	178	442	706	530	452	1,561	2,272	6,441	3,842	3,083	12,988	666	1,594	
Central African Republic	50	37	63			0	320	463	257	407	2,667	164	66	
Chile	0	0	0	0	0	0	0	0	1	0	0	0	0	
China	225	5,350	22,114	46,472	31,874	21,599	26,105	30,900	36,373	61,619	76,599	84,811	118,192	
Colombia	6,335	87	414	0	0	0	0	0	0	0	1,030	0	1	
Comoros	0	0	0	0	0	0	0	0	3					
Congo							4,665	15,676	1,094	1,043	26,255	2,930	5,692	
Costa Rica	0	0	0	0	3	0	0	0	1	0	0	1	1	
Côte d'Ivoire	311	312	1,225	1,348	3,215	3,069	6,237	7,287	4,367	6,194	5,595	36,794		
Croatia	88	30	44	67	120	124	138	129	60	0	0	5	0	
Cuba	0	0	0	0	0	0								
Cyprus	0	0	0	0	0	0	0	0	0	0	0	0	0	
Czech Republic	4	9	6	245	90	113	4	116	70	54	369	494	26	
Denmark	385	93	2,575	888	12,223	116	294	29	115	285	216	154	29	
Dominican Republic	34	13	2	0	0	0	0	0	0	0	2,607	0	0	
Ecuador	68	6	0	0	0	141	0	0	0	0	0	0	0	
Egypt	2,339	4,814	4,764	5,522	16,755	1,958	8,048	0	19	51	0	0	9	
El Salvador	0	0	0	0	0	1	0	0	0	0	0	0	0	
Estonia	0	0	0	676	7	0	0	0	777	13,242	12,522	61	0	
Ethiopia	65	0	14	0	0	484	0	0	89	153	7	1		
Faroe Islands	0	0	0	0	0	0	0	6	77					
Fiji		0	0	0	0	0	0	0	0	1	1	0		
Finland	0	4	7	1	4,894	1	424	56	2	16	73	128	0	
France	8,863	9,166	10,126	14,544	18,578	16,298	11,822	17,365	17,801	23,604	32,065	14,693	12,155	
French Polynesia	0	0	0	0	0	0	5	0	0	0	0	0	0	
Gabon	409	0	523	2,069	1,697	6,669	11,024	29,794	3,536					
Gambia	0	5	15	26	41	32	114	136	38	40	67			
Georgia	0	0	0	0	0	0	0	1	0	0	0	0	0	
Germany	4,744	4,501	2,955	5,750	30,718	43,479	83,428	131,210	184,481	150,551	224,928	51,677	23,970	
Ghana	30,066		375		76,344	69,206	98,913	107,872	92,841	85,969	138,706	142,917		
Greece	5,000	6,744	4,191	586	37	12	229	224	1	24	51	793	0	
Guatemala	0	0	0	0	0	0	0	0	0	0	0	0	0	
Guinea	2,654	1		4,228	161	50	2,984	182		15,868	563	575		
Guyana	0	0	0	0	0	0	0	0	0	7	0	0	0	
Honduras	7,204	0	0	0	0	0	0	0	0	0	0	0	0	
Hong Kong, China	2,565	2,134	2,659	3,060	3,390	4,751	4,796	5,244	5,882	11,798	10,303	8,114		
Hungary	0	2	6	0	3	24	84	0	0	2	0	0	134	
India	12,289	11,900	18,089	35,246	73,473	73,257	72,558	110,523	85,070	87,989	125,932	203,204	141,046	
Indonesia	17,849	5,310	6,374	13,058	9,504	4,128	5,307	14,477	7,583	6,748	29,774	18,139	13,384	
Iran (Islamic Republic of)	2,138	0	0	0	0	0				0	0			
Ireland	164	1,632	467	382	1,978	1,773	1,200	79	25	148	97	42	43	
Israel	612	312	500	0	0	2	38	0	17	0	0	8	128	
Italy	6,751	8,537	12,622	7,082	10,210	7,884	9,130	15,630	10,900	19,109	25,701	17,797	16,332	
Jamaica	0	0	0	0	1	0	0	0	0	0	0	3		
Japan	129	156	697	386	77	140	51	69	657	120	116	57	98	
Jordan	0	0	0	0		0	0	0	0	0	0	0	0	
Kazakhstan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Kenya	0	0	2	0	11	0	0	36	5	0	1			
Korea, Republic of	25	1,053	38	12	25	3,483	2,000	5,566	18,083	571	191	627	17,800	
Kuwait	0	0	0	0		0	0	145						
Latvia	0	0	0	5	6	0	0	0	0	0	0	0	0	
Lebanon	0	14	0	5	1,515	10,856	14	5,433	52,621	131,336	152,358	146,071	224,106	
Lesotho	0	0	0					0	0	0				
Libya							4	0	0	25				
Lithuania	9	1	15	0	5	0	0	0	0	0	0	43,079	18,969	
Luxembourg	1	7	7	2	1	0	4	2	0	0	1	1	6	
Macao, China	0	0	0	0	0	1	0	1	0	0		0		
Macedonia, The Former Yugoslav Republic of	0	1,098	750	2	1	1	0		2	0	0	49	0	
Madagascar	2,179	0	8	0	0	9	3	78	0	121	16	0	5	
Malawi	0	0	0	0	0	0	0	28	0	0	0	0	0	
Malaysia	1,617	800	1,575	2,232	1,428	5,086	9,367	29,486	1,960	13,033	47,843	12,588	8	
Mali	29,573	46,271	149,576	116,068	100,931	90,151	87,335	45,111		105,384	35,738	17,983		
Malta	0	0	0	0	0	1	0	0	0	0	0	0	0	
Mauritania	3	1	3	158	98		10,250	66	0	30	0	0		
Mauritius	0	0	681	626	6	0	0	4	0	0	0	0	1	
Mayotte	0	0	0	0	0	0	0	0	24					
Mexico	172	1,052	1,432	43	166	54	49	40	52	132	29	93	240	
Montenegro						0	0	0	3	0	3	0	1	
Montserrat	0	0	0	0	0	0	0	0	1			0	0	
Morocco	4,540	3,126	5,496	4,978	10,131	4,510	7,291	8,762	4,313	5,782	8,082	10,498	7,525	
Mozambique	0	0	0	0	1	5	0	0	160	1	240	21	1	
Myanmar										1				
Namibia	11	0	0	0	0	0	0	0	0	0	0	0	2	
Nepal			0						571	17	10			
Netherland Antilles					0	0	3	0						
Netherlands	3,914	3,862	5,508	5,985	17,433	13,013	30,374	36,744	60,275	29,598	74,324	71,276	14,143	
New Caledonia	0	1	2	4	2	3	4	3	23	5	0	0	0	
New Zealand	5,923	10,596	12,927	13,133	8,292	6,137	12	104	55	17	4	2	10,013	
Nicaragua	0	0	0	0	0	0	0	0	0	0	0	0	0	
Niger	8,604	13,560	15,439	12,252	36,969	20,168	36,730	51,186	42,002	52,006	81,266	90,314	108,284	
Nigeria	89,921	20,921	242,636			65,846	388,878	832,588	214	0	0	358		
Norway	22	56	28	22	344	7	3	1	0	13	3	1	303	
Oman	0	0	33	0	0	0	0	0	0	0	0	0	0	
Pakistan			0	3,001	7,359	2,522	1,068	6,732	267	2,154	3,835	1,222	2,151	
Palestine, State of							0	0	0	0	11	0		
Panama	0	0	0		0	0	0	0	0	0	0			
Papua New Guinea	11	0	0	0							0	0		
Paraguay	0	0	0	0	0	0	0	0	0	0	0	0	0	
Peru	0	0	373	186	0	3	0	0	0	0	0	0		
Philippines	12,102	8	24	68	2	2,171	23	0	0	8,286	17,998	21	0	
Poland	8,936	7,609	2,549	2,220	4,655	8,383	8,733	9,667	6,847	2,453	27,963	18,519	6,991	
Portugal	3,670	7,179	11,350	5,284	1,674	3,156	3,626	3,159	1,481	1,169	1,678	2,001	3,262	
Qatar	0	0	0	0	0	0	0	80	0	0	0	0	0	
Republic of Moldova	0	0	0	0	0	0	0	0	0	0	0	0	0	
Romania	909	990	1,636	639	0	11	0	0	2	0	0	0	0	
Russian Federation	43	551	695	0	25	0	0	2,785	3,489	10,295	11,291	6,571	14,854	
Rwanda	2	1	0	4	3	0	58	69	43	1	8	11	3	
Samoa	1	4	24	0	0	0	7	0	0	0	0	0	11	
Sao Tome and Principe	37	46	26	16	10	74	101	7	231	264	918	500	275	
Saudi Arabia	16	1,647	4,142	3,051	2	0	18	0	0	0	0	0		
Senegal	2,942	7,886	1,509	2,963	2,891	3,741	8,405	18,786	3,795	3,642	2,206	38,102	15,571	
Serbia					307	80	85	111	67	0	0	312	0	
Serbia and Montenegro	292	199		14										
Sierra Leone		7												
Singapore	5	97	0	0	0	0	0	0	0	0	6,028	418	6,580	
Slovakia	19	19	0	5	1	6	0	25	94	0	8	0	0	
Slovenia	230	7	0	1	0	0	3	1	30	0	0	44	4	
South Africa	6,555	4,293	5,331	4,770	86	7,266	5,204	77,666	9,483	16,822	16,004	221	247	
Spain	9,865	11,008	9,054	9,010	13,547	9,695	9,402	5,518	11,956	10,490	35,781	10,575	27,866	
Sri Lanka	32	21	0	5	0	0	0	0	0	0	12	0		
Sudan (North + South)	0	5	0	0	0	0		0	0	10	0			
Sweden	3	15	445	17	3	4	0	6	20	2	1	38	12	
Switzerland	2,201	1,341	940	1,206	1,420	1,770	2,824	3,680	3,738	680	996	881	810	
Syrian Arab Republic	0	0	0	0	0	15	0	0	0	0				
Taipei, Chinese	16,480	22,492	29,100	14,085	5,397	1,419	4,083	7,262	3,035	4,369	12,272	6,818	5,672	
Tanzania, United Republic of	4	11	104	14	69	0	36	0	26	6	52	0	38	
Thailand	5,423	7,408	5,117	8,512	8,679	7,867	8,915	12,177	2,831	2,088	5,543	7,001	7,668	
Togo	0	0	0	0	0		0	0	0	0	0	1,681	1,726	
Tonga	0	0	0					234	358	0	0	0		
Trinidad and Tobago	0	0	0	0	0	0	0	0	6	0				
Tunisia	189	1,738	902	3,292	2,470	419	3,873	0	0	35	1,776	0	173	
Turkey	2,976	2,841	4,371	4,934	2,408	2,812	832	5,564	544	6,964	47,030	45,713	46,312	
Uganda	33	0	0	0	0	0	1	12	127	37	136	192	145	
Ukraine	76	0	40	181	30	60	112	90	82	108	70	36	19	
United Arab Emirates					230		14,313	1,142						
United Kingdom	1,394	2,012	917	455	615	711	1,166	1,137	1,292	1,070	1,430	775	2,791	
United States of America	13,727	3,113	5,904	1,778	7,229	3,940	5,684	12,007	6,967	9,499	31,704	53,149	8,279	
Uruguay	1,812	1,173	3,130	1,944	1,469	4,073	5,007	6,504	0	0	1,248	5,079	8,126	
Vanuatu						0	0		0	0	0			
Venezuela	566	0	0	0	0	69		0	0	0	0	0	0	
Viet Nam	14	678	2,910	2,154	5,269	4,427	9,600	11,698	8,403	18,045	50,927	22,278		
Yemen				1	4	0	0	0	14	28	1	59		
Zambia	11	2	2	1	3	0	0	24	65	1	50	3	10	
Zimbabwe	0	0		0	0	3	0	0	0	3	0	0	0	
