List of importing markets for a product exported by Tonga Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
World	6,762	13,787	16,385					9,292	7,798	8,257	14,392	15,583	
Albania	0	0	0					0	0	0	0	0	
Andorra	0	0	0					0	0	0	0	0	
Area Nes	0	0	0					0	0	19	40	20	
Argentina	0	0	0					0	0	0	0	0	
Armenia	0	0	0					0	0	0	1	0	
Australia	237	152	214					577	748	324	1,335	1,873	
Austria	0	0	0					0	0	0	0	0	
Bahamas	0	0	0					0	0	0	0	0	
Bahrain	0	0	0					0	0	0	0	0	
Bangladesh	0	0	0					0	0	0	0	0	
Barbados	0	0	0					0	0	0	0	0	
Belgium	0	0	0					0	0	0	0	0	
Brazil	0	0	0					0	0	0	0	0	
Brunei Darussalam	0	0	0					0	0	0	0	0	
Burkina Faso	0	0	0					0	0	0	0	0	
Cambodia	0	0	0					0	0	0	0	0	
Canada	0	11	11					1	1	1	2	6	
Cayman Islands	0	0	0					0	0	0	0	0	
Chile	0	0	0					0	0	0	0	0	
China	0	17	42					55	62	43	3	2	
Colombia	0	0	0					0	0	0	0	0	
Cook Islands	0	0	0					20	2	0	0	0	
Costa Rica	0	0	0					0	0	0	0	0	
Cuba	0	0	0					0	0	0	0	0	
Cyprus	0	0	0					0	0	0	0	0	
Denmark	1	0	4					0	0	0	0	0	
Dominica	0	0	0					0	0	0	0	0	
Ecuador	0	0	0					0	0	0	0	0	
Egypt	0	0	0					0	0	0	0	0	
Eritrea	0	0	0					0	0	0	0	0	
Faroe Islands	0	0	0					0	0	0	0	0	
Fiji	42	197	65					98	30	39	505	680	
Finland	0	0	0					0	0	0	0	0	
France	0	0	0					0	0	0	0	0	
French Polynesia	0	0	8					0	0	0	0	0	
Gambia	0	0	0					0	0	0	0	0	
Georgia	0	0	0					0	0	0	0	0	
Germany	70	604	2					0	4	1	1	1	
Greece	1	0	0					0	0	1	0	0	
Guinea-Bissau	0	0	0					0	0	0	0	0	
Guyana	0	0	0					0	0	0	0	0	
Haiti	0	0	0					0	0	0	0	0	
Honduras	0	0	0					0	0	0	0	0	
Hong Kong, China	6	109	214					316	2,588	3,638	2,501	2,023	
Hungary	0	0	0					0	0	0	0	0	
Iceland	0	0	0					0	0	0	0	0	
India	0	0	0					0	5	0	0	0	
Indonesia	0	0	0					637	0	0	0	1	
Iran (Islamic Republic of)	0	0	0					0	0	0	0	0	
Ireland	0	0	0					0	0	0	0	25	
Israel	0	0	0					0	0	0	0	0	
Italy	0	0	0					0	0	0	0	0	
Jamaica	0	0	0					0	0	0	0	0	
Japan	3,377	5,851	7,075					1,170	327	875	3,013	1,972	
Jordan	0	0	0					0	0	0	0	0	
Kiribati	1	0	0					2	4	0	0	5	
Korea, Democratic People's Republic of	0	0	0					0	0	0	0	11	
Korea, Republic of	0	8	122					246	169	48	767	1,170	
Lao People's Democratic Republic	0	0	0					0	0	0	0	6	
Lithuania	0	0	0					0	0	0	0	0	
Macao, China	0	0	0					0	0	0	0	0	
Malaysia	0	0	0					0	0	0	0	1	
Mali	0	0	0					0	0	0	0	0	
Mexico	0	0	0					0	0	0	0	0	
Micronesia (Federated States of)	1	0	0					0	0	3	0	0	
Montserrat	0	0	0					0	0	0	0	0	
Morocco	0	0	0					0	0	0	0	0	
Namibia	0	0	0					0	0	0	0	0	
Nauru	0	0	0					0	0	0	0	0	
Netherland Antilles	0	0	0					0	0	0	0	0	
Netherlands	0	0	0					0	0	0	0	0	
New Caledonia	0	0	0					0	0	0	0	1	
New Zealand	1,016	1,551	1,265					3,069	2,006	1,360	2,811	4,060	
Nicaragua	0	0	0					0	0	0	0	0	
Niue	0	1	6					0	0	0	0	0	
Norway	0	0	0					0	0	0	0	0	
Oman	0	0	0					0	0	0	0	0	
Pakistan	0	0	0					0	0	0	0	0	
Panama	0	0	0					0	0	40	0	0	
Papua New Guinea	14	0	0					10	1	1	0	19	
Paraguay	0	0	0					0	0	0	0	0	
Peru	0	0	0					0	0	0	0	0	
Philippines	0	0	0					26	61	18	23	244	
Poland	0	0	0					0	0	0	0	0	
Russian Federation	0	0	0					0	0	0	0	0	
Saint Helena	0	0	0					0	0	0	0	0	
Samoa	390	146	56					365	228	325	270	572	
Saudi Arabia	0	0	0					0	0	0	13	0	
Senegal	0	0	0					0	0	0	1	0	
Seychelles	0	0	0					0	0	0	0	0	
Sierra Leone	0	0	0					0	0	0	0	0	
Singapore	0	0	2					11	186	22	2	57	
Slovakia	0	0	0					0	0	0	0	0	
Slovenia	0	0	0					0	0	0	0	0	
Solomon Islands	0	0	4					1	0	0	0	0	
Somalia	0	0	0					0	0	0	0	0	
South Africa	0	0	0					0	0	0	0	0	
Spain	0	0	0					0	0	0	0	0	
Swaziland	0	0	0					0	0	0	0	0	
Sweden	0	0	0					0	0	0	0	0	
Switzerland	0	0	0					0	0	0	0	0	
Taipei, Chinese	17	63	47					398	6	69	1,451	447	
Thailand	0	0	0					0	0	0	1	0	
Togo	0	0	0					0	0	0	0	0	
Tokelau	0	0	0					0	0	0	0	3	
Tonga	0	0	0					0	0	0	0	0	
Trinidad and Tobago	0	0	0					0	0	0	0	0	
Tunisia	0	0	0					0	0	0	0	0	
Turkey	0	0	0					0	0	0	0	0	
Tuvalu	0	0	0					0	0	0	0	0	
Ukraine	0	0	0					0	0	0	0	0	
United Arab Emirates	0	0	0					0	0	0	0	0	
United Kingdom	40	0	3					1	1	1	2	1	
United States Minor Outlying Islands	1,124	1,100	902					274	125	88	90	290	
United States of America	418	3,977	6,342					2,001	1,245	1,341	1,551	2,092	
Uruguay	0	0	0					0	0	0	0	0	
Vanuatu	5	0	0					13	0	1	0	0	
Viet Nam	0	0	0					0	0	0	9	1	
Zambia	0	0	0					0	0	0	0	0	
