List of importing markets for a product exported by Trinidad and Tobago Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	
World	5,113,382	3,853,322	5,241,265	6,517,202	9,611,480	14,018,734	13,396,245	18,650,425	9,125,971	10,981,679	
Afghanistan	0	0	1	2	5	0	0	0	0	0	
Albania	55	297	48	20	12	202	884	40	10	0	
Algeria	1	2	9,088	0	1,677	4,046	0	0	2	0	
Andorra	0	0	0	0	0	0	0	0	0	0	
Angola	3	395	3	79	7	1,754	6	16	177	105	
Anguilla	2,755	1,790	1,439	1,547	14,176	2,073	2,301	8,999	4,288	9,587	
Antigua and Barbuda	29,674	18,705	25,220	27,175	33,219	87,833	69,700	244,351	92,787	124,470	
Area Nes	2,812	1,465	1,167	43,804	109,796	163,236	90,623	302,828	173	119,800	
Argentina	655	2,486	508	3,097	15,151	45	9,531	159,267	129,397	86,135	
Armenia	0	0	0	0	0	80	0	0	0	0	
Aruba	7,380	7,313	9,565	4,766	5,889	14,900	22,847	40,923	3,712	8,334	
Australia	1,049	1,343	2,153	1,815	2,047	3,519	4,298	22,389	3,526	3,663	
Austria	112	13	0	147	177	38	100	46	48	11	
Azerbaijan	8	0	0	27	0	0	55	1,743	264	70	
Bahamas	22,393	23,802	32,395	30,938	96,254	29,421	23,776	104,331	7,550	10,496	
Bahrain	53	0	0	0	20	0	1,695	931	0	1	
Bangladesh	79	18	34	216	606	1,345	2,240	1,521	816	383	
Barbados	283,183	178,502	205,007	212,911	415,152	468,136	302,575	545,989	275,150	373,562	
Belarus	0	0	0	0	0	0	0	0	0	0	
Belgium	20,055	11,105	14,740	18,463	13,338	61,219	23,980	86,535	91,414	39,840	
Belize	8,294	9,839	6,843	5,031	7,998	5,299	9,000	8,975	4,941	14,633	
Benin	0	0	2,627	0	0	0	6,155	12,456	1,527	3,350	
Bermuda	19,840	13,389	70,858	31,053	71,870	100,598	53,296	57,506	26,072	12,991	
Bhutan	0	0	0	0	0	0	0	3	0	0	
Bolivia	317	214	159	119	116	0	545	327	153	86	
Bosnia and Herzegovina	0	0	0	0	0	0	15	0	0	0	
Botswana	4	0	11	0	0	0	0	0	0	0	
Brazil	42,462	18,433	31,028	36,703	72,887	94,226	88,751	156,539	38,210	210,907	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	3	2	
British Virgin Islands	7,411	6,983	5,153	6,648	32,109	59,541	65,713	71,052	5,421	6,272	
