List of importing markets for a product exported by Tunisia Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	6,608,605	6,871,228	8,026,778	9,684,722	10,493,620	11,694,351	15,165,396	19,319,957	14,445,136	16,426,570	17,846,965	17,007,446	17,060,465	
Afghanistan	96	54	31	697	271	671	163	24	38	114	0	8	64	
Albania	1,881	2,398	2,421	3,054	4,708	5,834	1,923	706	4,033	930	1,997	1,303	3,742	
Algeria	75,820	89,210	103,536	108,919	182,934	188,053	286,979	408,082	451,242	474,720	466,570	484,952	486,441	
Andorra	88	65	44	143	141	1	29	185	4	0	117	420	0	
Angola	95	400	493	1,044	1,038	2,260	3,275	4,603	5,646	7,560	7,538	6,286	9,269	
Antigua and Barbuda	518	60	7	371	167	1	0	0	10	58	468	1,616	12	
Area Nes	274,794	257,883	274,167	294,630	385,741	309,265	352,838	557,175	449,125	578,410	659,884	695,673	711,681	
Argentina	3,594	11,684	15,110	10,939	3,534	12,848	16,129	15,403	5,400	1,825	1,248	655	8,597	
Armenia	0	0	0	17	0	0	0	0	0	4	0	5	0	
Australia	1,202	1,591	1,296	2,082	1,842	3,563	3,216	29,466	2,716	3,878	4,247	5,195	4,233	
Austria	6,016	8,572	10,280	10,668	11,814	11,886	17,824	26,307	19,408	52,965	74,238	73,634	66,669	
Azerbaijan	41	81	11	63	68	0	216	154	1,139	1,170	3,029	9,920	1,893	
Bahamas	26	40	23	40	2	17	3	11	40	0	82	4	1	
Bahrain	7,964	8,524	5,957	8,519	10,847	13,359	17,147	18,630	14,538	807	1,016	903	555	
Bangladesh	10,290	11,199	8,441	10,827	40,453	13,174	18,014	102,561	30,710	78,158	108,980	92,989	136,465	
Barbados	28	32	0	4	0	7	1	5	0	0	2	0	0	
Belarus	0	0	0	0	16	70	2	23	0	63	0	0	0	
Belgium	322,802	292,632	315,041	288,330	288,243	276,304	358,132	430,015	319,562	320,255	336,746	356,962	346,887	
Belize	0	0	0	0	769	0	0	1	0	0	32	23	57	
Benin	2,078	2,778	3,063	3,032	2,826	2,317	3,344	5,946	5,042	5,215	6,251	6,209	9,772	
Bermuda	16	332	52	0	158	16	0	1	0	0	0	0	0	
Bhutan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bolivia	50	133	22	149	23	22	260	23	0	0	0	6	29	
Bosnia and Herzegovina	0	0	25	78	364	153	565	465	410	440	389	653	534	
Botswana	1	0	0	0	0	89	3	0	0	15	0	3	6	
Brazil	18,510	32,276	44,280	65,059	47,787	70,795	113,167	189,860	99,622	115,504	113,686	111,373	121,818	
Brunei Darussalam	38	0	0	0	0	0	0	0	0	82	10	5	231	
Bulgaria	844	344	2,148	4,391	2,060	466	3,086	10,713	5,393	16,957	14,061	12,253	11,278	
Burkina Faso	2,629	6,137	7,440	6,070	11,895	12,781	11,221	11,513	10,251	13,902	12,037	18,095	21,358	
Burundi	0	0	0	0	1	63	93	7	191	156	106	600	194	
Cabo Verde	0	0	1	52	39	0	0	0	23	154	123	129	1	
Cambodia	16	22	31	23	2	0	0	0	0	0	0	0	253	
Cameroon	2,742	2,026	3,341	4,433	2,926	4,080	5,596	8,439	14,068	15,130	25,784	28,985	32,464	
Canada	4,152	3,985	6,286	8,350	9,785	11,544	13,710	14,225	47,828	19,647	24,822	20,398	18,077	
Cayman Islands	0	0	0	0	0	0	23	93	0	0	15	0	32	
Central African Republic	0	0	0	0	81	367	581	713	380	349	693	716	325	
Chad	384	598	381	609	1,645	2,411	3,136	3,201	5,125	6,018	1,466	5,399	3,638	
Chile	623	2,428	53	97	41	17	157	190	687	1,611	870	2,316	410	
China	15,698	15,319	17,269	25,513	17,854	42,504	18,079	59,134	69,620	47,117	41,194	84,215	41,392	
Colombia	12	25	256	113	58	184	220	547	499	75	2,458	452	856	
Comoros	302	82	7	0	583	29	96	907	128	123	131	928	83	
Congo	3,861	4,110	4,623	5,241	6,034	6,971	7,162	9,798	14,244	20,023	15,238	15,386	16,425	
Costa Rica	1	43	0	0	0	0	14	0	219	0	0	0	1	
Côte d'Ivoire	7,693	11,621	6,488	6,564	10,268	16,685	18,271	24,398	27,220	21,774	24,680	28,055	31,373	
Croatia	201	886	1,633	2,293	1,617	1,546	2,259	2,493	2,122	8,479	2,317	4,585	5,349	
Cuba	15,157	3,527	3,612	0	0	16	0	11	34	137	16	57	4	
Cyprus	247	442	306	734	783	1,751	1,844	7,528	2,897	2,819	4,992	6,137	2,534	
Czech Republic	1,363	4,190	2,308	8,716	11,402	7,751	4,810	5,258	2,977	9,843	46,627	91,742	48,133	
Democratic Republic of the Congo	0	0	0	0	0	8	37	1	49	35	26	1	383	
Denmark	4,381	7,153	8,017	5,492	4,433	3,716	5,840	11,327	7,247	9,033	6,432	15,501	13,682	
Djibouti	7,270	1,520	1,021	330	553	704	1,129	1,393	917	2,923	684	542	2,479	
Dominica	27	0	25	0	37	145	107	0	0	0	0	0	0	
Dominican Republic	0	0	0	0	3	0	14	40	145	141	139	120	97	
Ecuador	0	83	16	9	16	7	6	0	5	334	2,063	245	76	
Egypt	32,475	25,997	27,950	31,170	48,029	49,856	87,065	128,862	81,866	92,342	73,006	84,979	67,200	
El Salvador	0	5	0	0	0	0	0	20	0	0	0	0	0	
Equatorial Guinea	882	413	738	2,696	803	2,132	2,319	3,699	2,625	3,650	5,527	5,527	7,834	
Eritrea	89	663	22	0	157	0	0	52	982	0	0	12	433	
Estonia	0	17	0	0	9	425	2,188	3,686	5,016	8,166	3,343	2,502	1,831	
Ethiopia	356	26	0	131	2,872	18,112	49,452	59,460	67,528	87,994	121,052	86,184	75,343	
Europe Othr. Nes	0	0	0	0	0	0	0	0	0	0	0	0	0	
Falkland Islands (Malvinas)	0	39	10	21	43	761	7	7	0	0	0	0	0	
Faroe Islands	0	7	0	61	40	0	0	0	0	0	0	0	25	
Fiji	0	0	0	0	35	0	0	0	0	0	0	0	0	
Finland	980	5,084	1,215	1,951	2,851	1,396	954	769	1,413	964	1,173	594	41	
France	1,914,474	2,133,839	2,613,224	3,205,145	3,453,805	3,776,862	4,877,607	5,507,524	4,283,306	4,717,284	5,476,753	4,587,399	4,502,924	
French Polynesia	144	239	580	821	518	468	187	79	626	353	339	776	283	
