List of importing markets for a product exported by Tunisia (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	6,501,833	6,842,908	8,138,684	9,756,812	10,263,510	11,920,268	15,156,004	18,585,050	14,804,594	16,747,098	17,457,308	16,632,157	16,928,328	
Albania	1,922	2,818	2,650	2,273	3,530	7,989	1,503	816	4,838	1,418	1,764	3,112	5,179	
Algeria	51,528	102,348	91,419	110,504	144,037	171,580	212,899	294,277	354,449	392,175	440,439	434,306	489,216	
Andorra	432	532	513	593										
Anguilla	0	3	1											
Antigua and Barbuda					43		21		39	79	80	59	32	
Argentina	5,424	9,609	13,025	15,914	6,075	9,536	13,493	33,574	8,431	36,233	6,803	9,979	18,442	
Armenia	0	0	0	0	0	78	150	249	272	384	789	788	1,304	
Australia	2,117	3,190	3,030	3,853	5,188	6,086	9,185	42,312	12,301	14,185	16,506	17,866	18,226	
Austria	35,173	35,569	132,942	62,570	101,697	124,014	146,125	173,259	110,858	112,147	189,178	167,924	163,556	
Azerbaijan	0	5	10	6	24	10	1	146	204	1,753	5,186	8,152		
Bahamas	0	1	0	0	0	0	0	0	0	0	0	203		
Bahrain	9,890	7,382	9,438	6,526	10,511	10,465	15,453	16,903	15,810	3,539	1,816			
Bangladesh	10,982	9,289	10,751	11,293	41,264	10,034	6,784							
Barbados	49	13	21	4	2	8	6	31	20	28	60	56	73	
Belarus	12	19	50	105	225	242	933	1,011	875	1,300	1,589	1,748	2,721	
Belgium	455,922	451,430	475,517	465,705	431,923	466,211	535,714	584,179	884,143	530,229	575,426	488,122	448,445	
Benin	1,557	1,919	1,927	2,143	1,818	1,434	1,687	2,246	3,417	4,418	2,742	3,737	9,792	
Bermuda												68	112	
Bhutan					0	0	0	0	0	0	1			
Bolivia	3	195	0	30	102	147	139	134	191	724	1,163	2,620		
