List of importing markets for a product exported by Turkey (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	29,513,543	35,325,094	45,709,934	60,249,364	68,990,894	79,143,102	102,939,325	123,545,947	91,114,891	105,494,698	124,447,272	120,583,170	122,034,998	
Afghanistan								50,891	71,163	108,694	138,211	0		
Albania	80,709	91,437	122,326	163,599	195,941	232,950	304,748	313,255	292,522	260,255	299,592	280,644	311,036	
Algeria	380,715	392,404	438,195	583,812	605,857	710,850	921,358	1,345,752	1,746,343	1,522,258	1,398,425	1,798,328	2,077,240	
Andorra	619	663	1,233	2,298										
Anguilla	0	0	1											
Antigua and Barbuda					190		522		699	426	404	728	427	
Argentina	31,151	7,683	10,642	25,739	33,024	59,075	76,423	156,130	93,824	176,564	249,541	300,507	380,238	
Armenia	29,004	34,108	33,338	37,565	53,119	93,827	130,406	267,408	177,775	210,517	240,366	213,115	210,197	
Aruba					269				340	783	2,440	3,223		
Australia	89,203	110,416	151,524	241,666	267,369	308,496	326,925	401,176	370,851	436,239	478,755	541,847	576,976	
Austria	467,294	579,403	791,456	916,384	1,005,365	1,005,116	1,180,835	1,337,179	1,775,140	1,909,278	2,208,878	1,859,707	1,777,274	
Azerbaijan	148,167	156,219	195,132	224,968	313,002	385,040	624,692	807,343	906,072	771,442	1,302,443	1,520,405		
Bahamas	0	4	0	0	0	0	0	0	0	0	195	534		
Bahrain	13,605	22,529	31,488	42,648	43,615	33,632	39,809	368,565	91,294	210,896	147,408			
Bangladesh	17,506	27,139	50,167	40,386	95,533	95,832	76,836							
Barbados	1,394	1,889	1,634	1,863	1,821	3,610	3,395	6,958	5,028	5,480	5,545	4,249	2,440	
Belarus	23,154	24,945	25,622	41,358	72,281	114,135	139,011	223,153	187,613	259,435	315,291	343,191	397,247	
Belgium	892,838	954,175	1,375,772	2,237,217	2,351,264	2,494,648	3,319,990	3,896,327	2,963,732	3,609,058	4,405,640	3,929,417	4,635,419	
Belize	10	10	26	139	116	471	341	90	67	282	377	361	475	
Benin	3,608	5,147	4,517	1,868	1,915	1,430	2,018	4,912	5,867	15,579	19,615	41,109	41,181	
Bermuda												681	481	
Bhutan					0	45	7	471	136	292	378			
Bolivia	392	519	405	854	714	799	1,930	2,989	7,055	7,051	9,644	10,395		
Bosnia and Herzegovina			80,031	108,912	198,353	212,875	563,682	645,630	248,257	256,409	320,276	294,995	334,328	
Botswana	0	47	1,791	321	638	112	792	1,098	417	3,920	8,197	1,553	2,527	
Brazil	88,463	63,386	58,050	76,436	108,232	145,593	209,562	337,522	399,322	652,038	917,269	964,114	1,144,898	
Brunei Darussalam	209	107	89	125		256				629	1,100	1,361	4,172	
Bulgaria	273,643	393,763	667,377	870,253	1,099,423	1,391,253	2,072,260	2,075,875	1,281,640	1,385,992	1,545,654	1,526,508	2,000,983	
Burkina Faso	493	6,331	1,635	3,059	1,925		16,287	6,782	8,593	22,819	24,974	33,459		
Burundi	259	162	166	214	21,020	772	1,045	901	2,004	2,038	9,633	12,369	4,981	
Cabo Verde	4,570	6,286	9,816	6,743	5,161	3,912	4,795		2,769	4,103	6,074	5,296	10,001	
Cambodia	150	282	142	564	204	1,630	798	1,597	3,378	1,022	1,043	2,729		
Cameroon	9,733	14,373	20,594	22,373	18,314	18,241	22,321	81	50,201	54,400	115,389	122,657		
Canada	203,610	255,223	333,701	469,351	526,148	551,373	525,120	662,280	555,947	693,593	1,134,047	1,480,411	1,280,393	
Central African Republic	67	143	820			1,388	0	0	0	0	0	0	0	
Chile	20,478	22,421	22,729	32,284	31,698	37,082	843,871	852,462	40,844	92,679	167,530	217,232	264,088	
China	230,938	288,786	532,672	591,381	621,744	765,952	1,293,801	1,962,933	1,745,485	3,164,059	3,123,228	3,511,810	4,495,130	
Colombia	11,854	10,750	11,933	13,719	19,801	23,911	35,596	60,600	48,623	56,753	124,307	175,046	168,757	
Comoros	7	0	2	732	95	296	106	279	602					
Congo							3,350	5,552	10,591	10,154	21,575	58,313	45,875	
Costa Rica	12,337	7,363	5,087	5,991	4,175	10,664	7,867	12,143	11,630	12,515	15,507	34,711	43,784	
