List of importing markets for a product exported by Turks and Caicos Islands (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	15,183	26,240	34,116	31,580	30,948	34,571	68,126	71,352	29,404	27,235	44,839	86,120	29,715	
Albania	0	0	0	2	0	0	0	0	3	32	33	27	126	
Anguilla	49	0	0											
Antigua and Barbuda					0		3		3	11	0	2	1	
Australia	108	0	179	0	3	72	4	0	1	0	2	24	6	
Austria	518	323	101	9	14	26	1	0	0	0	0	0	0	
Azerbaijan	13	122	108	0	0	0	0	0	0	0	6	7		
Bahamas	79	5	36	0	95	28	21	123	11	128	49	95		
Bahrain	0	0	0	0	0	0	0	0	0	0	0			
Bangladesh	4	54	146	0	0	185	147							
Barbados	1	0	20	50	287	7	2	15	25	3	20	1	5	
Belarus	0	0	0	0	0	0	0	1	0	0	1	0	0	
Belgium	9	3	13	5,081	5,437	0	57	2	0	5	6	854	17	
Belize	0	1	0	1	0	0	0	38	23	0	11	0	1	
Benin	0	0	20	7	0	0	2	1	0	148	75	0	36	
Bolivia	0	0	0	0	0	0	0	0	0	0	0	0		
Bosnia and Herzegovina			0	0	3	2	0	0	0	7	0	0	0	
Botswana	0	3	0	0	0	0	0	0	0	0	0	0	0	
Brazil	7	0	1,918	0	0	1	44	1,118	1	5	25	2	0	
Bulgaria	39	33	0	1	3	6	0	1	0	0	0	0	0	
Burkina Faso	0	0	0	45	147		0	62	1	115	1	7		
Burundi	0	0	0	0	0	0	0	0	0	24	109	0	28	
Cabo Verde	5	0	0	0	0	0	0		0	0	0	0	0	
Cambodia	0	0	0	0	0	0	1	38	1	17	0	0		
Cameroon	0	0	0	0	31	0	0	36,564	0	0	0	0		
Canada	646	1,496	5,707	5,288	6,213	6,102	4,810	1,821	261	109	115	186	246	
Central African Republic	0	0	0			50	444	274	915	2,327	3,500	4,286	2,204	
Chile	0	0	0	0	0	0	0	0	1	0	0	0	0	
China	0	0	16	22	19	1	0	0	0	0	0	1	8	
Colombia	5	1	0	0	0	78	0	0	0	6	3	0	0	
Comoros	0	0	0	0	0	0	0	11	19					
Congo							0	0	0	0	2,974	0	1,546	
Costa Rica	0	0	0	175	37	32	3	8	0	11	0	16	19	
Côte d'Ivoire	10	0	4	1	0	1	1	0	0	2	5	55		
Croatia	0	0	0	0	0	1	0	0	1	3	26	2	0	
Cuba	0	0	0	0	0	34								
Cyprus	0	0	0	0	76	0	0	0	0	0	0	0	0	
Czech Republic	0	0	0	43	25	27	30	1	10	42	52	12	356	
Denmark	0	1	0	0	0	23	0	0	2	10	4	0	0	
Dominica	0	0	0	0	0	0	12	0	9	0	0	7		
Dominican Republic	7	10	0	76	7	24	52	22	174	100	25	38	57	
Ecuador	0	0	0	0	0	0	163	0	0	0	0	0	0	
El Salvador	0	0	0	0	0	1	0	0	0	14	1	1	1	
Eritrea			123											
Estonia	1	0	149	0	18	11	5	0	0	0	0	30	13	
Ethiopia	2,252	125	865	263	339	481	336	963	1,819	506	520	1,028		
Faroe Islands	0	1	14	0	0	0	22	3	0					
Fiji		0	0	0	0	0	2	3	0	0	0	1		
Finland	0	0	0	0	0	0	77	0	0	0	1	0	0	
France	161	817	523	175	156	1,009	27,219	1,226	693	828	678	233	1,399	
French Polynesia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Gabon	0	0	0	369	405	761	10,613	2,296	0					
Gambia	0	0	0	0	0	0	0	0	0	183	8			
Georgia	0	0	0	0	0	0	0	126	0	0	0	0	0	
Germany	88	4	30	484	346	198	100	382	28	11	15	122	34	
Greece	0	0	31	0	0	0	0	0	0	0	0	0	0	
Grenada	0	0	10	0	0	0	0	0						
Guatemala	0	0	0	0	0	0	277	0	0	0	0	0	0	
Guinea	0	0		0	0	0	6	34		63	21	11		
Guyana	3	0	0	0	0	0	0	2	11	220	92	9	84	
Hungary	0	0	0	0	0	0	0	26	0	0	0	0	0	
Iceland	0	0	0	0	0	0	0	0	0	0	0	0	0	
India	46	19	0	8	37	3,445	383	108	3,324	56	33	0	120	
Indonesia	11	24	0	0	0	169	3	0	7	1	0	0	0	
Ireland	2	31	82	1,027	107	281	1,176	156	71	53	177	791	817	
Israel	0	0	0	0	0	0	0	0	4	0	3	0	1	
Italy	101	13,711	14,770	6,023	2,527	2,874	913	387	42	71	7,930	8,582	10	
Jamaica	58	204	185	72	99	4	36	0	47	123	0	0		
Japan	0	0	0	0	599	3	0	4	0	0	67	3	93	
Kazakhstan	40	1	1	6	0	0	0	1	0	0	37	12	29	
Kenya	0	0	60	0	9	0	0	0	0	0	0			
Kiribati					0		0	0	0	0	0	12		
Korea, Republic of	38	5	63	4	0	35	0	0	411	0	9	0	20	
Lebanon	0	4	0	0	2	0	0	0	6	9	1,101	145	101	
Lithuania	0	0	0	0	0	0	0	0	0	0	0	0	0	
Luxembourg	0	0	0	0	0	0	0	107	2	29	3	21	130	
Macedonia, The Former Yugoslav Republic of	4	0	0	21	0	14	9		0	4	0	0	0	
Madagascar	144	0	0	120	67	235	14	238	0	0	6	5	36	
Malawi	42	12	0	0	0	2	0	0	98	253	0	0	0	
Malaysia	0	3	0	0	0	0	0	252	0	349	0	0	26	
Mali	11	0	0	1,253	0	0	30	5		7	57	196		
Malta	0	0	0	3	0	0	0	0	0	0	0	0	0	
Mauritania	0	0	0	0	30		0	0	0	0	0	627		
Mauritius	0	0	0	0	3	6	0	0	2	0	0	1	3	
Mayotte	0	0	0	0	0	0	0	2	0					
Mexico	49	2	0	212	256	219	184	73	36	264	269	75	25	
Montenegro						17	0	14	0	11	1	0	1	
Montserrat	0	0	0	0	0	0	0	0	0			16	0	
Mozambique	0	0	0	0	38	0	14	164	102	186	1,232	168	209	
Namibia	0	0	0	12	0	0	0	0	0	0	0	1	4	
Nepal			0						0	40	0			
Netherland Antilles					32	67	42	511						
Netherlands	41	67	0	87	47	533	442	87	322	86	348	5	22	
New Caledonia	0	0	0	0	0	0	0	0	8	0	0	0	1	
New Zealand	0	0	0	0	0	0	1	0	0	1	0	0	1	
Nicaragua	0	0	0	0	0	6	4	0	0	334	5	7	6	
Niger	0	42	0	0	2	0	14	3	194	17	180	24	1,308	
Nigeria	387	666	1,739			758	0	2,114	39	26	60	0		
Norway	0	0	0	0	0	0	2	0	0	0	0	0	0	
Pakistan			0	24	179	18	0	1	2	77	0	23	31	
Paraguay	0	0	0	0	0	0	0	0	0	0	0	0	2	
Peru	0	2	0	0	0	0	240	0	0	1	0	4		
Philippines	0	0	0	0	0	0	0	0	1	2	0	311	0	
Poland	0	0	0	1,454	2,099	3,021	5,780	6,460	4,279	2,025	497	598	1,315	
Portugal	0	0	0	0	0	0	0	0	0	0	0	575	0	
Republic of Moldova	6	0	0	3	0	0	4	0	0	0	1	0	0	
Romania	0	1	0	1	0	0	0	68	3	1	0	0	0	
Russian Federation	46	88	8	0	0	0	17	0	0	0	112	0	0	
Rwanda	0	0	18	14	34	23	102	50	19	2	20	11	121	
Saint Kitts and Nevis	0	0	0	5	0	0	2	1	0	7	1			
Saint Lucia	2	0	0	0	817	81	5	20						
Saint Vincent and the Grenadines	0	2	0	5	2	0	1	3	4	0	4	0		
Sao Tome and Principe	0	0	0	0	0	0	0	0	0	0	2	0	7	
Saudi Arabia	0	0	0	0	0	3	0	0	0	336	0	0		
Senegal	2	0	0	1	0	0	0	0	0	0	0	0	208	
Serbia					140	124	68	8	20	0	0	0	3	
Serbia and Montenegro	30	8		795										
Seychelles	0	0	0		0	0		41						
Singapore	113	1	0	0	0	0	0	0	0	0	784	55,939	265	
Slovakia	0	0	0	133	327	180	374	1,616	1,579	1,078	981	291	254	
Slovenia	1	0	14	12	3	20	4	0	5	0	1	1	31	
South Africa	0	1	0	484	0	1	1	53	14	2	18	11	7	
Spain	1,277	216	0	5	34	77	16	0	101	181	1	1	367	
Sri Lanka	0	0	6	0	0	0	0	0	0	0	7	63		
Sudan (North + South)	0	236	0	0	6	0		2,265	1,828	4,167	8,350			
Sweden	1	0	90	0	0	0	5	89	3	1	19	2	14	
Switzerland	35	181	62	30	5	88	12	0	2	71	42	102	153	
Syrian Arab Republic	0	0	0	0	0	0	0	0	0	8				
Taipei, Chinese	0	2	0	0	1	6	4	11	0	13	74	19	1	
Tanzania, United Republic of	2	1	0	0	0	27	0	0	1,631	10	37	2	0	
Thailand	153	185	7	22	59	44	158	381	61	28	22	65	62	
Togo	0	682	0	0	0		0	66	0	13	11	47	0	
Trinidad and Tobago	0	0	0	0	15	0	0	11	9	8				
Tunisia	0	111	0	0	6	137	1	5	146	0	0	0	0	
Turkey	0	0	0	0	0	4	10	20	0	0	1	6	1	
Uganda	118	12	0	0	0	142	242	112	0	0	0	0	0	
Ukraine	29	11	36	32	68	43	4	10	0	0	0	30	6	
United Kingdom	73	764	574	38	20	450	99	174	5	68	149	106	878	
United States of America	8,278	5,259	6,388	7,560	9,616	12,221	13,203	10,498	10,933	12,245	9,770	9,962	10,818	
Uruguay	0	0	0	0	0	1	0	0	0	7	0	0	0	
Vanuatu						0	0		0	0	53			
Venezuela	38	616	0	4	0	0		1	24	14	45	44	2	
Viet Nam	0	71	0	0	0	0	0	0	0	0	0	0		
Yemen				0	0	0	0	0	0	0	1	0		
Zambia	0	0	0	0	0	31	0	0	0	20	1,265	159	427	
Zimbabwe	0	0		18	1	0	53	1	8	0	2,675	0	5,592	
