List of importing markets for a product exported by Uganda Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	450,527	467,380	531,600	653,542	812,810	962,193	1,336,668	1,724,295	1,567,614	1,618,603	2,159,077	2,357,493	2,407,736	
Afghanistan	0	13	0	17	0	0	52	0	0	0	0	0	0	
Albania	0	108	0	0	0	0	64	32	0	0	0	0	25	
Algeria	0	11	0	0	0	724	360	0	218	0	3,051	0	686	
Andorra	0	2	47	5	54	9	93	0	0	0	0	0	0	
Angola	0	189	26	340	795	481	48	2,635	3,027	1,392	775	343	1,968	
Antigua and Barbuda	18	0	0	0	0	0	0	0	0	0	0	0	0	
Area Nes	19,887	10,646	35,191	27,683	18,644	36,325	37,465	47,492	98,912	72,182	104,251	136,187	131,573	
Argentina	2	0	6	0	11	10	16	0	12	0	3	0	0	
Armenia	0	0	0	0	33	0	0	0	0	1	0	0	0	
Aruba	0	0	0	0	0	0	0	0	0	0	0	0	0	
Australia	5,404	4,644	9,214	3,417	3,967	7,151	2,397	1,735	2,187	2,660	2,188	2,182	1,362	
Austria	545	108	337	1,169	39	167	189	251	319	211	799	1,045	707	
Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bahamas	0	0	0	0	33	0	2	0	0	0	0	0	0	
Bahrain	15	0	0	0	0	0	2	82	203	524	102	1,339	1,180	
Bangladesh	0	3	16	228	86	0	534	63	102	4	25	332	0	
Barbados	0	0	0	17	0	0	0	0	0	0	0	0	0	
Belarus	15	0	0	0	0	0	0	0	0	0	1	9	63	
Belgium	16,085	21,902	12,899	26,685	33,671	39,592	52,788	63,680	41,978	41,834	64,484	47,290	59,092	
Belize	0	0	12	0	0	0	0	0	0	0	30	0	0	
Benin	0	0	116	12	10	0	0	0	0	19	2	0	12	
Bermuda	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bhutan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bolivia	0	0	0	0	0	0	0	0	0	6	7	3	0	
Bosnia and Herzegovina	0	0	0	0	0	0	0	0	0	0	0	3	0	
Botswana	15	6	111	0	0	64	26	77	43	2	8	546	70	
Brazil	33	50	18	90	23	0	1,877	299	226	232	319	9	175	
British Indian Ocean Territories	0	0	0	0	0	2	0	0	0	0	0	0	0	
British Virgin Islands	0	43	0	0	0	0	0	0	25	0	0	0	0	
Brunei Darussalam	0	16	5	0	0	0	0	0	2	11	0	0	0	
Bulgaria	666	60	15	152	38	20	66	0	244	382	634	104	1	
Burkina Faso	0	0	8	0	0	0	1	0	27	21	6	5	7	
Burundi	4,778	6,267	10,076	18,113	20,801	20,554	42,719	45,383	55,760	51,333	41,451	46,082	48,722	
Cabo Verde	0	0	0	12	0	0	0	0	0	2	0	0	267	
Cambodia	1	11	31	0	0	2	30	4	0	0	3	0	3	
Cameroon	17	454	142	262	47	20	3	59	1	91	13	325	420	
Canada	943	832	1,765	3,064	2,094	1,896	2,873	1,297	1,144	1,981	4,072	1,596	7,281	
Cayman Islands	0	4	0	0	0	0	217	0	0	0	0	24	0	
Central African Republic	0	2	0	24	7	23	1,164	853	555	14	12	200	349	
Chad	0	21	0	1	252	6	31	1	19	67	1	0	165	
Chile	0	0	83	10	0	6	0	2	12	0	43	165	2	
China	237	756	819	4,741	5,709	6,890	14,407	12,788	17,120	21,988	26,708	29,063	37,983	
Christmas Islands	0	0	10	31	0	0	22	0	0	0	0	0	0	
Cocos (Keeling) Islands	0	0	0	83	0	0	0	0	0	0	0	0	0	
Colombia	201	290	168	238	172	34	27	0	0	58	15	0	67	
Comoros	0	0	0	0	0	0	37	0	0	6	0	0	5	
Congo	8,216	10,153	14,257	12,593	9,876	8,081	42,267	22,008	8,266	0	0	0	0	
Cook Islands	0	0	0	0	0	0	0	0	8	0	0	0	0	
Costa Rica	0	0	0	0	25	0	0	0	13	0	0	13	0	
Côte d'Ivoire	221	190	4	1	0	0	60	18	161	461	7	10	43	
Croatia	0	0	0	0	23	0	0	0	0	1	40	0	0	
Cuba	229	204	96	174	0	0	0	133	10	155	131	0	539	
Cyprus	0	133	555	100	130	329	404	136	132	201	762	627	932	
Czech Republic	2	617	2	215	19	24	22	38	134	264	112	385	483	
Democratic Republic of the Congo	8,832	7,554	12,891	28,913	60,404	44,820	100,046	124,990	156,606	183,992	182,441	240,881	268,175	
Denmark	184	855	504	339	1,160	347	1,347	1,812	7,443	6,503	4,895	2,857	2,845	
Djibouti	0	20	4	10	2	12	12	102	36	856	0	45	402	
Dominica	103	0	19	125	0	0	0	0	0	100	53	0	107	
Dominican Republic	102	227	0	0	0	70	0	0	4	0	134	0	1	
Ecuador	27	0	0	0	0	237	0	0	478	0	38	1,885	2,621	
Egypt	5,278	1,948	2,673	2,533	3,334	4,154	2,800	2,504	2,079	935	5,815	780	168	
El Salvador	0	0	0	2	0	0	0	0	0	0	0	0	0	
Equatorial Guinea	0	0	0	0	0	0	0	0	0	0	135	0	0	
Eritrea	0	1,961	1,439	445	239	430	54	201	223	165	375	232	15	
Estonia	0	0	0	0	0	0	62	6	61	0	196	101	496	
Ethiopia	2,396	218	158	588	222	156	527	252	2,435	2,177	6,174	12,175	4,115	
Falkland Islands (Malvinas)	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fiji	0	0	0	0	0	0	0	0	0	0	0	0	0	
Finland	4	0	25	344	1,006	672	346	1,587	1,391	827	848	175	55	
France	4,065	6,872	5,126	22,763	39,581	38,373	32,709	33,735	22,696	12,370	11,991	20,261	17,394	
French South Antarctic Territories	0	0	0	0	0	58	0	0	0	0	0	0	0	
Gabon	0	0	0	0	13	5	28	46	0	117	25	0	520	
Gambia	50	2	0	0	539	681	1	158	42	31	0	1	34	
Georgia	0	0	28	0	95	0	69	294	2	44	283	24	119	
Germany	13,920	13,399	12,024	17,677	33,768	41,889	65,098	75,008	62,878	73,641	88,089	70,776	83,030	
Ghana	2	20	169	34	102	13	20	12	538	554	64	157	761	
Gibraltar	0	0	0	0	0	0	0	0	0	0	0	0	0	
Greece	676	1,074	2,762	2,092	2,908	2,854	1,896	2,135	3,892	3,714	3,874	3,691	4,518	
Grenada	0	0	19	0	0	0	0	0	0	0	0	0	0	
Guatemala	0	0	0	0	193	2	0	0	0	0	0	7	0	
Guinea	3	0	38	0	26	1	0	5	0	2	186	0	42	
Guinea-Bissau	13	0	0	0	0	0	0	0	2	0	0	91	0	
Guyana	0	0	0	0	0	3	0	0	0	0	0	0	0	
Haiti	0	10	0	0	0	9	0	0	0	113	0	0	30	
Honduras	0	15	55	38	0	0	4	0	0	239	916	528	349	
Hong Kong, China	26,505	13,360	12,300	15,845	13,460	12,449	10,255	16,067	16,189	18,865	32,171	28,603	27,068	
Hungary	702	602	957	426	1,722	94	751	1,857	417	305	917	1,413	945	
Iceland	7	0	129	0	223	278	15	42	0	0	0	0	0	
India	330	158	1,134	1,103	685	1,753	4,270	18,735	19,653	13,905	19,221	14,374	13,867	
Indonesia	131	3	2	0	122	67	1,075	197	485	1,200	127	164	249	
Iran (Islamic Republic of)	0	12	3	1	4	15	0	19	37	49	699	2	76	
Iraq	0	0	0	0	0	2	1	0	0	0	35	14	73	
Ireland	60	3	44	78	4	78	213	1,570	101	879	62	60	4	
Israel	3,082	2,036	5,256	1,210	2,826	10,124	9,408	5,846	6,271	6,889	10,171	7,828	5,752	
Italy	5,043	5,589	5,166	4,533	5,744	14,555	13,285	33,610	30,992	31,389	57,874	46,611	57,166	
Jamaica	0	18	1	11	0	0	74	1	22	2	108	3	8	
Japan	8,032	13,354	10,006	5,975	5,220	3,943	5,310	8,233	6,711	2,363	3,887	5,695	4,709	
Jordan	0	0	0	0	237	479	649	731	751	1,149	1,507	1,748	1,656	
Kazakhstan	0	0	79	0	0	0	3	0	0	129	11	145	0	
Kenya	59,063	61,504	78,432	76,903	72,437	88,002	118,191	164,631	173,974	190,301	226,582	254,061	314,430	
Kiribati	11	0	0	0	0	75	0	0	0	0	0	0	0	
Korea, Democratic People's Republic of	36	31	0	134	0	0	9	149	406	62	375	2,233	1,684	
Korea, Republic of	267	18	839	1,030	535	907	921	1,763	2,193	3,569	6,227	106	2,102	
Kuwait	4	0	76	44	1	5	34	14	2	1	35	205	5,590	
Kyrgyzstan	0	0	0	1	0	0	0	0	0	0	0	0	0	
Lao People's Democratic Republic	0	0	4	0	0	0	4	0	0	6	0	0	0	
Latvia	0	0	0	0	98	0	0	0	0	56	1	50	5	
Lebanon	54	46	170	601	603	1,317	2,337	693	841	790	1,118	1,606	1,777	
Lesotho	16	11	0	0	0	0	0	1	22	0	0	3	0	
Liberia	207	744	0	27	0	1	8	1	35	338	279	196	30	
Libya	0	0	27	20	7	114	0	76	63	45	0	280	50	
Lithuania	0	0	0	0	22	0	0	0	13	0	0	0	0	
Luxembourg	0	1,095	2,146	2,301	229	22	0	700	623	220	122	0	3	
Macao, China	0	0	0	0	0	0	0	0	0	0	0	0	0	
Macedonia, The Former Yugoslav Republic of	0	0	0	0	12	0	3	76	0	13	0	0	43	
Madagascar	0	2	1	2	2	8	12	0	0	242	34	6	31	
Malawi	19	87	551	443	73	74	75	114	341	59	63	607	133	
Malaysia	1,530	463	666	1,422	81	320	640	657	1,429	1,046	1,170	6,369	9,630	
Mali	22	8	19	23	0	11	31	29	11	84	24	34	2,543	
Malta	0	64	0	16	1	43	81	380	272	303	208	356	196	
Marshall Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mauritania	0	0	205	35	105	0	0	0	0	9	1	0	3,108	
Mauritius	93	0	792	1,264	1,036	2,425	582	149	447	1,144	2,745	959	385	
Mexico	0	1	1	1	5	6	5	2	2	42	52	413	61	
Micronesia (Federated States of)	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mongolia	0	0	48	0	53	0	0	0	0	0	0	0	0	
Montserrat	0	0	0	0	0	0	0	0	0	0	0	0	0	
Morocco	0	122	590	2,473	1,627	3,003	486	705	760	587	1,829	942	6,409	
Mozambique	74	122	63	13	407	60	380	22	115	2,455	703	615	281	
Myanmar	0	0	0	0	0	0	0	0	0	0	1	14	3	
Namibia	12	8	0	7	3	6	12	17	1	14	9	59	158	
Nauru	0	0	0	0	0	0	0	4	0	0	0	0	0	
Nepal	0	0	0	0	15	0	30	34	10	1	0	5	103	
Netherland Antilles	179	0	3	6	315	250	148	2,105	104	0	0	0	0	
Netherlands	52,803	56,000	48,813	57,860	85,413	61,889	66,568	81,797	78,993	89,865	97,367	95,480	103,735	
New Caledonia	0	0	0	0	0	0	0	0	0	0	0	0	0	
New Zealand	20	7	119	79	324	2	35	219	35	190	227	226	211	
Nicaragua	0	59	1	0	73	30	0	0	43	0	5	0	0	
Niger	0	5	0	0	0	2	2	574	2	134	2	39	17	
Nigeria	503	139	112	252	156	70	75	367	427	460	409	1,083	2,669	
Niue	0	0	0	0	0	0	0	0	0	0	0	0	0	
Norfolk Island	0	0	0	0	0	0	0	0	0	0	0	0	21	
Northern Mariana Islands	0	0	10	0	0	0	0	0	0	0	0	0	0	
Norway	589	1,082	200	216	308	614	715	1,097	542	502	447	617	368	
Oman	482	81	99	120	34	78	155	119	141	494	185	237	763	
Pakistan	2,328	456	216	226	867	1,333	419	392	1,762	66	506	326	1,799	
Panama	0	0	0	1	118	394	320	0	0	1,472	740	0	0	
Papua New Guinea	0	0	6	0	0	41	0	0	0	0	79	0	0	
Paraguay	0	0	0	0	0	0	0	0	0	0	0	44	0	
Peru	0	0	0	0	0	1	122	3	92	15	0	0	0	
Philippines	4	5	0	0	395	379	42	116	8	40	75	71	201	
Pitcairn	0	0	0	0	0	0	0	0	0	0	0	0	0	
