List of importing markets for a product exported by Uganda (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	363,216	410,566	484,187	558,548	709,665	649,310	972,488	1,147,226	1,039,147	1,170,067	1,404,174	1,303,484	1,225,935	
Albania	2	0	40	8	0	39	362	186	156	168	148	215	309	
Algeria	414	1,389	4,155	1,658	2,275	675	3,947	7,047	9,169	976	4,152	9,172	3,553	
Andorra	140	29	23	23										
Argentina	588	189	0	0	0	0	0	0	0	0	30	0	0	
Armenia	0	0	0	0	0	4	37	347	99	1,925	4,821	1,592	1,926	
Australia	6,068	7,778	8,046	4,607	4,141	3,844	6,689	3,982	7,309	5,072	4,022	5,358	2,769	
Austria	1,127	717	1,617	1,495	979	1,313	1,009	1,493	280	60	130	565	255	
Bahrain	0	0	0	0	0	0	0	33	0	115	6,062			
Bangladesh	547	282	907	1,478	4,077	1,062	5,827							
Barbados	0	0	0	1	7	3	1	95	2	0	5	0	3	
Belarus	341	0	0	2	5	10	9	118	633	878	3,235	2,936	5,927	
Belgium	58,281	61,109	44,030	67,873	85,399	74,930	91,169	133,429	99,933	80,158	89,749	68,572	92,158	
Belize	0	0	0	1	13	0	0	0	0	0	0	0	0	
Benin	0	6	53	293	0	0	0	0	0	9	0	15	45	
Bermuda												7	4	
Bolivia	0	0	0	0	0	0	0	0	2	2	11	1		
Bosnia and Herzegovina			12	267	819	901	1,037	1,452	956	642	1,009	1,318	1,039	
Botswana	86	35	387	9	22	34	42	69	938	21	5	527	6	
Brazil	192	103	32	0	0	632	686	352	90	329	370	273	67	
Brunei Darussalam	15	2	0	0		0				0	1	0	0	
Bulgaria	188	185	206	150	487	516	1,233	2,129	815	2,368	686	2,020	2,498	
Burkina Faso	0	0	27	0	0		0	0	6	24	5	228		
Burundi	803	1,240	9,049	9,906	10,166	14,397	45,421	30,257	29,652	27,596	53,525	45,078	44,324	
