List of importing markets for a product exported by Ukraine Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	16,264,719	17,927,416	23,066,846	32,666,132	34,227,974	38,367,609	49,294,390	66,952,306	39,695,648	51,430,286	68,393,034	68,694,495	63,320,469	
Afghanistan	4,125	5,703	7,703	10,639	7,229	5,062	30,232	40,076	29,504	14,009	14,097	20,989	16,128	
Albania	12,252	16,223	34,958	52,207	54,167	90,165	103,996	80,405	76,345	48,329	58,464	54,233	31,768	
Algeria	151,935	200,833	351,231	561,532	617,219	466,671	440,049	344,969	266,764	159,344	244,884	291,018	102,958	
Andorra	54	15	45	8	96	108	113	62	0	0	17	45	23	
Angola	7,982	3,130	3,173	2,265	5,163	10,245	7,527	17,352	3,150	5,571	12,666	16,648	24,454	
Anguilla	324	227	5,714	15	869	0	0	35	0	1,691	15	9	28	
Antigua and Barbuda	2	16	0	36	1	0	0	26	5	81	201	38	23	
Area Nes	2,835	945	0	357,897	265	252,789	59,558	70,668	52,934	72,477	110,642	109,877	67,819	
Argentina	8,153	2,864	6,556	21,829	15,853	42,835	86,134	36,728	13,738	39,790	20,918	11,750	11,025	
Armenia	21,979	33,385	49,665	70,464	97,331	137,240	215,147	263,584	165,628	201,336	227,556	179,221	181,010	
Aruba	0	0	1	0	0	20	11	55	209	1,203	1,556	2,347	1,855	
Australia	3,106	2,018	2,385	5,301	9,584	8,641	12,793	56,318	17,458	23,568	23,449	37,695	32,659	
Austria	173,879	236,157	257,916	247,733	317,332	329,096	427,716	593,432	328,664	517,177	588,683	520,821	554,608	
Azerbaijan	45,599	102,593	142,597	214,157	290,462	421,975	631,061	910,481	545,989	610,819	708,321	766,643	869,049	
Bahamas	7,291	1,827	14,923	71	943	87	2,057	3,404	9	63	23	5,096	74	
Bahrain	9	1,045	1,227	224	5,857	2,117	11,789	2,401	141	2,319	3,295	1,355	7,579	
Bangladesh	8,676	10,497	11,624	21,128	18,379	74,068	34,787	54,502	332,205	112,710	51,516	46,382	143,488	
Barbados	0	343	196	521	11,765	1,930	2,438	1,161	38	79	263	35	6	
Belarus	243,868	260,250	340,419	550,321	891,103	1,222,689	1,561,454	2,105,421	1,258,897	1,899,198	1,922,320	2,251,119	1,983,697	
Belgium	53,730	93,452	137,933	238,634	197,624	215,229	189,951	364,655	279,628	356,908	399,468	467,609	401,870	
Belize	415	1,875	275	408	14,989	956	2,669	5,725	4,530	5,126	7,524	225,175	174,719	
Benin	527	8,467	922	1,724	6,262	9,026	27,740	11,794	14,082	24,993	40,630	72,130	28,892	
Bermuda	0	0	807	0	0	0	16	74	4	920	26	62	1	
Bhutan	0	0	0	0	0	0	0	0	0	30	0	0	35	
Bolivia	186	118	40	14	1,644	1,121	178	87	4	69	58	627	1,433	
Bosnia and Herzegovina	10,527	22,431	12,402	6,754	15,048	81,634	78,121	101,167	9,572	14,867	45,438	31,441	15,024	
Botswana	0	16	0	0	0	0	41	9	31	4,823	44	600	74	
Brazil	35,933	47,787	177,944	189,256	110,023	138,404	366,796	468,838	115,212	359,896	472,609	348,358	198,779	
British Indian Ocean Territories	0	0	0	0	0	50	5	7	6	3	0	0	17	
British Virgin Islands	135,486	71,420	28,988	31,839	261,022	480,921	610,813	861,998	378,527	379,148	152,362	364,775	384,698	
Brunei Darussalam	0	0	0	0	0	0	1	134	414	83	114	0	7	
Bulgaria	297,428	272,586	318,114	497,503	543,014	595,725	553,973	1,105,913	395,529	450,929	755,414	568,755	591,262	
Burkina Faso	1,004	1,438	7,321	8,729	11,955	11,993	16,884	9,123	5,306	13,289	17,007	16,646	10,248	
Burundi	0	1,247	538	138	831	260	191	107	497	0	0	2,212	2,782	
Cabo Verde	56	122	0	0	746	0	0	111	0	13	2	0	0	
Cambodia	406	374	22	130	850	74	962	257	31	222	623	98	272	
Cameroon	9,163	6,533	8,555	11,624	16,476	21,248	25,824	34,496	17,640	18,741	22,162	19,651	14,659	
Canada	28,431	41,075	36,300	82,548	90,119	122,452	95,431	144,082	61,632	73,269	122,597	107,243	57,441	
Cayman Islands	0	0	9	0	1	0	0	139	1	127	66	55	3	
Central African Republic	0	242	0	62	49	9	0	619	459	324	930	1,555	644	
Chad	790	5,316	7,003	5,952	4,479	10,680	12,305	77,532	44,022	12,520	5,056	7,278	31,007	
Chile	13,187	15,800	20,039	46,839	38,241	26,761	35,471	94,156	10,333	1,771	27,541	2,280	1,225	
China	484,357	667,074	1,002,677	821,150	711,088	544,664	431,655	547,520	1,434,405	1,316,550	2,180,034	1,777,169	2,726,653	
Christmas Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cocos (Keeling) Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Colombia	10,188	9,017	21,506	56,263	31,401	38,993	44,600	52,426	34,406	16,105	73,217	54,581	40,310	
Comoros	0	0	0	57	253	64	17	216	94	31	71	593	12	
Congo	876	1,870	1,992	2,209	2,324	5,511	6,942	1,507	7,201	3,721	6,926	5,333	8,333	
Cook Islands	0	0	0	0	0	0	0	3	1	0	1	3	30	
Costa Rica	4,832	11,735	9,528	29,758	9,524	15,380	37,787	12,923	184	348	25,017	4,138	4,514	
Côte d'Ivoire	8,721	13,062	11,062	9,508	12,127	29,006	27,263	27,358	28,228	44,578	74,583	65,800	78,066	
Croatia	29,785	7,843	20,464	51,732	59,948	78,439	104,866	136,158	14,952	33,378	51,502	40,217	43,253	
Cuba	5,064	8,357	9,344	7,575	21,568	19,152	19,632	47,591	13,623	12,912	24,775	29,230	137,795	
Cyprus	99,267	200,857	272,646	168,458	217,024	251,763	174,459	451,414	130,792	175,382	174,414	168,047	161,555	
Czech Republic	194,299	172,185	216,444	298,981	376,895	341,619	428,954	670,783	340,685	626,246	842,431	707,040	823,749	
Democratic Republic of the Congo	39	112	0	343	132	3,410	2,256	2,300	2,173	80,068	562	17,704	19,629	
Denmark	29,718	36,607	57,540	115,131	106,659	162,969	197,826	195,213	122,364	124,503	163,781	152,737	163,887	
Djibouti	37	270	848	154	10,688	18,110	1,604	19,047	41,390	10,239	59,862	102,718	39,604	
Dominica	0	0	178	296	19	20	80	271	15	417	37	16	0	
Dominican Republic	20,657	32,970	11,725	23,765	6,869	54,688	684	116,744	7,004	9,680	8,231	17,578	9,942	
Ecuador	25,785	18,866	18,212	30,530	34,343	38,525	19,460	36,403	19,221	11,810	36,897	38,563	16,201	
Egypt	195,706	316,088	291,562	362,228	798,812	748,386	880,008	1,560,021	1,012,553	1,327,994	1,335,647	2,898,250	2,720,561	
El Salvador	11,710	18,720	9,655	10,213	2,285	5,979	9,678	22,469	2,348	211	1,283	5,503	5,564	
Equatorial Guinea	491	706	22	930	401	702	14,884	11,285	24,107	3,981	9,346	6,970	13,705	
Eritrea	671	10,635	4,169	5,314	8,001	1,616	0	2,698	0	0	0	0	0	
