List of importing markets for a product exported by Ukraine (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	15,622,098	16,936,598	21,272,789	31,131,344	36,002,168	39,954,070	51,464,588	72,733,744	43,453,827	54,984,352	71,862,067	70,636,860	61,628,829	
Afghanistan								8,478	2,586	4,125	4,279	0		
Albania	14,576	18,173	46,658	57,311	74,869	117,220	110,001	78,418	73,818	42,863	65,789	53,060	43,051	
Algeria	110,711	191,529	250,570	438,524	543,590	431,237	474,122	374,686	291,242	150,452	251,254	331,858	113,200	
Andorra	22	11	217	48										
Anguilla	1	0	0											
Antigua and Barbuda					6		16		4	4	6	1	5	
Argentina	10,624	7,077	7,358	18,456	31,103	28,950	118,622	93,452	20,032	64,854	34,253	20,608	18,848	
Armenia	21,994	45,511	34,263	50,119	67,196	164,739	251,463	309,990	202,619	229,499	232,137	215,851	226,348	
Aruba					23				0	0	0	0		
Australia	2,503	2,883	3,269	9,104	16,568	21,589	21,905	111,972	27,927	28,985	37,168	53,626	44,031	
Austria	238,292	238,088	307,313	418,017	525,565	526,841	706,820	763,719	205,417	251,541	275,731	226,154	237,717	
Azerbaijan	39,330	79,978	118,828	170,353	226,251	317,512	465,558	567,229	511,655	465,560	557,770	539,090		
Bahrain	1,495	1,689	1,774	1,924	7,776	2,072	18,685	6,416	2,071	5,516	4,124			
Bangladesh	1,703	1,234	23,751	40,335	77,165	129,818	97,397							
Barbados	335	53	448	162	586	367	943	473	146	233	89	13	21	
Belarus	277,429	290,659	362,066	544,940	893,910	1,224,687	1,534,346	2,115,124	1,290,042	1,879,303	2,028,784	2,305,162	2,089,724	
Belgium	115,081	147,531	154,534	291,398	248,647	253,698	230,517	426,217	344,768	374,317	545,479	463,918	495,441	
Belize	23	35	341	7	6	25	2	2	7	15	51	157	14	
Benin	1,856	5,383	3,301	106	0	779	4,203	35,429	1,241	3,500	2,350	13,925	6,498	
Bermuda												198	84	
Bhutan					0	0	0	116	0	0	0			
Bolivia	478	660	6,953	63	2,598	2,529	651	619	477	249	637	903		
Bosnia and Herzegovina			24,003	40,740	55,472	114,842	134,917	171,998	43,474	15,173	47,680	40,605	37,517	
Botswana	0	224	129	179	4	1	37	12	141	5,008	10	47	0	
Brazil	58,660	49,467	162,782	205,953	143,329	151,099	378,089	710,387	156,229	343,890	665,730	388,246	308,041	
Brunei Darussalam	5	11	10	9		18				436	23	4	229	
Bulgaria	323,094	248,266	429,604	586,353	693,325	729,267	690,494	1,237,906	1,118,929	1,059,630	1,305,942	824,089	761,303	
Burkina Faso	0	0	0	0	0		28,911	30,512	12,942	25,443	24,708	68,628		
Burundi	0	145	478	270	750	453	406	14	1,015	11	345	6,247	10,188	
Cabo Verde	205	0	0	91	256	208	407		334	1	917	0	0	
Cambodia	0	0	0	16	73	111	24	162	932	81	487	797		
Cameroon	10,241	10,888	14,141	22,047	24,653	26,821	0	36,260	0	0	0	0		
Canada	40,943	54,242	55,757	123,805	244,584	171,868	110,115	185,938	83,253	90,270	137,785	164,770	108,936	
Central African Republic	0	26	0			0	0	136	1,248	437	4	1,209	861	
Chile	24,296	49,088	37,115	61,364	83,422	73,033	30,723	97,079	36,044	2,247	30,138	4,805	2,393	
China	610,437	706,315	1,246,065	1,044,609	784,801	437,169	665,634	1,194,017	2,172,540	2,163,583	3,264,665	3,031,234	3,264,458	
Colombia	21,222	14,869	26,343	54,315	56,918	49,656	55,159	85,505	41,315	44,668	72,241	92,917	64,197	
Congo							735	1,752	1,875	1,564	9,818	5,229	9,506	
Costa Rica	6,358	12,483	9,081	14,153	17,454	15,636	26,231	11,653	1,424	812	30,875	5,129	5,905	
Côte d'Ivoire	0	0	0	12,864	11,006	23,645	32,163	45,378	28,416	44,147	40,087	47,508		
Croatia	27,149	18,678	34,096	67,445	79,885	86,400	98,031	138,936	34,453	45,835	69,915	40,939	105,175	
Cuba	11,396	13,333	18,234	8,516	27,836	21,851								
Cyprus	53,358	59,034	67,032	89,538	58,292	74,960	50,466	138,078	40,885	67,982	52,074	33,086	29,963	
Czech Republic	256,859	299,213	348,218	562,526	690,430	655,191	700,869	1,142,094	594,706	1,071,830	1,410,404	1,049,886	1,091,877	
Denmark	54,981	40,309	58,787	139,325	137,925	168,596	209,143	221,168	157,799	139,632	170,243	147,829	181,678	
Djibouti									13,771					
Dominica	27	18	1	1	12	78	9	1	8	19	0	8		
Dominican Republic	4,284	1,361	1,452	4,659	2,354	29,995	25	100,892	10,985	743	7,591	10,830	1,163	
Ecuador	34,075	25,993	19,287	44,505	52,969	47,746	37,320	55,547	40,114	15,781	34,287	51,796	24,000	
Egypt	211,315	241,663	218,147	293,732	689,228	499,188	711,095	2,009,834	1,338,503	1,624,812	1,946,033	3,861,363	3,152,484	
El Salvador	5,807	16,883	23,556	31,680	6,167	5,443	16,317	27,848	8,087	603	1,359	6,952	6,508	
Eritrea			5,174											
Estonia	64,680	76,679	338,668	131,184	122,059	127,459	199,188	204,811	93,092	132,748	165,006	271,819	136,116	
Ethiopia	10,431	12,472	28,143	31,544	69,102	56,299	71,996	139,164	96,712	84,963	140,793	333,280		
Faroe Islands	263	50	95	82	190	734	1,491	3,179	946					
Fiji		12	8	22	93	29	19	9	21	126	14	55		
Finland	16,885	24,945	60,059	36,681	31,733	47,905	75,903	95,154	45,340	36,132	60,807	29,906	30,092	
France	164,139	163,849	206,886	255,590	306,468	413,211	580,570	768,316	619,236	589,939	788,735	693,994	829,760	
French Polynesia	7	19	37	94	264	84	143	161	282	334	350	162	106	
Gabon	31	0	466	1,182	1,086	2,599	2,458	5,195	495					
Gambia	0	0	0	0	0	0	0	0	0	56	442			
Georgia	50,506	58,813	79,888	131,477	200,501	301,891	469,733	654,840	415,690	557,614	705,581	597,100	602,361	
Germany	750,436	703,541	840,582	1,209,683	1,314,439	1,629,146	2,050,580	2,444,557	1,688,348	2,117,298	2,649,804	2,023,257	2,061,648	
