List of importing markets for a product exported by United Kingdom Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	272,578,258	285,996,254	312,059,900	355,027,954	392,744,019	458,598,557	454,005,490	482,020,962	359,615,540	422,014,118	517,288,693	481,225,754	548,967,453	
Afghanistan	5,488	4,478	16,130	26,003	26,266	41,210	83,011	159,428	208,270	302,466	554,274	164,811	103,659	
Africa not elsewhere specified	0	0	0	0	0	0	0	0	0	0	0	1,108	75,017	
Albania	31,293	28,365	16,150	20,999	26,503	31,475	36,803	27,267	27,679	31,607	30,191	33,673	30,161	
Algeria	170,591	198,129	310,827	306,979	263,900	307,312	343,419	497,974	512,673	534,325	920,513	575,425	828,939	
Andorra	24,745	11,035	15,342	16,782	18,864	13,514	13,284	59,780	27,380	9,694	17,752	14,394	13,816	
Angola	133,538	101,431	169,494	219,374	288,709	392,849	548,083	534,847	522,325	826,899	602,520	636,489	857,460	
Anguilla	1,691	2,887	1,136	5,256	2,168	2,268	3,954	1,774	898	871	962	796	2,509	
Antigua and Barbuda	24,885	25,723	28,923	20,914	22,623	56,610	51,583	22,821	37,629	16,582	22,095	13,767	21,425	
Area Nes	688,808	725,252	519,399	424,888	461,710	515,706	603,654	1,142,147	1,216,960	1,409,673	2,562,970	3,579,451	3,999,434	
Argentina	383,478	192,056	222,174	586,532	306,925	396,990	454,332	550,678	368,259	509,497	614,122	562,049	537,066	
Armenia	11,056	9,035	9,122	10,268	9,274	20,463	23,580	18,082	13,322	18,564	31,693	24,561	30,421	
Aruba	45,905	41,551	22,982	20,187	41,635	57,294	48,694	42,480	58,256	46,610	60,335	112,996	64,990	
Australia	3,343,451	3,193,856	3,761,205	4,418,936	4,955,626	5,187,245	6,822,024	7,936,373	4,756,151	5,147,792	6,919,094	7,017,649	6,337,133	
Austria	1,743,843	1,934,990	2,093,083	2,018,563	2,426,271	3,151,550	2,826,539	2,707,403	1,962,572	2,245,935	2,669,195	2,336,836	2,520,690	
Azerbaijan	53,070	84,465	269,100	483,587	386,956	874,708	481,236	564,545	425,011	713,467	752,269	806,358	1,448,315	
Bahamas	21,838	54,470	45,035	71,147	66,910	113,307	37,037	81,118	29,448	50,827	27,662	60,945	24,875	
Bahrain	224,514	198,879	254,003	289,140	328,743	484,484	434,629	517,111	378,191	354,106	378,927	456,253	423,381	
Bangladesh	97,846	99,384	91,565	125,074	145,295	139,611	121,628	119,338	106,649	176,728	217,655	164,499	220,251	
Barbados	80,253	59,517	85,583	77,429	100,966	86,315	98,717	70,874	63,939	62,554	67,867	60,363	66,823	
