List of importing markets for a product exported by United States of America Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	731,005,998	693,222,414	723,608,648	817,905,572	904,339,487	1,037,029,245	1,162,538,150	1,299,898,877	1,056,712,100	1,277,109,200	1,479,730,200	1,545,565,186	1,578,001,362	
Afghanistan	5,824	80,011	60,725	157,700	261,271	417,631	488,783	481,648	1,511,460	2,152,448	2,918,415	1,493,018	1,410,350	
Albania	15,321	15,021	9,700	20,094	18,484	27,631	33,965	40,031	47,529	46,645	47,631	54,247	74,397	
Algeria	1,047,049	984,433	487,124	972,124	1,160,934	1,101,824	1,652,509	1,243,239	1,108,769	1,194,364	1,590,254	1,362,315	1,824,400	
Andorra	8,221	11,007	8,191	11,625	10,549	8,945	14,300	15,931	9,426	8,099	5,172	2,238	5,548	
Angola	275,970	372,460	491,681	594,193	927,880	1,550,236	1,280,157	2,116,987	1,422,873	1,291,603	1,500,924	1,489,467	1,450,129	
Anguilla	20,148	19,884	21,310	20,837	32,294	42,924	92,637	81,090	52,934	35,584	31,199	27,345	31,033	
Antigua and Barbuda	95,987	81,459	127,294	125,270	189,865	194,196	240,396	182,558	156,977	158,386	154,820	232,288	145,026	
Area Nes	262,092	264,051	185,711	223,205	221,684	124,385	428,171	182,997	233,739	375,898	225,388	0	0	
Argentina	3,928,381	1,590,791	2,435,063	3,386,017	4,099,831	4,772,824	5,854,449	7,537,863	5,559,717	7,404,574	9,878,315	10,336,372	10,200,770	
Armenia	49,873	111,847	102,769	90,571	65,450	80,383	110,573	151,465	77,097	113,357	94,378	66,146	92,962	
Aruba	278,637	464,700	354,949	374,278	546,857	511,189	518,347	680,077	446,132	537,303	713,819	716,466	982,354	
Australia	10,944,906	13,083,524	13,092,312	14,271,031	15,771,050	17,782,205	19,206,823	22,428,618	19,604,111	21,806,773	27,512,600	31,192,109	26,035,783	
Austria	2,625,522	2,423,598	1,792,272	1,957,727	2,596,178	2,984,902	3,161,012	2,635,965	2,466,033	2,334,940	2,774,876	3,360,438	3,528,259	
Azerbaijan	64,543	69,653	121,196	158,755	132,349	231,079	177,623	239,101	221,989	253,274	328,355	514,116	378,363	
Bahamas	1,021,678	975,178	1,083,901	1,181,994	1,768,312	2,287,905	2,473,022	2,760,447	2,455,313	3,223,670	3,418,097	3,596,743	3,725,410	
Bahrain	432,981	419,199	508,760	300,730	350,633	490,747	591,357	829,521	668,597	1,249,578	1,213,175	1,209,260	1,017,945	
Bangladesh	307,941	268,887	226,466	289,397	318,908	332,555	456,421	468,066	434,896	577,179	1,145,590	501,929	711,944	
Barbados	286,381	268,566	301,750	347,571	392,808	443,141	456,392	498,053	404,689	397,863	438,717	458,203	452,213	
Belarus	34,916	19,056	84,085	32,511	34,918	74,490	101,564	134,466	137,256	133,262	156,264	103,178	95,018	
Belgium	13,522,654	13,342,302	15,216,542	16,875,198	18,602,002	21,345,547	25,291,387	29,026,394	21,629,705	25,551,083	29,876,946	29,394,013	31,720,276	
Belize	172,728	137,335	199,388	151,675	216,914	238,815	234,327	353,016	252,783	289,673	379,433	265,556	241,020	
Benin	32,265	35,172	30,244	44,907	70,820	115,537	289,411	846,233	398,337	465,595	620,597	575,048	607,424	
Bermuda	371,131	415,167	401,205	471,874	489,141	632,588	659,910	821,708	807,388	636,785	590,337	622,469	534,604	
Bhutan	759	955	1,008	1,923	3,052	3,216	4,050	3,960	2,742	3,508	3,831	2,489	2,351	
Bolivia	217,121	192,130	181,750	193,617	218,238	215,323	277,722	389,103	431,679	507,471	666,976	731,588	932,364	
Bosnia and Herzegovina	42,990	31,898	21,160	27,753	17,556	51,554	20,153	34,114	21,312	26,371	21,297	15,874	38,449	
Botswana	43,212	31,701	25,858	54,008	67,330	26,891	53,858	62,178	93,255	47,211	43,776	47,984	82,117	
Brazil	15,928,545	12,408,779	11,217,894	13,862,967	15,345,349	19,227,472	24,628,261	32,909,858	26,175,324	35,357,187	42,943,394	43,717,140	44,115,969	
British Indian Ocean Territories	459	449	3,464	3,751	806	1,302	979	1,345	1,775	1,388	2,212	2,462	762	
British Virgin Islands	75,038	66,987	70,518	97,693	122,735	218,722	176,240	309,888	233,006	144,768	151,363	171,601	312,764	
Brunei Darussalam	104,018	46,326	35,715	49,350	49,724	47,969	139,630	111,515	100,203	124,240	184,324	157,117	558,448	
Bulgaria	109,896	101,394	155,810	171,733	268,028	292,961	306,155	509,434	224,726	169,887	257,515	248,654	312,556	
Burkina Faso	4,432	18,780	10,954	21,983	24,928	18,104	33,140	24,493	26,004	46,533	33,519	47,232	77,488	
Burundi	5,299	1,714	2,966	17,364	7,499	6,523	6,930	7,278	8,697	14,386	32,789	20,001	16,736	
Cabo Verde	7,702	9,644	9,119	50,969	9,872	13,619	5,572	12,247	6,387	9,976	11,351	7,765	9,134	
Cambodia	29,622	29,241	57,913	58,811	69,480	74,498	138,841	154,134	127,224	153,416	185,817	226,217	241,042	
Cameroon	184,203	155,808	90,756	99,559	117,057	120,066	132,920	125,049	153,642	132,360	220,831	249,154	331,404	
Canada	163,721,459	160,794,797	169,451,591	189,100,176	211,417,118	230,244,127	248,408,654	260,890,167	204,720,827	248,186,864	280,710,218	291,674,880	300,175,625	
Cayman Islands	260,294	233,374	309,343	399,499	677,545	631,780	640,186	745,753	643,672	581,592	616,135	673,800	681,729	
Central African Republic	3,768	6,371	7,422	30,012	14,717	25,089	19,748	23,303	31,485	10,340	12,407	8,523	4,103	
Chad	137,043	127,340	64,374	40,422	53,752	60,254	71,107	62,515	62,699	88,175	35,247	36,076	40,880	
Chile	3,130,882	2,611,900	2,719,119	3,624,747	5,197,692	6,789,923	8,310,804	12,093,493	9,365,333	10,871,458	15,873,394	18,885,771	17,584,660	
China	19,234,430	22,052,398	28,416,649	34,720,922	41,835,199	55,224,097	65,237,883	71,456,412	69,575,613	91,878,160	103,878,414	110,590,058	122,016,245	
Christmas Islands	1,665	1,184	1,035	4,487	1,570	1,512	2,544	12,994	926	1,750	1,483	4,373	667	
Cocos (Keeling) Islands	2,929	966	576	5,627	1,048	758	1,231	979	1,441	738	957	1,014	22,169	
Colombia	3,605,590	3,588,760	3,754,701	4,504,443	5,414,943	6,708,245	8,559,637	11,438,774	9,457,772	12,043,951	14,314,595	16,394,565	18,606,321	
Comoros	1,372	144	568	745	295	109	367	424	1,931	1,259	1,095	954	3,536	
Congo	90,269	52,371	78,808	64,833	103,776	138,005	140,024	184,601	277,074	254,538	226,829	236,957	225,234	
Cook Islands	712	796	2,102	935	1,366	3,028	2,394	2,791	1,964	3,859	4,606	5,504	4,869	
Costa Rica	2,496,242	3,131,599	3,413,818	3,303,722	3,595,417	4,132,398	4,580,637	5,681,820	4,704,373	5,185,476	6,118,055	7,198,140	7,230,213	
Côte d'Ivoire	96,885	76,161	102,797	117,921	123,861	147,512	161,608	254,106	206,242	162,625	130,299	188,481	168,449	
Croatia	109,728	78,296	196,731	130,142	158,593	146,582	247,010	466,792	203,290	311,713	511,259	311,926	308,435	
Cuba	6,859	144,396	260,814	400,468	361,478	347,775	447,065	717,879	533,375	370,371	352,018	465,394	358,217	
Cyprus	268,003	193,359	326,865	96,240	83,600	240,179	169,019	217,401	160,770	134,343	97,140	165,614	143,188	
Czech Republic	706,598	654,224	672,175	822,027	1,051,429	1,123,105	1,262,373	1,378,320	969,740	1,414,424	1,680,247	1,828,867	1,944,018	
Democratic Republic of the Congo	18,675	28,127	30,607	66,861	64,449	70,719	112,907	130,260	79,856	93,418	166,265	198,991	169,392	
Denmark	1,610,801	1,496,173	1,547,598	2,146,912	1,913,307	2,268,316	2,927,239	2,712,144	2,058,490	2,125,333	2,244,715	2,217,602	2,231,384	
Djibouti	18,573	56,024	34,308	43,254	47,867	47,629	58,934	140,839	196,692	124,404	132,835	122,855	169,647	
Dominica	30,739	45,088	34,340	35,890	61,489	68,024	83,794	105,438	76,661	72,828	73,627	78,386	77,680	
Dominican Republic	4,435,715	4,261,556	4,213,302	4,342,868	4,708,485	5,347,802	6,090,759	6,594,330	5,269,883	6,554,522	7,346,195	7,097,052	7,196,119	
Ecuador	1,420,177	1,596,759	1,438,829	1,665,883	1,979,014	2,706,857	2,926,270	3,442,246	3,923,963	5,446,947	6,039,742	6,564,006	7,313,316	
Egypt	3,777,989	2,866,155	2,659,373	3,104,524	3,168,920	4,103,782	5,347,083	6,030,833	5,257,586	6,836,726	6,182,963	5,485,089	5,218,262	
El Salvador	1,771,115	1,662,834	1,822,290	1,866,498	1,846,195	2,155,346	2,309,427	2,463,200	2,018,499	2,436,136	3,356,997	3,065,043	3,155,603	
Equatorial Guinea	80,366	108,710	336,336	215,418	249,145	551,498	236,400	184,515	305,860	271,750	286,438	229,761	755,670	
Eritrea	21,728	28,787	87,111	54,006	31,059	8,848	6,113	14,872	6,735	2,385	4,251	5,855	11,108	
Estonia	57,797	81,503	120,572	133,482	145,487	221,472	242,273	225,570	183,223	187,953	341,048	235,549	293,444	
Ethiopia	61,243	60,506	408,977	459,091	514,894	137,268	167,635	301,581	275,975	764,585	689,975	1,287,418	678,088	
Falkland Islands (Malvinas)	375	425	988	429	9,049	1,638	973	806	2,356	2,718	3,957	4,347	1,241	
Faroe Islands	19,944	4,668	13,382	9,281	2,498	3,969	2,800	14,340	9,870	2,130	2,967	1,627	2,454	
Fiji	19,479	16,901	19,600	25,394	28,159	32,545	29,947	55,020	31,172	43,968	42,619	55,560	66,929	
Finland	1,553,651	1,536,674	1,713,496	2,066,458	2,247,931	2,648,141	3,133,057	3,761,543	1,665,564	2,181,169	3,159,016	2,554,574	2,356,543	
France	20,124,697	19,347,061	17,340,102	21,555,882	22,538,004	24,385,839	27,819,120	29,948,925	27,043,697	27,771,043	28,845,746	31,953,995	34,090,599	
French Polynesia	83,253	78,891	91,421	93,010	111,737	108,265	124,354	130,417	113,040	121,972	126,409	124,903	126,145	
French South Antarctic Territories	597	723	336	3,309	274	130	392	4,251	959	589	1,428	1,236	1,750	
Gabon	74,296	65,515	62,974	92,991	98,436	135,290	477,656	283,889	170,823	242,938	204,022	318,846	236,788	
Gambia	8,365	9,553	26,651	23,058	30,471	21,230	20,001	28,878	33,651	29,278	29,386	27,410	35,400	
Georgia	106,931	98,827	131,447	226,312	211,524	265,664	364,250	586,464	363,808	300,524	538,732	542,482	599,162	
Germany	30,113,157	26,627,666	28,845,854	31,376,590	34,141,154	41,313,147	49,611,212	54,672,137	43,220,925	48,040,815	48,779,200	48,354,852	46,944,882	
Ghana	199,843	192,584	209,366	306,474	337,504	289,728	415,902	608,657	634,258	982,661	1,192,524	1,309,254	1,067,477	
Gibraltar	10,441	25,742	14,036	137,840	163,258	301,195	593,946	2,640,696	1,559,883	1,845,491	3,335,269	5,278,403	3,981,286	
Greece	1,295,804	1,152,737	1,190,993	2,063,120	1,190,273	1,554,131	2,110,968	1,931,753	2,475,730	1,106,772	1,083,440	801,047	736,955	
Greenland	4,747	4,010	2,998	3,600	5,061	2,972	4,419	34,892	7,073	8,578	7,313	15,852	20,045	
Grenada	59,797	56,518	68,387	69,910	82,389	75,594	83,264	84,437	59,092	71,301	81,800	71,501	95,316	
Guatemala	1,874,554	2,039,868	2,273,183	2,548,252	2,812,980	3,518,342	4,075,942	4,721,009	3,900,714	4,449,125	6,205,289	5,913,343	5,522,483	
Guinea	78,283	62,937	35,788	58,515	125,044	64,742	73,540	101,803	94,859	85,218	255,454	160,335	79,530	
Guinea-Bissau	870	2,559	1,236	1,229	2,100	5,709	6,615	2,077	1,555	4,344	11,848	23,352	6,428	
Guyana	141,099	128,310	117,092	135,620	175,335	179,418	187,892	288,545	260,705	290,984	363,470	359,962	317,791	
Haiti	550,317	582,554	639,622	663,001	688,053	809,406	710,714	944,538	791,683	1,217,555	1,061,565	1,059,119	1,233,352	
Honduras	2,436,975	2,564,535	2,844,893	3,076,512	3,243,920	3,693,276	4,462,039	4,845,601	3,384,032	4,608,380	6,139,346	5,733,310	5,277,795	
Hong Kong, China	14,069,250	12,608,963	13,539,653	15,808,407	16,321,856	17,774,301	20,118,419	21,631,617	21,117,126	26,565,429	36,489,191	37,445,660	42,431,219	
Hungary	686,601	687,955	933,772	1,142,051	1,021,517	1,188,221	1,291,669	1,431,172	1,231,685	1,290,239	1,473,164	1,564,472	1,733,228	
Iceland	225,686	218,974	242,233	308,358	509,923	365,834	629,629	469,548	349,536	324,873	628,216	370,891	514,570	
India	3,764,199	4,097,912	4,985,759	6,095,001	7,958,005	10,091,104	17,592,455	18,666,534	16,462,437	19,222,743	21,627,594	22,335,595	21,875,293	
Indonesia	2,498,856	2,580,626	2,519,852	2,668,919	3,045,184	3,078,129	4,234,529	5,913,098	5,106,426	6,942,658	7,414,862	8,014,026	9,088,498	
Iran (Islamic Republic of)	8,273	27,169	98,808	85,253	95,773	84,953	145,610	683,176	281,815	208,230	229,505	250,191	313,250	
Iraq	46,326	31,663	315,632	856,098	1,372,230	1,493,813	1,574,544	2,122,954	1,774,844	1,645,895	2,431,159	2,039,130	2,026,450	
Ireland	7,149,557	6,748,664	7,689,672	8,165,781	9,335,280	8,515,296	9,010,736	8,652,873	7,516,394	7,270,756	7,605,823	7,389,286	6,622,201	
Israel	7,482,321	7,039,314	6,878,300	9,197,954	9,731,836	10,964,390	13,018,846	14,486,466	9,567,807	11,271,532	13,955,869	14,270,093	13,737,950	
Italy	9,922,529	10,097,622	10,578,344	10,719,122	11,541,085	12,587,176	14,173,326	15,496,618	12,247,849	14,198,405	15,995,536	15,977,747	16,515,923	
Jamaica	1,407,480	1,419,947	1,461,500	1,431,596	1,687,204	2,034,999	2,318,160	2,644,299	1,448,305	1,653,605	1,912,281	1,990,572	1,989,527	
Japan	57,637,105	51,438,262	52,061,621	54,400,040	55,408,356	59,647,551	62,663,665	66,573,422	51,178,320	60,542,675	66,160,369	70,042,648	65,142,508	
Jordan	343,266	404,396	491,564	552,119	643,291	650,001	856,538	940,488	1,193,406	1,174,981	1,454,326	1,711,553	2,087,177	
Kazakhstan	162,873	604,653	168,260	319,357	538,307	645,982	753,009	985,507	599,471	736,926	825,634	881,062	1,095,683	
Kenya	577,398	271,411	196,670	393,849	632,293	526,014	584,217	474,374	654,377	362,727	464,384	580,734	651,408	
Kiribati	6,025	3,789	1,328	1,321	2,405	1,399	1,150	7,348	825	9,279	17,683	4,606	6,978	
Korea, Democratic People's Republic of	650	25,012	7,977	23,750	5,757	3	1,728	52,151	903	1,931	9,406	11,932	6,583	
Korea, Republic of	22,196,592	22,595,826	24,097,311	26,333,438	27,670,368	32,455,281	34,702,618	34,806,587	28,639,748	38,843,768	43,504,762	42,317,910	41,554,498	
Kuwait	905,599	1,014,661	1,498,762	1,519,589	1,974,364	2,134,943	2,485,207	2,719,360	1,951,751	2,777,460	2,727,325	2,682,888	2,594,182	
Kyrgyzstan	27,675	31,124	38,828	29,673	30,878	71,253	48,601	44,337	51,870	78,363	102,765	145,548	106,092	
Lao People's Democratic Republic	3,582	4,219	4,721	5,862	9,808	6,959	13,360	18,347	20,447	11,996	26,076	33,249	24,702	
Latvia	110,536	90,861	123,961	120,947	176,773	245,545	381,229	394,134	288,728	344,841	584,866	506,021	495,369	
Lebanon	418,016	317,979	314,230	462,880	463,890	933,681	826,020	1,463,159	1,440,957	1,839,590	1,807,898	1,041,310	1,032,634	
Lesotho	822	2,022	5,086	5,484	4,015	4,029	7,526	1,340	16,630	11,330	13,150	16,514	644	
Liberia	36,827	27,676	33,369	60,564	75,046	67,840	75,769	156,631	94,980	190,076	194,799	247,824	173,228	
Libya	9,009	18,270	226	39,190	83,822	434,856	510,499	721,162	666,057	665,407	287,069	547,606	812,355	
Lithuania	100,006	102,813	162,582	294,782	388,486	566,945	720,222	831,298	408,030	628,940	1,141,599	755,886	855,546	
Luxembourg	550,213	480,249	279,065	705,595	782,446	579,848	1,002,743	1,065,030	1,292,117	1,441,620	1,585,179	1,902,158	1,860,416	
Macao, China	70,992	78,939	54,516	85,533	101,576	200,226	226,447	306,743	209,189	224,970	290,751	345,440	351,056	
Macedonia, The Former Yugoslav Republic of	32,969	18,677	26,337	21,211	31,556	22,426	33,561	36,111	34,841	33,642	37,233	20,948	56,601	
Madagascar	21,020	15,240	46,393	35,642	28,194	44,737	31,959	70,939	165,869	116,010	56,079	64,308	64,072	
Malawi	14,830	30,112	16,503	21,654	27,729	45,738	51,503	44,944	40,424	37,001	66,040	63,941	54,205	
Malaysia	9,380,157	10,348,148	10,920,356	10,896,752	10,450,923	12,550,115	11,679,802	12,962,946	10,401,451	13,981,576	14,217,348	12,851,387	13,002,930	
Maldives	6,411	4,126	6,580	9,862	9,267	17,647	19,321	20,307	17,424	28,265	44,760	30,063	28,754	
Mali	32,675	11,183	31,473	42,991	32,403	43,131	31,901	30,922	36,805	37,332	55,019	59,747	49,916	
Malta	258,989	210,235	201,559	182,165	193,587	162,585	207,214	253,438	192,855	423,630	706,800	380,893	536,417	
Marshall Islands	26,647	28,810	28,128	18,442	87,488	17,115	22,875	25,174	77,600	92,604	143,419	133,664	65,501	
Mauritania	25,428	22,881	34,881	77,528	85,813	90,147	102,657	106,604	56,280	83,442	243,223	276,695	245,238	
Mauritius	29,033	27,457	32,007	28,416	30,849	35,608	49,794	51,293	70,031	40,028	45,951	95,976	42,036	
Mayotte	51	15	0	270	0	12	243	58	1,184	6,387	4,572	11,610	8,470	
Mexico	101,507,712	97,530,536	97,452,391	110,775,247	120,048,216	134,127,535	136,520,317	151,524,799	128,997,663	163,320,690	197,543,627	216,330,837	226,152,896	
Micronesia (Federated States of)	30,169	27,215	23,609	24,448	25,488	29,637	37,825	54,503	67,779	42,539	44,056	51,591	41,799	
Mongolia	12,057	66,277	20,672	28,129	21,809	23,000	26,091	57,248	40,483	114,889	313,342	665,231	282,343	
Montenegro	0	0	0	0	0	0	45,306	53,186	36,853	14,555	17,694	12,366	21,433	
Montserrat	5,958	5,158	7,963	6,056	4,846	14,381	4,774	8,565	5,870	4,759	6,899	8,564	8,613	
Morocco	286,095	565,509	464,880	523,526	527,546	875,552	1,343,011	1,518,769	1,606,101	1,947,233	2,862,627	2,257,633	2,304,854	
Mozambique	28,437	97,987	62,516	76,439	62,210	64,743	114,950	213,418	189,832	225,007	452,966	391,879	306,387	
Myanmar	11,370	10,319	6,864	11,642	5,464	7,542	8,710	10,756	6,970	9,651	48,848	65,789	145,573	
Namibia	255,624	57,777	27,960	72,898	113,690	126,859	127,894	280,331	202,315	109,880	137,382	194,868	206,647	
Nauru	4,180	2,874	1,865	727	1,625	3,782	8,140	11,240	3,687	2,492	506	2,209	759	
Nepal	14,193	19,981	16,312	25,019	24,697	16,642	28,816	28,695	31,002	28,269	40,317	36,886	32,706	
Netherland Antilles	816,688	742,102	747,084	872,637	1,134,737	1,485,272	2,082,284	2,951,248	2,130,660	2,915,625	2,064,550	1,407,605	1,491,533	
Netherlands	19,524,471	18,334,260	20,694,816	24,286,104	26,495,637	31,101,731	32,985,939	40,220,701	32,346,735	34,996,605	42,825,730	40,678,853	42,652,489	
New Caledonia	25,134	36,646	43,245	45,082	38,366	43,616	57,808	89,120	77,910	108,355	115,355	74,921	72,878	
New Zealand	2,134,344	1,814,398	1,848,636	2,075,665	2,647,665	2,928,546	2,813,173	2,569,715	2,159,433	2,819,633	3,496,698	3,120,002	3,217,781	
Nicaragua	443,111	437,634	502,760	591,702	619,840	755,170	890,346	1,093,010	715,043	979,811	1,053,179	1,128,009	1,057,120	
Niger	63,979	40,904	33,634	34,647	81,185	129,165	69,309	50,007	58,243	50,033	44,855	36,614	46,168	
Nigeria	957,194	1,057,046	1,022,896	1,552,233	1,614,972	2,230,798	2,786,673	4,101,985	3,658,008	4,039,711	4,814,875	5,114,096	6,474,500	
Niue	148	333	62	613	494	2,540	1,662	510	1,210	1,571	716	772	249	
Norfolk Island	109	221	337	445	377	1,954	1,527	3,953	865	661	1,044	1,228	1,731	
Norway	1,839,141	1,407,407	1,470,331	1,604,518	1,934,574	2,400,865	3,053,271	3,402,281	2,752,927	3,107,183	3,631,507	3,508,040	4,489,735	
Oman	306,051	356,626	323,118	329,702	593,263	853,844	1,059,219	1,415,390	1,087,468	1,101,515	1,433,960	1,746,985	1,504,297	
Pakistan	542,286	693,876	839,027	1,810,722	1,246,940	1,989,533	2,035,079	1,993,051	1,624,888	1,899,770	2,003,811	1,529,027	1,646,931	
Palau	17,543	18,489	15,903	17,006	12,209	10,894	13,817	14,079	14,822	14,157	16,876	16,756	18,007	
Palestine, State of	2,229	296	498	267	3,952	2,539	17,644	351	644	2,460	1,193	1,627	959	
Panama	1,333,169	1,407,293	1,847,818	1,820,009	2,168,439	2,704,080	3,734,047	4,910,266	4,357,705	6,067,958	8,247,886	9,917,876	10,774,460	
Papua New Guinea	22,219	23,248	30,273	42,604	55,319	43,762	65,889	69,995	217,695	191,770	303,970	389,469	168,698	
Paraguay	396,538	433,244	488,748	621,508	895,537	910,756	1,236,695	1,610,007	1,352,587	1,811,145	1,970,510	1,740,388	1,920,123	
Peru	1,566,855	1,556,471	1,706,544	2,095,376	2,289,324	2,927,202	4,119,530	6,184,066	4,925,182	6,749,044	8,319,149	9,357,301	10,055,506	
Philippines	7,664,534	7,270,148	7,992,061	7,071,933	6,892,755	7,617,348	7,712,785	8,313,641	5,772,849	7,375,273	7,706,291	8,059,535	8,401,472	
Pitcairn	5,511	6,083	3,032	2,396	456	1,365	1,895	3,879	568	4	16	41	0	
Poland	788,060	686,901	758,602	927,878	1,266,547	1,960,563	3,122,680	4,131,100	2,304,441	2,980,021	3,128,894	3,361,252	3,895,940	
Portugal	1,258,425	862,666	862,682	1,046,168	1,129,093	1,470,640	2,478,490	2,645,969	1,085,269	1,064,963	1,314,402	1,098,673	835,285	
Qatar	335,721	314,037	408,468	454,545	986,008	1,330,926	2,762,083	3,076,773	2,720,183	3,163,885	2,796,011	3,576,918	4,958,057	
Republic of Moldova	35,534	30,660	25,170	39,352	40,174	30,094	52,668	66,237	26,812	37,892	39,343	38,223	45,658	
Romania	374,682	248,410	366,788	501,638	631,885	550,119	680,427	1,048,539	671,568	730,886	914,086	833,307	747,027	
Russian Federation	2,724,084	2,398,523	2,449,647	2,958,588	3,942,325	4,717,016	7,365,333	9,335,368	5,382,808	5,968,038	8,285,465	10,668,302	11,164,047	
Rwanda	17,393	10,185	7,919	11,199	10,534	11,685	16,050	20,449	34,146	30,594	119,574	30,160	25,195	
Saint Helena	4,337	2,103	2,285	7,128	2,733	1,754	3,280	2,035	2,900	705	1,902	4,848	2,867	
Saint Kitts and Nevis	46,200	49,695	59,012	60,417	93,971	127,234	110,702	123,907	108,130	131,451	115,880	106,322	142,888	
Saint Lucia	88,699	98,059	121,118	103,304	134,683	151,496	165,472	241,038	136,081	401,554	314,519	416,045	662,926	
Saint Vincent and the Grenadines	39,437	40,536	46,474	45,396	45,342	58,321	68,962	82,673	77,412	85,964	80,468	98,391	93,233	
Samoa	69,886	7,020	11,135	12,183	14,703	18,362	16,716	13,306	18,684	19,110	23,787	24,763	28,263	
Sao Tome and Principe	10,831	1,974	1,395	3,708	10,153	3,709	8,415	3,269	4,018	1,359	6,124	870	1,998	
Saudi Arabia	5,970,504	4,778,472	4,595,873	5,245,184	6,829,678	7,808,243	10,399,222	12,477,995	10,803,684	11,590,302	13,819,521	18,118,114	18,988,191	
Senegal	84,974	74,666	101,975	89,248	157,872	96,898	152,902	137,104	175,945	217,729	262,468	149,567	230,430	
Serbia	0	0	0	0	0	147,148	109,583	207,357	115,686	115,498	141,056	148,378	156,444	
Serbia and Montenegro	55,199	78,132	49,952	142,973	132,085	0	0	0	0	0	0	0	0	
Seychelles	176,212	8,295	7,163	10,575	21,137	9,526	9,473	24,981	34,094	10,694	13,544	14,959	12,190	
Sierra Leone	27,880	25,459	28,247	40,434	37,808	39,246	55,421	59,361	42,534	61,093	103,463	101,567	82,506	
Singapore	17,691,298	16,221,027	16,574,865	19,600,800	20,646,357	24,682,843	26,284,362	28,809,348	22,278,009	29,149,703	31,373,730	30,536,553	30,678,766	
Slovakia	69,917	92,704	115,042	131,590	149,781	510,361	680,041	570,911	208,208	256,223	302,092	332,753	294,158	
Slovenia	119,746	130,853	139,468	191,950	233,317	239,059	296,956	309,596	241,243	328,040	573,715	307,155	273,274	
Solomon Islands	7,307	1,543	1,834	2,754	2,297	5,680	5,438	5,259	6,021	5,089	5,966	7,271	8,928	
Somalia	6,606	6,166	6,879	9,134	8,832	19,945	20,694	64,345	4,099	1,458	5,249	15,426	15,046	
South Africa	2,961,810	2,524,552	2,820,771	3,172,002	3,881,729	4,461,684	5,517,220	6,494,696	4,460,552	5,626,658	7,293,976	7,553,309	7,292,469	
Spain	5,810,909	5,225,688	5,934,219	6,639,018	6,933,613	7,404,802	9,879,262	12,283,005	8,750,695	10,150,152	10,651,325	9,496,873	10,236,058	
Sri Lanka	183,181	171,901	154,707	163,925	197,672	236,634	227,159	283,254	229,525	178,034	306,427	223,850	313,543	
St. Pierre and Miquelon	579	801	85	652	980	447	222	401	215	15	119	180	262	
Sudan (North + South)	17,366	10,854	26,141	68,121	103,226	76,924	66,940	143,305	78,726	115,545	80,728	88,542	111,443	
Suriname	158,303	124,932	192,853	178,561	243,552	258,158	305,932	406,271	381,521	361,664	432,900	499,287	449,035	
Swaziland	11,876	11,470	8,223	12,361	11,868	12,091	29,003	12,120	14,575	22,199	20,233	39,963	22,931	
Sweden	3,547,839	3,154,154	3,224,886	3,265,150	3,709,425	4,125,920	4,493,965	5,084,211	4,563,588	4,703,221	5,258,281	5,238,247	4,310,964	
Switzerland	9,841,439	7,789,828	8,674,779	9,261,848	10,750,207	14,384,542	17,030,909	21,999,064	17,478,819	20,697,973	24,446,491	26,121,012	26,913,863	
Syrian Arab Republic	226,303	274,054	214,036	211,311	156,882	224,315	361,420	408,834	303,997	511,450	249,846	19,471	21,623	
Taipei, Chinese	18,151,570	18,394,266	17,487,550	21,730,876	22,049,540	23,023,313	26,358,498	25,279,403	18,432,346	26,027,280	25,895,727	24,368,933	25,638,642	
Tajikistan	28,920	33,129	49,965	55,537	28,787	43,090	52,686	51,428	41,199	56,826	178,246	53,394	52,604	
Tanzania, United Republic of	64,059	62,315	65,714	127,628	96,364	160,667	173,987	169,338	158,124	163,581	257,834	238,759	420,186	
Thailand	5,995,120	4,859,500	5,841,350	6,362,814	7,233,101	8,152,469	8,444,876	9,066,834	6,920,200	8,974,365	10,927,480	10,952,736	11,824,526	
Timor-Leste	783	148	467	9,763	8,685	11,575	10,934	5,042	2,350	4,329	8,146	1,137	1,365	
Togo	16,309	13,793	15,174	23,660	27,759	108,564	287,594	117,126	124,884	169,757	214,061	322,072	956,153	
Tokelau	10,163	17,955	15,184	25,360	78,672	44,761	55,422	39,336	12,987	3,944	4,893	13,422	360	
Tonga	4,844	11,011	5,738	7,099	9,880	10,537	13,233	13,730	12,942	20,691	19,312	20,458	19,255	
Trinidad and Tobago	1,089,586	1,018,002	1,063,924	1,207,194	1,439,272	1,614,775	1,779,495	2,251,172	1,989,107	1,925,634	2,217,744	2,450,865	2,404,434	
Tunisia	277,998	195,158	170,505	258,094	260,717	362,818	403,055	502,520	502,111	571,181	586,065	593,872	817,262	
Turkey	3,106,761	3,106,629	2,903,832	3,361,058	4,274,011	5,729,587	6,585,654	10,439,710	7,088,987	10,546,389	14,631,841	12,527,297	12,066,554	
