List of importing markets for a product exported by United States of America (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	748,075,278	719,884,183	751,545,564	843,561,098	918,358,993	1,028,824,694	1,149,524,857	1,305,139,946	1,021,898,845	1,217,467,064	1,418,492,912	1,450,490,026	1,382,902,482	
Afghanistan								18,153	44,554	78,480	90,620	0		
Albania	14,378	25,637	18,629	34,855	36,865	31,449	47,762	67,037	66,589	72,553	77,596	103,890	118,735	
Algeria	1,031,502	1,163,299	709,312	1,087,847	1,367,348	1,425,739	2,134,758	2,197,573	2,013,729	2,125,530	2,176,828	1,769,703	2,370,397	
Andorra	14,467	15,547	18,901	18,975										
Anguilla	54,373	45,625	50,590											
Antigua and Barbuda					256,699		333,274		219,150	165,144	154,663	170,147	179,806	
Argentina	3,781,206	1,804,349	2,264,013	3,429,868	4,532,216	4,292,133	5,342,304	6,979,889	5,169,636	6,125,396	7,779,273	8,489,991	8,024,780	
Armenia	83,512	51,615	109,348	100,402	103,242	98,131	129,330	171,742	104,491	101,533	132,959	129,894	118,829	
Aruba					572,969				542,785	535,396	612,569	584,835		
Australia	11,131,922	12,576,734	13,561,447	15,309,550	16,553,582	18,609,469	20,003,368	23,014,490	18,005,179	20,947,055	26,797,969	29,386,824	23,820,299	
Austria	3,771,284	3,526,777	3,536,070	3,678,493	3,946,479	4,439,920	5,134,381	4,999,729	2,241,722	2,731,285	3,356,777	3,475,442	3,727,107	
Azerbaijan	230,933	98,695	132,621	131,887	141,280	197,986	268,906	266,239	264,234	206,338	630,504	715,815		
Bahamas	1,605,458	1,673,895	1,617,107	1,743,553	2,204,921	2,615,164	2,744,728	2,817,876	2,451,893	2,600,098	3,032,520	3,080,818		
Bahrain	218,478	216,720	202,290	222,495	342,082	289,475	385,386	764,189	470,225	717,564	836,402			
Bangladesh	345,714	360,133	352,458	344,844	431,328	484,882	634,664							
Barbados	449,384	439,778	453,026	477,202	600,445	611,771	567,076	642,252	532,602	525,732	565,818	548,531	584,166	
Belarus	131,629	103,329	150,204	195,592	232,215	283,940	392,416	484,592	431,703	422,860	548,437	531,231	574,288	
Belgium	12,487,178	13,046,640	13,981,313	16,455,889	17,411,118	19,247,050	22,863,294	25,594,258	20,942,785	22,632,280	26,755,547	27,659,969	33,867,801	
Belize	239,365	176,046	183,246	151,189	176,776	256,435	232,145	286,009	231,196	335,412	263,102	257,585	298,856	
Benin	25,954	21,023	25,044	18,248	9,765	14,436	77,897	34,898	38,337	36,283	51,461	41,186	1,061,050	
Bermuda												601,085	684,479	
Bhutan					1,864	2,640	1,290	1,941	2,130	3,387	2,713			
Bolivia	314,257	276,446	302,793	260,381	324,536	342,292	411,796	525,428	588,252	733,526	890,200	910,471		
Bosnia and Herzegovina			49,980	67,504	135,111	146,512	208,980	392,595	220,028	328,137	445,879	254,832	260,459	
Botswana	31,897	46,417	33,055	44,959	39,697	26,717	48,484	67,369	102,445	74,879	156,403	157,172	197,149	
Brazil	13,050,769	10,440,316	9,731,968	11,538,691	12,854,780	14,856,489	18,889,840	25,849,680	20,214,138	27,200,503	34,233,526	32,607,902	36,280,346	
Brunei Darussalam	102,126	276,732	143,018	167,468		151,388				250,536	361,309	278,787	436,990	
Bulgaria	190,721	173,224	279,261	317,154	451,891	468,693	519,727	732,038	197,775	176,646	274,853	222,202	259,182	
Burkina Faso	21,808	18,698	15,843	21,707	30,551		102,678	106,974	90,900	82,899	104,086	170,323		
Burundi	4,370	2,178	3,241	1,617	6,774	9,692	4,069	2,839	9,342	6,032	32,738	35,330	25,910	
Cabo Verde	7,926	11,632	15,058	59,186	19,485	10,670	11,417		12,453	12,940	14,444	69,941	11,586	
Cambodia	19,297	15,310	16,869	23,093	36,248	25,542	36,388	220,154	90,750	129,909	144,884	151,883		
Cameroon	145,650	156,413	102,630	127,150	133,327	90,329	253,848	261,304	149,338	169,417	215,258	228,700		
Canada	140,999,524	139,278,667	145,755,351	160,827,007	177,635,571	192,177,944	206,439,119	214,046,444	164,245,761	197,547,489	223,172,493	234,031,631	240,696,434	
Central African Republic	1,453	1,024	1,313			325	5,010	5,736	32,958	9,729	3,653	8,197	12,746	
Chile	2,976,102	2,548,801	2,764,541	3,569,887	5,132,565	6,176,736	7,865,467	11,948,860	8,002,009	10,010,606	15,094,960	18,203,692	16,104,369	
China	26,217,375	27,261,097	33,944,166	44,747,869	48,741,359	59,314,270	69,547,964	81,585,556	77,755,101	102,734,185	123,124,010	133,765,823	153,606,906	
Colombia	4,442,775	4,051,198	4,112,710	4,806,760	6,033,241	6,960,605	8,631,115	11,583,019	9,505,791	10,531,813	13,663,338	14,140,116	16,428,423	
Comoros	5	0	22	22	8	7	1	91	494					
Congo							72,136	79,283	146,594	156,791	160,582	184,978	173,861	
Cook Islands					959									
Costa Rica	3,280,161	3,590,103	3,679,594	3,596,380	3,767,193	4,385,917	4,902,825	5,846,372	5,305,097	6,511,661	8,321,503	9,519,474	8,763,481	
Côte d'Ivoire	133,813	89,759	114,099	133,719	119,345	135,064	180,017	209,147	228,315	235,740	128,216	254,433		
Croatia	297,351	311,593	368,573	362,680	401,605	372,060	488,637	630,449	542,735	435,724	523,779	464,210	222,856	
Cuba	4,932	175,429	331,432	448,833	520,747	453,302								
Cyprus	369,245	203,086	186,563	131,778	102,912	111,245	109,199	189,352	128,257	123,871	217,161	93,983	70,138	
Czech Republic	1,451,762	1,512,897	1,594,225	2,078,719	1,986,327	2,178,223	2,634,216	2,922,338	2,202,266	2,797,206	2,944,141	3,003,996	3,077,797	
Denmark	1,861,687	1,940,269	1,822,942	2,537,979	2,133,611	2,780,013	3,376,568	3,431,857	2,673,027	2,535,063	2,613,379	2,382,113	2,085,729	
Djibouti									25,573					
Dominica	47,741	42,504	47,223	53,291	60,462	60,319	69,856	92,321	85,131	93,824	83,636	77,878		
Dominican Republic	2,462,884	2,783,519	2,157,816	2,568,126	3,728,327	4,501,780	5,374,824	5,696,882	5,090,590	5,907,253	7,555,163	7,405,893	7,440,017	
Ecuador	1,234,981	1,480,804	1,227,494	1,323,099	1,842,725	2,738,812	2,794,782	3,748,244	3,962,365	5,736,443	5,138,353	6,773,934	6,807,961	
Egypt	1,832,166	1,684,285	1,272,951	1,351,227	1,769,758	1,603,710	2,571,843	5,673,135	4,744,216	4,961,898	6,470,100	5,276,494	5,214,723	
El Salvador	1,324,563	1,308,323	1,493,836	1,513,438	2,487,016	2,762,118	3,165,135	3,383,670	2,645,335	3,115,234	3,804,508	3,889,975	4,190,622	
Eritrea			68,896											
Estonia	120,483	165,620	229,958	215,567	248,319	256,432	341,203	342,303	221,822	266,509	327,205	269,182	362,356	
Ethiopia	167,523	126,530	384,387	320,283	378,654	162,916	279,514	401,480	476,258	483,596	488,878	420,507		
Faroe Islands	13,056	5,797	7,199	6,498	64,111	10,351	12,343	13,069	10,128					
Fiji		35,411	99,600	45,907	60,430	50,550	57,451	152,640	63,446	65,168	110,613	68,326		
Finland	2,272,865	2,194,697	1,931,288	2,323,360	2,426,156	2,584,375	2,732,605	2,729,945	1,289,217	1,375,089	1,916,422	1,482,557	1,657,311	
France	26,289,090	24,264,700	23,731,765	27,860,721	28,100,923	31,805,570	35,571,995	38,295,741	34,722,667	35,234,556	39,589,908	42,364,088	43,411,343	
French Polynesia	117,220	116,509	140,168	138,154	169,545	160,914	155,482	215,022	176,482	173,709	168,062	164,963	173,866	
Gabon	105,358	0	105,804	44,193	94,211	126,631	126,041	190,682	178,389					
Gambia	3,923	7,205	3,407	17,468	16,767	31,217	41,821	35,155	7,113	5,114	5,735			
Georgia	63,968	68,524	90,648	110,790	148,205	129,634	184,057	241,265	186,002	170,541	245,914	213,218	253,951	
Germany	39,831,645	36,277,168	44,063,978	50,013,340	51,928,023	61,792,385	62,436,453	67,638,710	55,375,687	59,593,631	68,947,713	66,556,879	66,383,922	
Ghana	216,233		225,761		345,569	352,293	555,774	653,549	522,885	1,101,260	1,307,251	1,563,768		
Greece	990,904	1,471,492	2,264,515	2,345,839	1,864,065	1,139,661	1,727,961	2,437,736	1,959,387	1,554,401	1,146,592	735,224	669,979	
Greenland	334	318	12,143	2,059	2,472	15,671	4,329	13,447	17,000	17,526	16,518	11,509	5,885	
Grenada	99,374	86,741	106,741	106,769	125,203	117,398	130,656	112,208						
Guatemala	1,969,734	2,199,324	2,944,075	3,198,685	3,558,261	3,698,169	4,728,229	5,334,624	4,174,415	5,125,632	6,510,430	6,461,996	6,510,815	
Guinea	42,735	55,249		73,227	109,271	57,628	78,469	95,074		65,942	86,558	75,766		
Guinea-Bissau			35	2	0									
Guyana	221,189	195,862	177,016	189,993	242,234	242,683	258,572	376,680	342,139	401,613	447,473	489,087	397,729	
Honduras	962,864	1,180,159	1,250,113	1,363,433	1,628,232	2,218,510	2,611,706	3,057,611	2,140,577	2,653,454	3,670,458	3,534,695	3,432,417	
Hong Kong, China	13,483,265	11,789,200	12,756,273	14,476,604	15,502,489	16,079,054	17,983,174	19,642,377	18,550,098	23,355,714	31,662,749	33,400,308		
Hungary	1,424,236	1,379,103	1,530,544	990,012	1,111,367	1,293,234	1,528,247	1,962,557	1,523,004	1,576,169	1,948,962	1,890,878	2,106,477	
Iceland	253,100	253,132	210,867	375,338	464,921	787,225	901,312	496,065	250,769	310,546	527,434	488,672	476,720	
India	3,226,731	3,826,372	5,064,953	5,943,656	8,306,675	11,321,478	14,206,366	24,487,130	15,998,423	19,096,287	22,573,883	24,105,441	22,600,341	
Indonesia	3,209,693	2,644,085	2,702,375	3,235,508	3,885,796	4,066,343	4,797,496	7,897,981	7,094,374	9,415,997	10,834,043	11,614,235	9,081,821	
Iran (Islamic Republic of)	73,762	57,170	66,806	71,342	95,203	0				172,760	139,670			
Ireland	7,813,491	7,993,603	8,368,609	8,667,219	9,941,060	8,575,999	9,667,357	9,977,038	10,884,384	8,513,430	8,210,464	6,714,286	6,935,658	
Israel	6,704,515	6,134,173	5,331,739	6,119,649	6,064,846	5,920,428	7,852,349	8,038,515	5,851,090	6,703,326	8,707,597	9,399,851	8,255,955	
Italy	11,453,140	11,774,715	11,554,350	12,276,987	13,189,704	13,311,470	14,769,267	17,040,231	13,145,461	14,704,235	18,102,670	16,233,207	15,281,397	
Jamaica	1,544,224	1,525,638	1,578,020	1,622,860	2,029,718	1,853,926	2,724,333	3,333,043	1,862,886	1,875,095	2,163,324	2,349,156		
Japan	63,758,228	58,808,222	59,994,811	63,702,091	65,403,969	69,384,707	72,409,978	78,937,219	60,590,109	69,114,693	76,266,742	78,212,764	71,958,767	
Jordan	395,941	364,307	360,948	547,580		543,574	630,069	773,726	977,117	859,625	1,077,560	1,384,679	1,361,122	
Kazakhstan	347,205	461,458	470,534	563,139	1,204,476	1,105,804	1,623,894	1,930,789	1,393,607	1,315,815	1,716,082	2,119,808	2,392,136	
Kenya	526,640	211,104	245,550	197,468	563,057	343,314	661,605	402,263	649,103	496,007	507,968			
Kiribati					2,012		2,810	1,702	4,503	6,378	6,462	4,295		
Korea, Republic of	22,430,926	23,110,979	24,934,988	28,918,644	30,787,475	33,796,543	37,392,949	38,555,952	29,160,307	40,588,438	44,814,718	43,652,459	41,762,164	
Kuwait	834,558	986,802	1,277,532	1,358,043		1,940,102	2,418,248	2,674,507						
Kyrgyzstan	26,783	47,359	47,911	44,582	67,244	97,527	95,786	119,816	74,507	191,255	210,316	253,129		
Latvia	64,654	63,912	91,191	97,031	94,481	104,915	172,824	151,656	80,889	62,954	108,469	120,826	110,244	
Lebanon	515,891	465,977	432,238	554,268	548,532	1,038,611	1,140,911	1,848,558	1,770,103	1,919,314	1,994,558	2,369,576	1,500,928	
Lesotho	1,843	13,758	1,752					7,761	2,182	26,315				
Libya							426,313	570,547	664,742	930,937				
Lithuania	194,183	219,241	291,162	195,519	410,933	313,353	538,659	545,115	203,506	240,679	369,559	314,508	409,741	
Luxembourg	626,092	502,767	288,710	598,383	625,595	612,638	854,189	762,533	504,809	488,365	1,339,551	2,021,367	1,913,306	
Macao, China	169,276	203,629	148,352	186,953	181,051	291,306	341,654	333,746	328,216	383,818		493,487		
Macedonia, The Former Yugoslav Republic of	51,545	58,784	56,507	48,241	45,235	41,099	78,151		111,183	103,352	89,434	83,560	124,452	
Madagascar	37,253	18,698	48,070	111,511	40,567	62,510	86,633	192,452	107,996	147,098	100,441	99,144	124,408	
Malawi	20,350	29,345	29,473	25,245	30,276	38,575	49,495	45,046	52,710	62,290	127,844	87,337	74,416	
Malaysia	11,838,701	13,067,808	12,840,043	15,258,594	14,776,362	16,434,447	15,776,161	16,834,425	13,835,476	17,551,425	18,106,865	15,884,979	16,204,454	
Maldives	8,134	4,989	5,943	8,404	8,482	24,197	22,327	32,080	24,318	27,932	29,308	45,583	30,547	
Mali	53,416	33,736	61,257	46,364	73,226	91,660	81,622	221,363		421,279	83,124	95,209		
Malta	315,003	266,660	276,079	203,061	201,221	226,274	285,753	110,593	109,188	118,803	227,777	120,063	169,314	
Mauritania	42,469	23,705	17,509	41,162	107,999		64,127	52,721	54,112	63,995	74,258	145,441		
Mauritius	62,551	69,333	62,425	63,969	69,339	73,863	89,728	111,790	81,368	105,752	98,995	122,538	80,332	
Mayotte	2,434	2,065	1,845	2,750	3,979	4,283	6,464	7,409	4,991					
Mexico	114,059,682	106,899,862	105,723,447	111,262,254	118,973,102	130,809,817	139,930,555	151,746,430	112,788,740	145,450,398	174,878,460	185,683,875	187,757,103	
Mongolia	14,465		23,467	46,497	40,115	44,060	50,222						512,699	
Montenegro						34,169	52,324	82,625	24,697	20,483	19,648	17,705	20,398	
Montserrat	11,539	16,520	16,603	17,433	16,837	12,931	12,914	23,907	20,272			26,704	29,558	
Morocco	407,775	511,382	578,012	735,271	690,326	1,040,819	1,929,901	2,162,735	2,282,499	2,494,766	3,591,265	2,858,984	3,430,128	
Mozambique	24,203	54,613	60,903	48,434	70,895	101,588	80,826	160,434	134,793	74,365	292,322	253,989	204,676	
Myanmar										24,789				
Namibia	13,992	26,256	14,199	18,017	19,612	41,610	54,828	94,918	86,611	72,959	52,286	45,102	141,277	
Nepal			25,626						49,181	73,955	61,583			
Netherland Antilles					337,597	378,768	419,432	566,106						
