List of importing markets for a product exported by Uruguay Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	2,057,580	1,861,038	2,208,150	2,937,228	3,421,892	3,989,321	4,517,549	5,941,895	5,404,763	6,724,162	7,911,749	8,709,217	9,065,754	
Afghanistan	14	0	27	0	23	98	0	38	77	185	189	522	240	
Albania	85	115	22	0	270	488	172	982	506	915	440	710	244	
Algeria	1,278	34,460	24,936	9,775	15,135	44,556	16,684	20,929	26,804	43,457	40,745	39,991	54,557	
Andorra	0	56	195	191	107	0	76	0	2	20	0	0	0	
Angola	381	219	334	435	845	7,846	4,772	27,752	6,561	8,351	11,868	12,992	5,394	
Anguilla	0	0	0	0	0	8	13	18	0	19	18	19	21	
Antigua and Barbuda	7	12	0	7	472	918	21	224	738	2	219	397	186	
Area Nes	1,704	1,606	390	43	513	720	429	146	24	0	0	0	0	
Argentina	316,366	113,343	155,223	223,383	267,102	301,975	445,720	506,527	346,643	574,618	588,309	504,313	493,243	
Armenia	0	0	0	369	610	36	0	35	10	10	92	94	11	
Aruba	73	104	1,002	1,256	378	1,084	697	1,757	2,107	5,714	6,374	9,516	6,470	
Australia	2,767	2,955	2,154	1,987	1,205	994	813	685	841	2,250	1,823	896	798	
Austria	1,014	834	1,431	382	320	264	389	232	159	286	335	34	35	
Azerbaijan	0	0	0	0	0	0	152	135	122	176	295	249	0	
Bahamas	593	118	330	650	1,581	10,414	1,773	1,861	2,298	644	2,466	877	127	
Bahrain	0	118	0	0	0	0	23	256	391	164	555	446	235	
Bangladesh	390	490	375	695	1,542	1,552	10,990	2,208	1,037	6,513	181	45,192	20,736	
Barbados	0	10	4	948	2,604	2,993	2,424	1,632	1,729	1,790	1,852	2,542	2,791	
Belarus	0	245	114	99	34	71	76	209	52	160	719	2,688	3,028	
Belgium	23,176	15,219	18,160	19,570	14,905	24,403	24,423	26,442	19,841	20,615	34,319	37,304	26,541	
Belize	163	0	35	31	204	118	85	79	86	0	45	39	900	
Benin	0	16	50	48	201	1,311	488	12,132	1,955	745	3,471	2,586	1,959	
Bermuda	21	0	0	16	0	0	0	151	186	112	176	123	51	
Bhutan	0	0	0	0	0	0	0	0	0	0	124	0	0	
Bolivia	2,630	2,028	2,453	3,176	4,597	6,149	8,031	16,706	13,203	22,039	19,949	21,660	30,089	
Bosnia and Herzegovina	0	0	0	51	1,094	881	539	127	0	0	1,085	889	134	
Botswana	91	194	210	65	0	40	66	40	111	88	43	207	152	
Brazil	440,695	431,790	471,026	483,833	460,428	584,261	731,551	987,980	1,098,141	1,419,266	1,625,138	1,688,294	1,712,347	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	0	0	0	0	0	
British Virgin Islands	573	1,475	51	0	677	693	555	3	0	0	0	0	0	
Brunei Darussalam	0	0	0	0	0	124	20	283	177	280	610	422	252	
Bulgaria	522	854	1,115	573	1,092	2,759	7,860	6,736	3,221	6,758	7,480	7,506	7,823	
Burkina Faso	0	0	0	0	8	0	210	0	82	214	0	92	0	
Cabo Verde	0	0	31	10	0	0	690	66	4,728	6,653	4,062	2,618	2,761	
Cambodia	17	224	94	242	816	0	19	74	0	391	62	935	2,387	
Cameroon	0	191	1,222	1,288	5,265	5,681	7,369	8,254	7,063	4,409	10,570	2,307	2,619	
Canada	64,871	27,096	86,928	105,202	87,042	44,961	72,024	32,619	36,732	35,797	41,510	65,459	54,510	
Cayman Islands	0	6	0	75	0	0	8	9	39	0	0	0	0	
Central African Republic	0	0	0	0	0	0	0	0	0	0	15	0	0	
Chad	0	0	0	0	0	0	0	0	55	0	0	0	0	
Chile	44,422	52,971	71,632	61,237	83,503	166,095	107,854	133,970	81,023	120,409	139,078	208,234	143,452	
