List of importing markets for a product exported by Uruguay (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	2,337,109	2,249,251	2,662,264	3,402,535	4,406,519	4,527,106	5,301,404	6,966,756	6,491,039	8,307,097	9,444,416	10,381,275	10,505,549	
Afghanistan								0	0	0	97	0		
Albania	9	105	92	2,468	169	862	348	942	721	145	266	96	168	
Algeria	68	19,889	48,177	11,001	17,792	38,338	18,204	23,188	22,019	47,476	68,005	114,868	48,796	
Andorra	20	21	303	418										
Antigua and Barbuda					0		1		124	1	37	4	2	
Argentina	328,974	122,450	163,496	226,605	558,051	309,442	467,794	540,146	348,260	586,782	605,839	520,062	498,160	
Armenia	21	40	95	1,664	1,438	70	0	83	141	119	186	422	178	
Aruba					496				1,975	5,533	5,837	9,281		
Australia	3,106	4,834	3,803	8,163	8,754	11,654	21,324	13,518	14,521	13,254	15,292	17,506	20,334	
Austria	1,278	2,846	1,325	1,949	1,574	2,896	4,204	7,860	5,106	6,954	19,362	33,169	35,147	
Azerbaijan	0	651	104	0	24	21	102	962	968	980	1,667	974		
Bahamas	122	10	28	1	8	0	0	0	0	0	8	125		
Bahrain	1	45	0	0	6	0	0	344	95	222	531			
Bangladesh	531	686	967	766	1,578	1,568	14,751							
Barbados	57	98	71	841	2,772	3,531	3,149	1,750	1,999	1,988	1,768	2,171	3,497	
Belarus	122	77	502	1,088	1,122	921	1,222	1,943	809	1,696	2,399	3,357	4,304	
Belgium	20,438	20,349	22,951	25,720	16,317	25,851	58,980	35,382	33,590	33,032	42,751	34,170	30,341	
Belize	1	5	0	93	163	512	597	335	214	571	82	669	944	
Benin	43	6	50	50	54	987	789	232	354	179	1,357	1,820	1,075	
Bermuda												221	214	
Bolivia	3,897	3,843	3,870	3,833	5,201	6,303	9,657	18,222	18,570	26,892	26,811	36,752		
