List of importing markets for a product exported by Uzbekistan (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	2,102,369	2,338,424	2,667,782	3,628,131	3,944,368	5,536,524	6,491,479	7,923,396	5,383,846	6,526,846	6,905,701	4,973,402	5,880,945	
Afghanistan								168,698	875,868	1,087,927	732,450	0		
Albania	422	0	0	0	0	137	0	0	0	0	0	0	0	
Algeria	0	0	10	8	0	0	0	0	0	0	1	0	8	
Andorra	0	0	0	0										
Antigua and Barbuda					0		0		0	0	7	5	0	
Argentina	57	0	4,897	6	0	0	33	0	13	29	0	600	938	
Armenia	1,188	1,187	1,323	1,281	1,345	1,839	10,428	10,532	3,206	5,699	2,864	2,775	1,556	
Australia	11	9	48	12	67	24	16	12	148	502	1,318	2,600	2,015	
Austria	19,600	7,968	26,251	61,804	127,227	6,963	5,267	5,248	2,104	2,204	4,241	1,872	2,150	
Azerbaijan	6,089	1,410	2,061	79,665	99,801	27,489	19,131	22,439	12,366	12,333	50,555	8,027		
Bahrain	0	34	23	0	4	0	0	869	0	6	4			
Bangladesh	35,926	64,803	238,400	320,475	338,744	439,753	514,017							
Barbados	4	0	0	12	0	4	23	101	3	1	0	9	0	
Belarus	17,580	11,956	10,665	11,260	13,867	16,194	21,626	29,930	23,043	58,526	44,318	28,963	33,613	
Belgium	49,118	37,385	40,777	42,129	26,785	32,375	30,094	30,102	19,590	20,114	14,397	10,575	8,483	
Belize	0	0	0	0	0	0	0	0	0	0	0	0	0	
Benin	0	0	0	0	0	0	0	0	0	0	0	0	52	
Bermuda												0	116	
Bhutan					0	0	0	0	0	3	0			
Bolivia	80	0	0	0	0	140	18	5	2	3	0	0		
Bosnia and Herzegovina			0	192	166	151	79	244	821	269	1,431	2,381	3,396	
Botswana	0	0	0	0	0	0	0	0	0	0	0	0	0	
Brazil	3,501	2	0	2	1,361	606	1,259	6,702	2,063	1,074	2,533	1,968	361	
Bulgaria	6,589	1,995	520	1,022	2,272	10,079	2,311	3,493	2,383	3,251	4,782	5,334	2,180	
Cambodia	0	576	1,493	1,930	0	2	252	0	0	182	116	0		
Cameroon	0	0	0	0	0	0	0	0	41	0	0	0		
Canada	27,131	5,155	7,416	28,287	46,722	353	31,025	1,315	10,431	1,336	1,902	593	403	
Chile	0	0	0	13	0	18	0	6,372	7	338	392	88	378	
