List of importing markets for a product exported by Vanuatu (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	66,378	61,696	77,322	228,023	235,608	283,173	299,813	552,480	198,134	506,828	422,478	454,462	260,327	
Albania	0	0	0	0	0	2	0	0	0	0	0	0	0	
Algeria	49	0	0	0	0	0	0	0	0	0	0	0	3	
Antigua and Barbuda					0		1		0	0	0	0	0	
Argentina	0	0	0	0	0	0	0	0	5	0	0	0	0	
Armenia	0	0	0	0	0	0	0	0	0	0	0	1	0	
Australia	1,728	2,550	3,873	2,405	3,376	2,330	1,728	1,733	434	1,001	1,016	1,806	2,000	
Austria	14	1	1	15	3	20	32	0	4	0	0	0	0	
Azerbaijan	0	0	0	0	0	2	0	0	0	0	0	0		
Bahrain	0	0	0	0	0	0	0	0	0	0	3			
Bangladesh	2,663	928	1,988	1,291	0	18	1,298							
Barbados	0	0	0	0	0	0	0	0	18	0	19	2	0	
Belarus	0	0	0	1	0	2	0	0	0	0	0	0	0	
Belgium	1,133	893	772	10,070	6,716	5,106	1,793	10,264	1,386	16	3	4	9	
Benin	0	0	0	0	0	0	0	0	0	0	0	0	1	
Bermuda												10	0	
Bosnia and Herzegovina			10	8	4	14	8	4	0	0	1	0	0	
Brazil	16	17	0	0	3	0	0	279	91	12	1	0	11	
Bulgaria	0	0	0	21	2	77	0	0	0	0	0	0	0	
Burkina Faso	0	0	0	0	102		0	0	0	0	0	0		
Burundi	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cambodia	0	0	0	0	0	0	0	0	0	0	0	14		
Cameroon	0	0	0	0	0	0	0	0	2,319	2,229	32,437	0		
Canada	46	20	63	531	3,872	346	54	63	167	832	56	70	18	
Chile	0	0	80	1,312	59	267	14	27	37	81	97	19	25	
China	320	264	196	264	475	1,052	402	433	1,367	660	2,394	2,418	2,236	
Colombia	11	0	0	0	0	54	23	0	0	0	0	0	0	
Congo							0	0	0	0	0	5,107	0	
Costa Rica	0	0	0	1,449	4	0	0	0	0	0	340	3	0	
Côte d'Ivoire	0	0	0	0	1	0	0	0	0	0	0	117,647		
Croatia	11	0	0	0	2	0	3	2	6	1	2	0	0	
Cuba	0	0	0	0	8,031	0								
Cyprus	0	0	0	0	0	0	0	0	0	0	0	0	0	
Czech Republic	0	0	0	20	12	0	1	3	0	6	0	6	1	
Denmark	65	6	4	14	6	28	13	3	0	0	0	17	0	
Dominican Republic	0	0	0	0	0	0	3	0	47	0	5	1,380	0	
Ecuador	0	53	229	2,274	126	24	0	0	0	0	5,387	4	740	
Egypt	631	974	599	602	224	1,176	357	50	0	0	0	0	0	
El Salvador	0	0	0	0	0	0	1,200	0	0	0	1	0	0	
Estonia	0	0	0	0	1	1	0	0	0	0	0	0	0	
Faroe Islands	0	0	0	0	17,086	0	49,305	0	0					
Fiji		1,065	952	2,975	2,876	4,953	3,470	2,961	2,231	1,948	4,046	4,262		
Finland	0	0	0	0	0	4	0	0	0	0	0	0	0	
France	303	1,236	1,345	3,388	524	694	972	1,963	237	1,866	146	131	139	
French Polynesia	9	7	148	47	2	1	4	1	0	0	1	0	33	
Germany	1,521	861	1,415	5,892	3,473	1,877	580	219	1,025	2,773	278	233	57	
Ghana	0		0		0	0	0	0	0	1	0	0		
Greece	9,450	5	0	3,025	0	0	0	23	0	0	0	1	4	
Guatemala	0	0	2	0	0	0	0	0	0	0	0	0	0	
Guyana	0	329	0	0	2	0	0	0	0	0	0	0	0	
Hong Kong, China	890	1,267	1,076	941	942	1,292	1,465	442	207	200	68	1,002		
Hungary	0	0	0	0	0	0	0	0	0	0	1	0	0	
Iceland	0	0	0	0	0	0	0	0	0	0	0	0	0	
India	28,291	0	4,744	13,788	435	55,244	1,014	8,486	2	70	2	5,504	0	
Indonesia	119	5,523	10,553	1	0	6	3	3,514	244	1,234	0	275	76	
Ireland	0	0	2	1	0	0	302	1	0	145	59	111	115	
