List of importing markets for a product exported by Venezuela Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	25,304,270	23,987,236	24,974,276	39,886,652	55,412,877	61,385,240		83,477,843	56,583,100	66,962,673	91,338,260	2,570,574	2,082,317	
Afghanistan	0	0	0	0	0	0		0	0	0	0	0	0	
Africa not elsewhere specified	0	0	0	0	185,845	108,410		0	0	0	0	0	0	
Albania	0	0	0	0	0	0		1,547	0	1	1	2	0	
Algeria	15	2,593	7	5	1,649	242		0	1	76	0	0	0	
America not elsewhere specified	0	0	0	1,437,244	227,898	0		0	13,929,313	10,233,469	16,434,395	0	0	
American Samoa	0	0	0	0	0	0		0	0	0	0	0	0	
Andorra	0	0	79	0	0	0		0	0	0	0	0	0	
Angola	44	38	37	0	241	10		0	150	3	47	19	60	
Anguilla	153	23	82	295	499	354		2	0	0	0	0	0	
Antigua and Barbuda	13,541	5,400	952	1,870	1,709	1,409		52	402	145	49	0	0	
Area Nes	1,207,314	992,107	1,756,750	5	3,653,953	0		16,856,367	18,357,222	32,690,826	27,217,836	0	0	
Argentina	22,353	12,513	11,734	18,540	37,626	11,074		11,857	4,105	17,403	12,374	2,534	34,413	
Armenia	0	0	0	0	0	0		0	0	0	0	0	0	
Aruba	34,576	25,956	23,994	64,325	131,074	221,046		35,662	10,981	6,248	3,123	2,562	10,642	
Australia	491	3,550	1,770	1,350	1,393	308		559	76	258	78	54	47	
Austria	6	18	45	100	263	27		36	178	52	61	8	0	
Azerbaijan	0	0	0	4	0	0		8	0	0	6	0	0	
Bahamas	138,326	204,507	63,873	9,677	11,665	82,378		55	217	0	0	1	0	
Bahrain	0	0	260	28	0	0		111	0	0	4,502	4,753	0	
Bangladesh	195	1,795	0	0	10	0		0	0	0	1	0	0	
Barbados	1,775	1,449	380	652	900	283		383	142	52	32	2,116	1	
Belarus	0	0	0	0	0	0		1	2	1	0	0	0	
Belgium	95,603	92,057	107,291	38,518	34,544	61,524		143,663	56,514	244,893	99,690	69,163	79,748	
Belize	163	975	887	679	1,059	519		1,346	69	0	0	0	0	
Benin	0	0	6	5	10	0		0	22	0	0	0	0	
Bermuda	864	538	1,011	525	263	726		0	0	0	0	0	0	
Bhutan	0	0	0	0	0	0		0	0	0	0	0	0	
Bolivia	2,034	3,621	4,151	4,461	5,708	2,234		24,620	2,050	2,870	734	713	281	
Bosnia and Herzegovina	0	7	0	0	0	0		0	2	0	24	0	0	
Botswana	0	0	0	0	0	0		0	0	0	0	0	0	
Brazil	674,927	588,429	259,614	560,056	915,821	1,410,519		1,808,267	112,669	272,496	349,099	176,367	172,164	
