List of importing markets for a product exported by Venezuela (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	27,026,509	24,924,665	26,072,003	37,643,847	51,513,888	58,892,545	63,041,716	88,055,989	51,024,801	62,650,655	81,324,067	85,141,391	76,718,982	
Albania	12	0	225	132	0	6	71	48	1,554	26	36	3,085	1,696	
Algeria	488	6,699	209	1,546	2,029	429	900	8,058	2,357	7,898	31	19	416	
Andorra	51	77	86	252										
Anguilla	324	915	394											
Antigua and Barbuda					1,629		312		1,009	58	161	10	254	
Argentina	25,441	7,316	8,921	34,452	35,674	24,807	23,596	25,194	15,498	21,492	23,693	24,962	51,320	
Armenia	0	17	28	0	3	0	0	0	0	0	2	0	0	
Aruba					25,804				15,403	12,957	22,112	11,214		
Australia	1,030	3,934	1,553	1,197	1,797	1,959	1,807	2,643	3,461	3,225	513	1,010	1,380	
Austria	593	1,364	3,307	2,095	1,614	3,488	96,988	468,235	67,289	2,407	5,028	2,335	648	
Azerbaijan	71	18	1	1	152	23	26	11	1	15	0	12		
Bahamas	105,657	10,748	49,831	47,591	637	2,410	64,475	168,311	48,211	12,527	167	2,172		
Bahrain	0	8	455	2	16	0	0	1	212	13	8,841			
Bangladesh	2,661	1,456	35	6	49	895	149							
Barbados	4,377	4,477	3,075	4,124	5,553	4,186	1,311	1,139	462	148	295	141	102	
Belarus	0	0	1	202	20	49	871	147	16	1,152,339	1,129,784	326,357	279	
Belgium	200,206	228,232	207,486	282,934	402,202	553,282	641,102	824,727	509,921	628,076	824,639	588,572	364,314	
Belize	5,525	836	1,144	530	206	1,262	6,993	13,437	17,009	5,456	23	28	15,718	
Benin	25	1,403	524	0	6	0	116	728	296	27	0	20,750	0	
Bermuda												29,281	0	
Bhutan					0	18	0	0	0	0	0			
Bolivia	17,137	13,965	8,755	10,049	38,951	56,635	48,279	253,116	310,174	321,887	526,194	446,091		
Bosnia and Herzegovina			153	254	180	631	58	194	184	397	0	234	0	
Botswana	0	2	0	0	0	0	0	0	0	0	0	0	0	
Brazil	746,983	633,060	275,154	199,083	255,605	591,621	345,924	538,549	581,619	832,591	1,269,297	996,792	1,180,740	
