List of importing markets for a product exported by Viet Nam Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
World	15,029,192	16,706,053	20,149,324	26,485,035	32,447,129	39,826,223	48,561,343	62,685,130	57,096,274	72,236,665	96,905,674	114,529,171	
Afghanistan	0	0	0	0	1,251	0	0	0	0	0	0	0	
Albania	348	802	414	559	2,816	3,728	3,903	5,813	5,542	3,261	0	0	
Algeria	11,683	3,325	18,198	13,882	30,899	34,184	40,505	77,519	81,587	75,815	100,413	129,082	
Andorra	247	335	0	0	6	9	0	0	0	0	0	0	
Angola	28,046	20,568	27,961	34,845	76,189	60,282	49,358	143,824	89,198	111,159	68,060	115,785	
Anguilla	71	122	45	0	0	0	0	0	0	0	0	0	
Antigua and Barbuda	934	390	411	0	365	0	0	0	0	0	0	0	
Area Nes	306,374	106,736	75,646	49,643	175,026	533,755	373,588	434,735	420,939	391,976	1,119,544	1,212,205	
Argentina	5,270	1,391	5,696	8,735	16,578	30,811	49,789	73,727	55,935	91,554	148,854	166,827	
Armenia	459	1,060	1,516	758	1,172	787	1,814	2,886	2,805	5,164	0	10,134	
Aruba	686	443	53	0	88	0	0	0	0	0	0	0	
Australia	1,042,032	1,328,423	1,420,936	1,884,738	2,722,592	3,688,927	3,802,213	4,351,580	2,386,092	2,704,004	2,601,965	3,208,733	
Austria	28,853	29,748	38,137	59,545	88,899	97,477	112,138	108,731	103,386	144,023	461,537	1,065,232	
Azerbaijan	189	20	75	75	681	380	1,125	2,191	0	2,131	0	24,187	
Bahamas	368	195	270	547	1,054	700	1,393	2,612	0	2,043	6,182	2,584	
Bahrain	368	171	256	1,014	1,385	1,070	1,328	3,745	3,528	5,569	7,432	6,010	
Bangladesh	7,101	9,757	5,647	19,492	22,050	21,452	24,859	47,110	59,576	256,130	445,237	352,965	
Barbados	163	388	84	281	181	0	528	0	0	0	0	0	
