List of importing markets for a product exported by Viet Nam (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	14,436,354	16,757,161	22,121,856	28,458,335	34,902,925	42,421,293	52,059,264	67,138,353	61,366,658	76,322,930	99,412,736	126,990,726	138,104,316	
Afghanistan								10,184	1,645	8,536	18,303	0		
Albania	53	16	0	110	1,157	1,176	1,616	3,209	4,079	3,365	6,945	5,811	8,406	
Algeria	8,408	6,483	13,491	26,493	28,170	45,084	55,101	99,337	94,243	128,633	157,963	207,791	284,031	
Andorra	837	983	1,018	2,389										
Antigua and Barbuda					9		22		184	202	292	346	285	
Argentina	9,609	2,546	6,085	11,608	16,009	44,680	51,731	96,473	76,115	111,269	190,116	156,292	198,606	
Armenia	0	2,923	62	279	806	4,324	9,924	10,283	7,944	9,864	10,171	16,916	14,460	
Australia	1,086,106	1,241,263	1,501,816	1,804,650	2,569,040	3,743,888	3,722,098	4,399,351	2,470,553	2,808,247	2,916,415	3,263,307	3,665,514	
Austria	84,725	83,972	105,230	143,928	185,391	236,927	306,903	383,693	104,229	137,445	527,542	1,490,843	2,626,548	
Azerbaijan	17	6	476	521	984	64	341	3,322	5,140	1,138	1,371	3,306		
Bahamas	0	0	9	0	0	0	0	0	0	0	23	0		
Bahrain	796	10,798	1,915	3,060	23,112	2,174	2,906	8,572	6,239	8,964	18,583			
Bangladesh	5,820	6,554	6,283	11,472	17,517	20,154	29,080							
Barbados	241	208	284	140	358	422	362	877	805	1,763	1,129	1,887	2,549	
Belarus	11,936	4,639	9,509	3,836	2,478	8,506	15,532	34,887	32,796	40,391	47,586	28,524	49,521	
Belgium	456,630	468,397	561,125	680,584	768,213	907,381	1,076,172	1,339,169	933,004	1,086,943	1,041,219	1,293,658	1,523,694	
Belize	0	0	11	0	8	154	217	258	261	973	2,701	3,221	6,032	
Benin	68	65	271	685	2,557	2,494	7,510	1,931	6,588	1,916	6,360	1,661	8,083	
Bermuda												709	867	
Bhutan					0	656	22	50	0	129	434			
Bolivia	160	71	115	111	830	1,496	2,529	3,538	2,804	3,972	6,992	7,885		
Bosnia and Herzegovina			545	1,496	5,464	6,796	10,610	15,913	14,220	14,433	17,039	23,423	35,070	
Botswana	0	6	0	6	1	0	125	246	668	194	213	100	414	
Brazil	17,757	15,292	22,104	31,907	47,752	75,553	106,845	200,074	219,554	473,594	646,892	817,176	1,140,876	
Brunei Darussalam	658	832	848	719		1,501				6,290	7,933	11,214	10,509	
Bulgaria	21,010	15,004	12,308	13,632	17,210	23,458	61,875	105,697	49,761	37,875	26,529	40,533	40,207	
Burkina Faso	3,802	5,732	89	17	0		2,391	11,705	17,052	19,107	23,451	10,865		
Burundi	820	0	0	0	587	778	163	0	652	494	6,089	3,195	1,845	
Cabo Verde	6,344	2,584	2,198	2,634	5,387	1,236	723		3,766	763	915	807	1,535	
Cambodia	106,916	98,528	129,585	168,635	181,888	270,274	348,247	471,591	493,812	487,291	882,921	937,013		
Cameroon	1,149	265	4,803	10,638	42,475	24,626	22,785	58,667	66,784	44,223	116,460	62,879		
Canada	153,091	181,164	240,748	346,400	461,545	576,185	708,727	897,953	926,366	1,139,709	1,346,102	1,618,783	2,077,600	
Central African Republic	0	0	0			0	738	1,282	509	668	2,319	529	343	
Chile	13,292	11,304	15,050	23,837	40,659	56,868	59,440	86,744	131,904	112,703	164,511	205,398	281,656	
China	1,010,786	1,115,892	1,456,708	2,481,989	2,552,838	2,486,076	3,226,281	4,336,317	4,746,740	6,984,262	11,116,531	16,229,125	16,884,997	
Colombia	5,371	4,857	5,055	6,902	12,146	26,318	42,491	65,884	61,464	94,058	169,783	220,897	316,051	
Comoros	0	0	0	21	45	124	0	2,353	332					
Congo							1,209	122	8,493	8,118	30,420	3,840	6,838	
Cook Islands					128									
Costa Rica	545	306	493	878	1,196	3,585	7,715	14,407	13,962	15,001	22,229	26,836	45,835	
Côte d'Ivoire	18,340	3,683	23,611	61,955	94,653	68,311	49,625	82,016	144,554	105,869	199,561	223,668		
Croatia	6,178	9,847	14,470	17,522	21,058	31,118	47,488	62,884	52,518	48,672	59,531	64,364	22,025	
Cuba	71,138	69,049	80,587	146,663	269,448	175,062								
Cyprus	4,197	4,242	4,982	4,812	4,674	7,171	9,202	12,405	11,910	18,155	15,556	17,808	15,592	
Czech Republic	50,141	57,237	55,003	79,307	90,976	133,842	189,211	252,547	238,878	273,336	375,425	347,697	418,784	
Denmark	64,215	77,083	111,157	123,149	125,825	143,290	175,438	213,558	209,089	206,889	265,091	264,580	255,882	
Djibouti									78					
Dominica	0	1	17	18	22	0	21	17	53	26	39	37		
Dominican Republic	324	470	262	189	1,689	2,828	6,409	18,993	20,674	31,820	44,520	40,796	46,245	
Ecuador	1,701	828	1,913	5,095	6,671	6,005	4,314	8,958	18,229	14,280	42,241	32,066	78,223	
Egypt	7,612	7,463	8,488	8,645	12,753	10,355	26,593	139,384	155,575	134,338	194,849	246,548	201,990	
El Salvador	52	275	514	604	1,467	1,790	1,718	3,845	6,406	4,708	11,440	14,352	16,111	
Eritrea			0											
