List of importing markets for a product exported by Wallis and Futuna Islands (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	1,506	1,070	1,098	1,496	1,146	1,360	1,125	18,761	787	1,525	404	889	833	
Albania	0	0	0	0	1	0	0	0	0	0	0	0	0	
Antigua and Barbuda					0		0		0	0	1	0	0	
Australia	0	0	1	5	1	0	0	0	17	1	0	0	0	
Austria	161	2	0	0	0	0	0	1	0	0	0	0	0	
Bangladesh	4	23	0	0	0	0	6							
Belgium	15	70	148	0	0	0	0	0	0	1	10	27	16	
Belize	0	3	0	0	0	0	0	0	0	0	0	0	0	
Benin	8	0	0	0	3	0	12	24	0	0	0	0	0	
Bosnia and Herzegovina			0	0	1	0	0	0	0	0	0	0	0	
Botswana	0	0	0	0	0	0	0	0	0	0	0	0	0	
Brazil	0	0	0	0	0	0	0	0	0	0	1	26	42	
Bulgaria	0	0	6	6	0	0	0	0	0	0	0	0	0	
Cambodia	0	0	0	0	0	0	0	6	1	0	0	0		
Canada	0	0	1	0	1	0	48	0	4	11	5	45	21	
China	0	0	0	0	53	0	0	0	0	0	0	0	13	
Colombia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Costa Rica	0	10	0	0	0	0	1	0	0	0	0	0	7	
Côte d'Ivoire	0	3	0	0	0	0	1	0	0	0	0	0		
Croatia	12	0	2	29	0	8	0	14	0	0	1	1	0	
Cuba	0	1	0	0	0	0								
Czech Republic	0	0	0	2	0	0	0	39	0	0	0	2	0	
Denmark	13	0	0	0	0	0	0	0	0	0	0	0	0	
Dominican Republic	0	0	0	0	0	198	14	33	0	0	0	0	0	
Ecuador	0	2	0	0	0	0	0	0	0	1	0	0	0	
Estonia	0	0	0	0	2	3	0	0	0	0	0	0	0	
Ethiopia	0	0	0	36	0	0	0	0	0	0	0	0		
Fiji		0	8	51	0	26	0	20	0	0	10	96		
Finland	0	0	0	0	11	16	3	0	0	0	0	1	1	
France	29	38	12	14	78	35	47	17,750	50	36	186	194	117	
French Polynesia	0	0	0	0	0	0	3	0	0	0	0	0	0	
Gambia	22	0	0	0	0	0	0	0	0	0	0			
Germany	35	0	1	4	31	0	0	1	0	0	0	0	0	
Ghana	3		0		0	0	0	0	0	0	0	0		
Guatemala	0	0	0	0	0	0	0	0	0	0	0	0	1	
Guyana	0	0	0	0	0	0	0	0	2	0	0	0	0	
Iceland	0	0	0	0	0	0	0	0	0	0	0	0	0	
India	0	0	0	158	2	4	11	18	4	4	0	0	75	
Indonesia	0	0	0	0	0	28	0	0	0	0	0	0	0	
Ireland	0	0	0	0	0	0	12	5	0	0	0	11	12	
Israel	0	0	0	0	0	0	0	0	0	0	0	0	0	
Italy	239	145	149	80	155	75	45	0	0	0	0	22	0	
Kazakhstan	0	0	0	0	0	0	0	1	0	0	0	0	0	
Kenya	0	0	0	0	0	0	0	0	0	0	0			
Korea, Republic of	0	0	65	0	0	0	0	0	0	0	0	0	0	
Lebanon	0	0	0	8	0	0	0	9	0	0	0	0	1	
Luxembourg	0	0	0	0	0	0	0	0	0	3	0	0	0	
Madagascar	0	0	45	23	0	0	0	0	0	0	0	100	103	
Malawi	0	0	0	0	0	15	0	0	0	0	0	0	0	
Malaysia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mauritius	0	0	0	0	0	0	1	0	0	0	0	0	0	
Mayotte	0	0	0	1	0	0	0	0	0					
Mexico	0	0	13	3	107	275	174	72	1	15	6	16	10	
Montenegro						1	1	0	0	2	0	6	0	
Morocco	0	0	0	0	0	0	0	0	0	0	0	0	0	
Myanmar										37				
Nepal			0						0	0	0			
Netherlands	0	0	0	0	34	39	1	1	0	0	3	0	0	
New Caledonia	10	126	7	5	1	52	16	117	20	218	124	28	60	
New Zealand	0	2	0	0	0	0	0	0	1	0	0	0	0	
Nicaragua	720	0	0	0	0	0	0	0	0	0	0	3	0	
Niger	0	0	0	140	0	0	0	0	0	0	0	0	0	
Nigeria	11	608	611			50	449	86	0	0	0	0		
Norway	0	0	0	0	0	0	0	0	0	0	0	0	0	
Pakistan			0	0	0	7	1	1	0	1	0	2	0	
Papua New Guinea	0	0	0	0							0	0		
Philippines	0	0	0	0	0	0	0	0	0	0	0	0	0	
Poland	0	0	0	507	632	443	180	488	529	1,108	7	0	0	
Portugal	0	0	0	0	0	0	0	0	0	0	0	56	0	
Republic of Moldova	1	0	0	0	0	0	0	0	0	0	0	0	0	
Romania	0	0	0	0	0	0	0	0	0	0	0	0	0	
Rwanda	0	0	0	0	0	1	0	0	0	1	0	0	0	
Samoa	0	0	0	0	0	0	0	0	0	0	0	0	0	
Saudi Arabia	0	0	0	0	0	0	0	0	0	0	0	172		
Singapore	0	0	0	0	0	0	0	0	0	0	0	0	10	
Slovakia	0	0	0	8	3	4	0	3	0	2	0	2	3	
Slovenia	0	2	0	1	0	0	0	0	0	0	0	0	0	
South Africa	0	0	0	0	0	0	2	8	0	0	0	18	0	
Spain	134	9	0	0	0	0	0	0	0	0	2	3	0	
Sri Lanka	0	0	0	0	0	0	0	0	0	0	0	16		
Sudan (North + South)	0	0	0	0	0	2		18	92	4	9			
Sweden	0	0	0	1	0	0	9	0	1	22	5	13	14	
Switzerland	0	0	0	0	0	0	0	0	0	0	0	25	0	
Taipei, Chinese	0	0	1	0	0	12	1	30	1	12	1	1	0	
Tanzania, United Republic of	0	0	0	0	0	0	0	0	12	0	0	0	0	
Thailand	43	17	18	182	3	3	0	9	0	26	0	3	0	
Togo	40	0	0	24	0		0	0	0	0	0	0	0	
Tunisia	0	0	0	39	0	0	0	0	0	0	0	0	0	
Turkey	1	7	0	0	0	0	52	0	0	0	0	0	0	
Ukraine	0	0	0	167	0	15	0	0	0	0	0	0	0	
United Kingdom	2	0	0	0	1	0	0	0	17	2	23	0	7	
United States of America	3	0	9	1	26	48	35	4	35	18	6	0	297	
Uruguay	0	0	0	0	0	0	0	0	0	0	0	0	0	
Vanuatu						0	0		0	0	0			
Venezuela	0	0	0	0	0	0		0	0	0	0	0	23	
Viet Nam	0	2	0	0	0	0	0	0	0	0	0	0		
Yemen				1	0	0	0	0	0	0	4	0		
Zambia	0	0	1	0	0	0	0	0	0	0	0	0	0	
Zimbabwe	0	0		0	0	0	0	3	0	0	0	0	0	
