List of importing markets for a product exported by Western Sahara (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	5,665	7,627	4,012	1,807	1,974	4,037	5,397	11,305	1,303	1,082	4,271	1,307	1,778	
Australia	0	0	0	0	0	0	0	0	0	0	0	2	3	
Austria	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bangladesh	268	0	0	0	0	0	0							
Barbados	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belarus	0	0	0	0	1	0	0	0	0	1	0	0	0	
Benin	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bosnia and Herzegovina			4	0	0	0	0	0	0	0	0	0	0	
Brazil	2	0	0	0	0	0	0	0	1	5	0	0	0	
Bulgaria	0	11	3	0	0	0	0	0	0	0	0	0	0	
Cabo Verde	3	7	0	0	0	0	0		0	0	0	0	0	
Cambodia	0	0	0	0	0	0	0	0	156	2	3,400	148		
Canada	0	0	0	2	1	0	0	7	1	0	0	0	0	
China	0	0	0	0	0	0	0	0	0	0	18	0	7	
Colombia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Costa Rica	0	0	0	0	0	0	0	0	4	0	0	0	0	
Côte d'Ivoire	0	0	0	0	0	0	0	1	0	0	0	0		
Croatia	113	120	126	32	1	0	5	2	0	1	0	208	0	
Cuba	0	0	0	0	0	5								
Denmark	0	0	0	0	0	0	0	0	0	0	0	0	1	
Dominican Republic	82	2	14	0	9	0	6	1	0	0	3	1	0	
Estonia	0	0	0	9	0	0	0	0	0	0	0	0	0	
Ethiopia	0	0	94	1	0	0	0	0	0	0	0	0		
Gambia	1	0	0	0	0	0	0	0	0	0	0			
Georgia	0	0	0	5	0	0	0	0	0	0	0	0	0	
Germany	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ghana	0		0		0	0	0	0	0	0	0	0		
Guatemala	0	1	0	0	0	0	0	0	8	0	0	0	4	
Honduras	1	0	0	0	0	0	0	0	0	0	0	0	0	
Hungary	0	1	0	0	0	0	0	0	0	0	0	0	0	
India	0	0	0	0	0	0	0	0	0	0	0	0	0	
Indonesia	0	0	0	0	0	0	211	0	0	2	8	0	2	
Ireland	0	0	0	0	0	0	0	0	0	0	0	207	214	
Japan	3,596	7,108	801	510	164	1,300	0	7,043	260	0	79	468	586	
Kazakhstan	0	0	0	0	0	0	0	0	0	0	5	0	0	
Kenya	0	3	2	0	0	0	0	0	0	0	0			
Korea, Republic of	0	0	0	0	0	22	0	0	0	0	89	0	0	
Lebanon	0	0	0	0	0	0	40	0	0	0	0	0	0	
Macedonia, The Former Yugoslav Republic of	0	0	0	1	0	0	68		0	0	0	0	0	
Madagascar	5	2	6	0	0	0	0	0	0	0	0	0	0	
Malaysia	1	0	0	0	0	0	0	0	0	0	0	0	0	
Mali	0	0	0	0	0	0	0	0		8	0	0		
Mauritania	0	0	0	0	0		0	0	0	0	0	4		
Mauritius	0	0	0	0	0	0	0	5	0	0	0	1	0	
Mexico	46	2	4	469	1,481	1,283	1,066	912	766	968	607	1	29	
Montenegro						0	0	0	0	1	0	0	0	
Mozambique	0	0	0	0	0	0	0	0	2	0	0	0	0	
New Zealand	0	0	0	0	0	0	0	0	0	45	0	0	0	
Nigeria	1,391	37	2,270			1,168	3,266	1,117	0	0	0	0		
Norway	0	0	0	0	0	0	0	0	0	0	0	0	0	
Pakistan			295	225	190	0	650	1	7	0	12	55	4	
Palestine, State of							0	0	15	0	0	19		
Papua New Guinea	0	0	2	0							0	0		
Philippines	0	0	0	0	0	0	0	0	0	0	0	0	0	
Poland	0	0	0	0	0	0	0	0	0	0	0	0	15	
Republic of Moldova	0	0	0	1	0	0	0	0	0	0	0	0	0	
Romania	90	0	0	0	0	0	0	0	0	0	0	0	0	
Russian Federation	2	309	21	0	92	0	0	0	0	0	0	9	0	
Saint Vincent and the Grenadines	0	0	0	0	0	0	0	4	0	0	0	0		
Sao Tome and Principe	0	0	0	0	0	5	0	0	0	0	0	0	0	
Saudi Arabia	6	0	0	9	0	0	0	0	0	0	0	0		
Serbia and Montenegro	0	0		2										
Singapore	18	0	0	0	0	0	31	0	0	0	0	0	0	
South Africa	0	0	0	0	0	1	0	0	0	5	0	0	0	
Spain	0	0	0	0	0	0	0	0	0	0	0	0	0	
Sri Lanka	0	0	0	0	0	0	0	0	0	0	0	0		
Sudan (North + South)	0	2	7	0	0	0		17	74	1	0			
Swaziland	0	0	0	0	0	245	0							
Switzerland	40	2	12	2	0	0	0	0	0	0	0	0	0	
Tanzania, United Republic of	0	0	0	0	0	0	0	64	0	0	0	0	0	
Thailand	0	0	23	0	0	2	0	0	0	0	14	2	1	
Timor-Leste				0	0									
Togo	0	0	0	1	0		0	0	0	0	0	0	0	
Trinidad and Tobago	0	0	0	0	12	0	0	0	0	0				
Ukraine	0	0	2	0	8	6	0	0	6	9	18	20	32	
United Kingdom	0	0	0	0	0	0	0	0	0	0	0	0	0	
United States of America	0	20	3	0	0	0	52	4	0	0	18	120	724	
Uruguay	0	0	0	0	0	0	0	0	0	0	0	0	0	
Venezuela	0	0	0	0	12	0		33	1	34	0	42	156	
Viet Nam	0	0	323	484	0	0	0	2,094	0	0	0	0		
Yemen				54	3	0	2	0	2	0	0	0		
