List of importing markets for a product exported by Yemen Product: TOTAL All products
"Importers"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
World	4,072,487	5,607,666	6,654,084	6,298,943	7,583,784	6,258,955	6,437,477	6,947,667	7,062,059	
Afghanistan	0	0	0	0	0	0	40	0	0	
Albania	0	0	0	0	17	0	0	0	0	
Algeria	355	247	98	71	372	348	111	297	153	
Andorra	79	8	92	109	89	5	173	26	31	
Angola	12	70	0	0	0	0	45	214	160	
Anguilla	30	0	0	0	0	0	0	0	0	
Area Nes	5,092	25,482	46,679	31,010	163,310	28,598	59,172	52,314	75,275	
Argentina	73	0	29	0	253	2	11	144	0	
Armenia	17	0	0	5,570	77	0	0	2,944	9,235	
Aruba	11	111	100	41,054	132	9	507	174	1,549	
Australia	28,824	35,716	40,128	138	151	88	98	22	94	
Austria	239	26	55	336	72	1,124	1,001	1,542	173	
Azerbaijan	0	0	0	0	44	27	0	0	22	
Bahamas	0	61	0	0	0	0	0	0	0	
Bahrain	227	442	5,713	192	516	367	595	249	610	
Bangladesh	642	29	318	0	192	223	500	68	589	
Barbados	0	0	0	39	0	0	0	0	0	
Belarus	0	0	0	0	0	0	0	0	0	
Belgium	1,929	2,498	3,566	4,674	3,725	4,761	1,921	95,849	4,626	
Belize	0	0	0	0	0	0	0	0	0	
Benin	0	0	0	0	0	0	194	205	25	
Bhutan	0	0	0	0	0	0	0	0	0	
Bolivia	0	0	0	0	7	0	0	0	0	
Bosnia and Herzegovina	0	0	0	0	1	0	0	0	0	
Brazil	1,061	3,516	2,435	1,601	2,133	6,828	33,084	9,957	1,116	
British Virgin Islands	0	0	0	0	0	0	0	0	0	
Brunei Darussalam	0	14	64	76	57	35	0	0	0	
Bulgaria	0	0	0	30	3	50	71	0	0	
Burkina Faso	0	0	0	0	0	0	0	37	0	
Burundi	0	0	0	0	0	0	3	0	79	
Cabo Verde	0	0	0	0	0	0	0	0	15	
Cambodia	0	0	0	0	18	0	0	0	0	
Cameroon	0	0	0	127	945	834	2,673	1,955	2,079	
Canada	256	871	168	1,981	1,207	607	696	227	2,334	
Cayman Islands	0	0	0	0	0	3	0	0	0	
Central African Republic	0	1	0	4	6	1	0	58	180	
Chad	0	0	0	0	8	21	252	225	97	
Chile	1	0	0	0	0	0	34,456	29,310	48,111	
China	1,170,181	1,976,220	1,506,335	1,317,101	2,369,848	1,577,792	1,429,663	2,250,743	2,898,790	
Colombia	0	27	0	145	93	2,236	233	1,388	48	
Comoros	0	0	7	33	68	51	51	37	1	
Congo	0	0	0	0	0	7	89	65	0	
Cook Islands	0	0	0	0	0	0	0	0	0	
Costa Rica	0	0	0	0	0	0	0	0	0	
Côte d'Ivoire	9	0	0	30	40	0	277	247	60	
Croatia	0	0	0	308	320	0	15	0	0	
Cuba	0	11	8	0	0	6	0	0	0	
Cyprus	1	0	11	1	0	0	0	0	0	
Czech Republic	0	0	49	34	27	60	26	91	0	
Democratic Republic of the Congo	18	0	0	0	0	0	0	0	0	
Denmark	1	721	3,821	48	77	14	44	173	22	
Djibouti	8,099	8,447	10,004	22,799	16,428	13,753	10,878	12,732	12,530	
Dominica	213	70	58	0	0	75	0	0	0	
Dominican Republic	0	38	79	81	119	0	0	0	0	
Ecuador	0	0	0	35	0	0	0	1	0	
Egypt	9,678	21,165	28,535	48,660	24,542	23,078	38,411	57,034	45,748	
El Salvador	0	0	0	0	0	0	0	0	0	
Eritrea	1,809	4,484	2,730	2,379	2,051	2,603	2,057	3,261	3,808	
Estonia	0	0	0	0	0	0	0	0	0	
Ethiopia	4,688	7,104	12,134	12,464	11,640	9,733	9,176	10,887	9,119	
Europe Othr. Nes	0	2,274	2,337	0	4,187	5,474	3,759	0	0	
Fiji	0	3	0	0	0	0	0	0	0	
Finland	8	25	427	34	7	5	485	0	89	
France	5,341	6,797	51,885	57,670	29,757	23,129	27,188	34,923	3,077	
Free Zones	98	11,853	472	4,296	269	0	0	11,320	0	
