List of importing markets for a product exported by Yemen (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	3,038,854	2,754,595	3,810,667	4,169,911	5,510,723	6,952,851	7,010,279	9,472,055	4,865,619	7,758,547	9,613,503	8,435,841	9,277,386	
Afghanistan								0	0	0	0	0		
Albania	0	0	0	1	0	0	164	0	0	0	0	0	15	
Algeria	208	406	162	342	50	311	234	103	471	107	244	148	204	
Andorra	0	0	0	1										
Argentina	0	0	0	0	0	0	6	0	0	0	173	1	11	
Armenia	0	0	0	0	0	0	0	1	0	0	0	0	0	
Australia	33	4	12	11,077	39,358	38,809	10	480	44	201	36	52	28	
Austria	17	21	19	80	462	1,486	533	116	180	605	692	53	5	
Azerbaijan	0	37	37	0	7	6	0	0	0	0	0	6		
Bahrain	253	111	259	246	365	203	191	621	661	217	322			
Bangladesh	6,129	5,360	324	1,185	140	459	0							
Barbados	0	0	0	0	0	0	23	0	0	0	0	0	0	
Belarus	0	0	0	0	0	35	0	0	0	0	0	0	0	
Belgium	1,883	2,841	4,425	5,380	3,770	3,799	8,105	4,057	3,452	3,956	146,124	42,856	70,175	
Belize	0	0	0	0	0	0	0	0	0	0	0	0	0	
Benin	5	48	0	0	0	0	0	10	0	17	41	28	23	
Bolivia	0	0	0	0	0	10	0	0	0	1	13	0		
Bosnia and Herzegovina			0	0	0	0	0	1	0	0	25	0	0	
Botswana	0	2	0	0	0	0	0	3	0	0	0	0	0	
Brazil	35,911	1	0	6	34	8	12	771	1	2	14	443	11	
Brunei Darussalam	0	0	0	0		22				0	0	0	57	
Bulgaria	96	44	0	0	0	0	31	46	266	104	0	0	0	
Burkina Faso	0	0	0	0	0		0	18	5	11	2	0		
Burundi	0	0	0	0	0	18	0	0	0	0	0	0	0	
Cabo Verde	0	1	0	0	0	0	0		0	0	0	0	0	
Cambodia	0	0	0	7	0	2	1	0	0	0	51	0		
Cameroon	3	0	0	0	0	0	263	990	1,329	2,476	2,300	2,256		
Canada	79	77	146	134	155	202	172	185	136	107	111	122	188	
Central African Republic	0	0	0			0	0	0	0	0	0	0	0	
Chile	0	0	2	0	0	0	0	0	0	34,748	99,053	54,845	82,292	
China	451,364	425,865	1,545,851	1,458,548	2,667,691	2,232,552	1,745,290	3,209,873	1,237,511	2,779,081	3,135,702	3,604,053	3,057,015	
Colombia	0	0	0	0	0	7	0	1	0	15	0	0	11	
Comoros	6	16	28	104	87	89	104	184	84					
Congo							0	0	0	0	0	0	0	
Costa Rica	1	0	0	20	1	0	1	0	0	0	0	0	0	
Côte d'Ivoire	1	0	0	18	0	89	55	384	67	674	302	490		
Croatia	0	96	70	154	54	68	376	649	0	3	0	3	0	
Cuba	0	0	0	0	41	31								
Cyprus	1	0	351	30	0	14,332	0	10,231	3	2	7	2	0	
Czech Republic	281	180	9	12	82	70	44	61	1	25	24	125	29	
Denmark	37	63	6	87	356	750	19,753	497	35	2	81	120	13	
Djibouti									22,219					
Dominican Republic	574	387	600	1,317	2,333	3,023	4,030	619	35	0	0	0	0	
Ecuador	0	86	9,452	0	0	0	0	2	0	0	6	0	0	
Egypt	8,625	12,083	11,615	6,716	24,288	43,438	22,811	22,079	72,197	106,575	91,628	52,549	44,835	
El Salvador	0	0	0	0	0	0	0	0	3	0	0	4	0	
Eritrea			3,889											
Estonia	0	0	1	0	29	0	0	0	0	0	0	0	0	
Ethiopia	132,387	7,927	5,784	6,255	8,461	14,759	12,994	13,306	21,959	8,351	13,322	11,174		
Faroe Islands	0	0	0	0	0	0	1	0	0					
Fiji		3	0	12	0	0	0	0	3	0	0	0		
Finland	1	6	19	22	14	109	37	87	24	19	100	0	0	
France	34,691	12,240	21,013	19,556	28,967	24,833	69,764	17,007	9,934	41,381	86,712	2,368	31,933	
Gambia	12	4	0	49	90	174	0	40	0	9	0			
Georgia	0	0	0	0	0	0	12	0	3	0	5	0	0	
Germany	1,076	3,949	5,548	7,975	6,456	8,671	121,144	10,200	7,197	5,649	4,588	8,895	5,848	
Ghana	66		56		155	124	108	65	0	74	226	428		
Greece	668	1,585	83	268	658	31,835	707	283	689	128,330	68,179	2,975	401	
Greenland	0	0	0	0	0	0	0	0	0	1	0	0	0	
Guatemala	0	0	0	0	0	0	0	0	0	7	0	0	0	
