List of importing markets for a product exported by Zambia Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	987,411	956,349	980,445	1,575,627	1,809,763	3,770,370	4,617,454	5,098,688	4,312,055	7,200,267	9,000,946	9,523,978	10,700,492	
Afghanistan	0	0	0	0	0	0	0	0	0	0	0	2	0	
Albania	0	0	0	0	0	0	0	17	1	0	0	0	0	
Algeria	0	0	0	6	14	22	49	0	0	0	0	41	115	
Andorra	0	0	0	0	0	34	140	0	197	77	0	24	334	
Angola	33	407	1,104	400	559	400	569	1,309	1,978	3,037	2,457	24,994	5,772	
Anguilla	0	0	0	0	0	3	0	0	0	0	0	0	0	
Antigua and Barbuda	0	0	2	0	0	0	31	0	101	3	101	35	1,780	
Area Nes	0	0	0	0	0	0	0	0	0	0	184,117	0	0	
Argentina	0	1	0	0	89	0	3	1	0	0	0	9	3	
Armenia	4	0	0	0	1	0	0	256	6	9	68	106	2	
Aruba	0	0	0	0	0	0	0	0	0	0	0	0	0	
Australia	1,173	1,976	921	513	1,448	617	715	1,495	1,443	887	1,226	1,677	3,467	
Austria	2,354	262	265	717	15	90	34	27	85	188	27	74	284	
Azerbaijan	0	0	0	0	0	0	0	0	0	8	0	4	0	
Bahamas	0	0	117	48	0	0	0	1	104	0	0	0	0	
Bahrain	2	0	0	0	0	0	0	0	0	0	40	0	0	
Bangladesh	0	0	0	0	82	44	70	96	15	0	11	6	0	
Barbados	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belarus	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belgium	7,671	17,897	27,902	36,698	31,381	9,509	46,538	54,764	55,941	72,409	84,849	89,306	72,032	
Belize	0	0	0	0	0	0	0	0	0	0	0	0	0	
Benin	0	0	1	2	1	0	0	0	0	0	265	9	27	
Bermuda	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bhutan	0	29	192	116	24	0	57	9	431	450	26	23	61	
Bolivia	0	0	3	0	27	0	0	8	0	0	0	2	0	
Botswana	3,870	2,827	3,579	2,945	41,435	6,084	19,956	8,770	10,090	16,915	28,330	64,361	30,602	
Bouvet Island	0	0	0	0	0	0	0	0	0	0	0	20	0	
Brazil	7	404	0	207	0	0	11	9	193	47	179	52	263	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	0	0	0	0	0	
British Virgin Islands	0	0	0	0	0	0	0	0	799	177	2,810	10,983	0	
Brunei Darussalam	0	0	0	0	0	0	0	0	0	86	0	0	0	
Bulgaria	28	528	0	230	83	1,251	370	396	185	1,940	486	69	585	
Burkina Faso	0	0	0	0	0	0	6	0	0	0	127	828	0	
Burundi	1,897	2,098	2,765	2,287	15	3,335	1,935	3,100	7,033	27,888	28,029	27,697	8,343	
Cabo Verde	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cambodia	0	0	0	0	0	0	0	21	0	0	0	0	0	
Cameroon	1	0	0	0	4	0	5	9	1	5	0	6	596	
Canada	376	473	1,346	1,723	357	158	146	221	613	158	486	406	411	
Cayman Islands	573	0	0	0	0	0	0	0	0	0	96	16	30	
Central African Republic	0	3	0	0	0	0	0	0	0	0	0	0	0	
Chad	0	0	0	0	0	0	11	0	0	0	0	0	0	
Chile	1	0	0	0	0	0	0	0	122	2	0	865	1,489	
China	369	3,578	16,564	33,909	38,432	256,545	189,021	286,894	482,648	1,455,428	1,504,569	1,836,254	2,275,374	
Cocos (Keeling) Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Colombia	0	2	0	0	0	0	0	0	163	11	3	0	57	
Comoros	0	0	0	0	0	0	0	0	0	0	0	0	1	
Congo	215	172	213	10	0	0	0	78	310	1,172	1,234	736,088	1,265,285	
Costa Rica	0	487	3,915	0	0	0	0	0	0	0	2,867	0	94	
Côte d'Ivoire	0	1	2	2	0	0	3	5	4	4	1	2	4	
Croatia	0	5	83	0	0	0	0	0	0	9	2	0	0	
Cuba	20	0	0	0	0	0	0	3	0	4	11	3	0	
Cyprus	929	724	9	5	0	18	0	0	6	1	22	0	343	
Czech Republic	1	105	7	161	14	0	10	0	20	25	0	48	57	
Democratic Republic of the Congo	32,533	39,139	41,650	105,857	97,421	134,353	245,944	287,067	300,853	333,526	584,111	0	0	
Denmark	128	44	53	1,813	362	2,494	1,114	818	253	361	104	126	120	
Djibouti	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dominica	0	0	0	0	0	0	2	17	86	146	0	0	0	
Dominican Republic	0	0	0	0	0	0	1	0	0	0	0	0	27	
Ecuador	0	0	0	0	0	0	0	0	0	0	0	0	0	
Egypt	68	831	1,043	737	95	159,378	232,013	384,771	106,472	49,170	6,766	8,737	81	
El Salvador	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eritrea	0	0	0	16	0	0	0	0	7	0	0	0	0	
Estonia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ethiopia	0	259	7	20	76	172	30	4	10	45	46	15	845	
Falkland Islands (Malvinas)	0	0	0	0	0	0	0	0	0	0	0	0	0	
Faroe Islands	0	0	0	0	0	1	0	0	5	0	0	0	0	
Fiji	0	0	0	0	0	0	0	0	0	0	0	0	0	
Finland	233	5,829	12,208	11,269	37	7,555	266	634	100	209	226	38	246	
France	511	2,987	5,098	16,649	45,361	16,757	53,318	1,753	2,004	4,838	2,518	4,943	5,060	
French South Antarctic Territories	0	0	0	0	0	0	0	0	0	66	0	0	0	
Gabon	0	0	0	0	0	0	0	1	3	536	3	0	1	
Gambia	1	0	3	0	77	9	0	3	0	1	0	1	15	
Georgia	8	36	0	28	0	31	0	0	0	0	0	136	297	
Germany	15,092	9,266	7,374	10,811	12,502	11,168	9,694	8,719	10,138	7,802	12,776	12,447	18,132	
Ghana	3	49	3	9	13	452	93	79	175	206	528	378	256	
Gibraltar	0	0	0	0	0	0	0	0	0	0	0	0	0	
Greece	8	66	2	122	36	405	32	44	39	95	1	1	24	
Grenada	0	0	0	0	0	0	0	0	70	0	0	0	0	
Guatemala	7	0	0	0	0	0	0	0	0	0	0	0	0	
Guinea	0	0	0	0	2	0	3	14	3	73	51	4	85	
Guinea-Bissau	0	0	0	0	0	0	0	0	0	0	0	0	0	
Guyana	0	0	0	0	0	0	0	0	16	8	0	0	0	
Haiti	0	0	0	0	0	0	0	0	0	0	0	0	0	
Honduras	0	0	0	0	0	0	0	0	8	0	0	0	0	
Hong Kong, China	9,866	7,917	24,688	2,561	2,235	14,575	5,113	1,902	2,537	2,166	3,053	26,579	20,312	
Hungary	15	0	1	1	0	6	2	1	21	2	2	1	73	
Iceland	489	580	1,086	11	0	0	12	5	33	10	154	207	69	
India	32,156	30,071	34,376	16,829	25,422	134,018	52,063	32,553	49,409	19,023	26,173	70,554	128,051	
Indonesia	11	24	9	23	106	9,779	12	3,123	212	1	91	108	59	
Iran (Islamic Republic of)	6	0	1,091	0	292	0	89	1	3	0	0	7	1,172	
Iraq	0	0	0	0	0	0	0	0	0	0	29	1	0	
Ireland	232	304	404	1,177	1	982	676	511	6	1,386	18	18	247	
Israel	188	467	1,264	1,429	1,424	1,329	457	781	561	1,105	346	1,441	2,359	
Italy	3,558	2,577	1,599	3,117	6,350	3,496	2,718	2,178	300	198	525	273	657	
Jamaica	0	0	0	0	28	0	3	0	10	3	2	1	0	
Japan	1,546	7,984	16,234	6,995	29,758	3,489	37,346	41,573	2,218	6,911	3,862	1,009	57,055	
Jordan	0	0	0	0	0	0	0	0	0	0	0	9	0	
Kazakhstan	0	0	0	0	0	0	0	5	1	6	2	0	0	
Kenya	12,704	4,285	5,760	9,084	13,600	31,342	29,501	27,190	23,843	33,878	81,633	56,938	90,902	
Kiribati	0	0	0	0	0	0	0	0	0	0	0	0	0	
Korea, Democratic People's Republic of	40	0	0	0	0	10	20	0	0	47	1	0	5	
Korea, Republic of	356	320	77	0	21	41,298	94,217	68,911	77,024	25,429	123	197	177	
Kuwait	0	11	78	9	3	0	234	30,458	27,437	13,187	0	83	0	
Kyrgyzstan	0	1	0	0	0	60	0	0	0	0	0	0	0	
Lao People's Democratic Republic	0	0	0	0	0	0	0	0	0	4	12	17	0	
Latvia	0	4	0	0	0	0	116	0	0	0	0	5	0	
Lebanon	17	1	0	96	1	0	15	6	9	13	204	4	21	
Lesotho	16	105	119	2,550	640	4,945	995	849	406	253	1,219	2,331	4,587	
Liberia	0	0	0	0	14	0	0	7	0	39	134	2	0	
Libya	1	0	6	8	3	4	0	4	6	38	0	0	0	
Lithuania	0	0	0	0	0	0	0	1	3	0	0	0	48	
Luxembourg	2	0	7	0	0	90	22	0	4,453	36,652	44,510	35,785	54,693	
Macao, China	0	0	0	0	7	72	98	59	0	0	0	0	0	
Madagascar	0	0	0	0	3	0	28	20	2,736	489	365	64	0	
Malawi	9,674	15,669	24,536	48,234	62,330	56,333	31,181	62,975	73,177	102,671	119,550	189,638	216,757	
Malaysia	0	14	0	0	0	78,731	54,164	10,780	1	43	2,321	2	2,056	
Mali	66	30	371	3	10	0	1	1	67	78	146	24	152	
