List of importing markets for a product exported by Zambia (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	668,249	742,133	766,436	1,530,823	2,529,224	2,774,392	3,527,144	3,951,890	3,323,911	5,221,468	6,558,842	6,312,583	5,832,305	
Albania	0	1	0	0	0	0	0	1	7	0	0	0	0	
Algeria	0	15	0	1	0	0	0	12	1	0	1	15	1	
Argentina	0	118	0	0	0	0	0	134	21	25	251	31	0	
Armenia	0	0	0	0	9	3	0	0	0	0	0	0	1	
Australia	101	347	123	1,152	474	1,216	1,251	948	869	15,585	1,074	223	111	
Austria	1,948	986	990	2,401	823	4,122	1,610	2,119	1,271	464	81	77	141	
Azerbaijan	0	0	0	0	1	0	0	0	0	0	1	347		
Bahamas	0	0	0	0	0	0	0	0	0	0	0	55		
Bahrain	0	0	0	0	2	0	0	2	0	186	2,137			
Bangladesh	6,330	3,204	492	13,110	11,668	8,822	12,649							
Barbados	0	0	13	26	1	0	1	0	0	0	0	0	33	
Belarus	1	1	1	3	9	4	49	25	11	0	5	0	1	
Belgium	24,121	20,841	34,688	86,681	65,513	59,393	99,315	155,127	103,402	90,996	151,409	141,787	116,855	
Benin	425	7	1	0	0	0	0	0	0	0	18	0	0	
Bolivia	0	0	4	0	10	0	0	0	19	0	0	7		
Bosnia and Herzegovina			0	4	2	9	10	0	5	6	0	0	0	
Botswana	2,641	25,981	2,302	1,600	5,246	6,033	11,123	7,701	9,928	14,663	18,903	22,680	20,109	
Brazil	0	68	675	8,402	1,687	1,993	7,722	4,521	2,308	2,344	1,908	1,212	546	
Brunei Darussalam	0	0	0	0		0				0	0	0	0	
Bulgaria	108	1	1	0	135	0	1,579	3,467	602	8,318	0	0	486	
Burkina Faso	0	7	0	0	0		0	0	0	2	176	133		
Burundi	3,661	4,620	7,451	5,659	8,719	11,839	6,350	2,968	11,739	34,043	35,038	35,401	12,922	
