List of importing markets for a product exported by Zimbabwe (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	1,803,562	1,782,226	1,900,143	1,963,700	1,983,674	2,199,607	2,420,674	2,267,259	1,126,272	1,422,268	2,195,250	2,113,514	2,153,747	
Albania	12	0	0	9	2	60	24	1	16	1	45	0	0	
Algeria	83	1,106	1,236	2,128	2,716	3,726	6,941	5,184	9,015	7,516	10,437	11,294	3,120	
Antigua and Barbuda					0		0		0	0	0	1	1	
Argentina	1,247	610	0	0	0	12	44	203	0	1,320	3,450	1,157	2,189	
Armenia	0	275	0	0	0	0	0	0	3	3	624	2	9,481	
Australia	11,266	6,853	9,343	5,293	2,658	4,913	9,131	1,749	8,127	9,208	6,221	1,091	254	
Austria	10,063	12,429	16,099	7,295	2,442	2,976	10,467	9,383	433	1,046	775	392	243	
Azerbaijan	3,496	2,498	830	264	217	348	357	0	0	51	799	254		
Bahrain	45	1	1	0	16	0	2	0	1	19	39			
Bangladesh	5,393	3,333	3,982	5,039	5,309	6,510	7,792							
Barbados	0	22	4	7	22	69	226	46	10	84	1	24	99	
Belarus	213	285	516	352	522	723	913	814	825	2,641	2,315	5,547	3,187	
Belgium	23,354	17,839	14,134	21,248	17,868	17,193	16,236	7,680	18,268	11,992	9,226	38,719	76,957	
Benin	0	3	9	0	0	0	0	7	0	2	0	0	31	
Bolivia	11	0	0	0	28	39	8	3	4	1	8	0		
Bosnia and Herzegovina			1,806	932	205	767	316	748	1,654	2,019	1,416	1,840	1,024	
Botswana	57,471	65,833	24,420	51,022	48,799	47,603	49,906	47,383	38,355	38,084	48,425	42,758	38,120	
Brazil	6,354	7,028	5,478	4,884	12,364	8,185	5,995	2,879	2,083	1,739	20,945	16	59,625	
Brunei Darussalam	0	0	0	0		0				0	1	0	0	
Bulgaria	7,540	9,297	7,725	8,496	5,514	6,176	4,200	6,530	7,466	671	12,152	6,111	12,980	
Burkina Faso	0	10	4	1	4		59	8	0	1	57	61		
